name	term	lev	seq	value
"protein phosphorylation"	GO:0006468	3	NM_000294.3	-8.63392400834214
"protein phosphorylation"	GO:0006468	3	NM_000876.4	-7.97291729114615
"protein phosphorylation"	GO:0006468	3	NM_001003652.4	0.695448424792346
"protein phosphorylation"	GO:0006468	3	NM_001006943.3	-2.45084663024363
"protein phosphorylation"	GO:0006468	3	NM_001013703.4	-5.76938398600843
"protein phosphorylation"	GO:0006468	3	NM_001063.4	-0.0709236411897101
"protein phosphorylation"	GO:0006468	3	NM_001135937.3	1.35165363215413
"protein phosphorylation"	GO:0006468	3	NM_001145264.2	1.30800559238353
"protein phosphorylation"	GO:0006468	3	NM_001159920.2	-2.73013831188777
"protein phosphorylation"	GO:0006468	3	NM_001160030.2	0.0548098108210448
"protein phosphorylation"	GO:0006468	3	NM_001276290.1	-0.691234207549238
"protein phosphorylation"	GO:0006468	3	NM_002019.4	-1.87490014599262
"protein phosphorylation"	GO:0006468	3	NM_002828.4	-0.184986518674924
"protein phosphorylation"	GO:0006468	3	NM_006343.3	-3.31534460845188
"protein phosphorylation"	GO:0006468	3	NM_006406.2	-9.37807503122796
"protein phosphorylation"	GO:0006468	3	NM_006887.5	-5.86278462779329
"protein phosphorylation"	GO:0006468	3	NM_007065.4	-11.3425148736607
"protein phosphorylation"	GO:0006468	3	NM_014017.4	-2.93631172605062
"protein phosphorylation"	GO:0006468	3	NM_014248.4	-10.5090378139095
"protein phosphorylation"	GO:0006468	3	NM_014344.4	-3.91175088155966
"protein phosphorylation"	GO:0006468	3	NM_014587.5	-0.568203059748824
"protein phosphorylation"	GO:0006468	3	NM_020666.3	-4.80272351050411
"protein phosphorylation"	GO:0006468	3	NM_033550.4	-4.68263049229917
"protein phosphorylation"	GO:0006468	3	NM_058238.3	1.67711929811569
"protein phosphorylation"	GO:0006468	3	NM_177560.3	-1.07204366447286
"protein phosphorylation"	GO:0006468	3	NM_199289.3	-1.85354063324687
"protein phosphorylation"	GO:0006468	3	NR_123721.1	1.17713970550805
"protein phosphorylation"	GO:0006468	3	XM_047437508.1	1.67357780180679
"protein phosphorylation"	GO:0006468	3	XM_047438786.1	-0.254075341875953
"protein phosphorylation"	GO:0006468	3	XM_047442397.1	3.26066028152564
