name	term	lev	seq	value
"ribonucleoprotein granule"	GO:0035770	2	NM_000991.5	-1.13803543385442
"ribonucleoprotein granule"	GO:0035770	2	NM_001039111.3	-1.25708288087712
"ribonucleoprotein granule"	GO:0035770	2	NM_001101.5	-5.7955366120507
"ribonucleoprotein granule"	GO:0035770	2	NM_001350236.2	3.46856482526551
"ribonucleoprotein granule"	GO:0035770	2	NM_001363697.1	-0.973420651308728
"ribonucleoprotein granule"	GO:0035770	2	NM_002696.3	-4.51440784384316
"ribonucleoprotein granule"	GO:0035770	2	NM_004939.3	-11.9095793844695
"ribonucleoprotein granule"	GO:0035770	2	NM_006813.3	-0.714168792350157
"ribonucleoprotein granule"	GO:0035770	2	NM_012118.4	-1.53205460153151
"ribonucleoprotein granule"	GO:0035770	2	NM_014026.6	1.68101093869103
"ribonucleoprotein granule"	GO:0035770	2	NM_018380.4	-2.86787975044927
"ribonucleoprotein granule"	GO:0035770	2	NR_003613.1	-2.35587129606339
"ribonucleoprotein granule"	GO:0035770	2	XM_017000526.3	2.61119139114172
"specific granule lumen"	GO:0035580	2	NM_001063.4	-0.237480947669728
"specific granule lumen"	GO:0035580	2	NM_002826.5	16.2414013881476
"specific granule lumen"	GO:0035580	2	NM_002852.4	3.4716862535772
"specific granule lumen"	GO:0035580	2	NM_004048.4	-9.14084042016879
"specific granule lumen"	GO:0035580	2	NM_012413.4	-0.683738338817843
"specific granule lumen"	GO:0035580	2	NM_181701.4	-7.11822507277582
"endoplasmic reticulum part"	GO:0044432	2	NM_000113.3	-2.91396871987061
"endoplasmic reticulum part"	GO:0044432	2	NM_000767.5	-0.152788919966387
"endoplasmic reticulum part"	GO:0044432	2	NM_000942.5	-1.24845516532806
"endoplasmic reticulum part"	GO:0044432	2	NM_000961.4	1.27787028255646
"endoplasmic reticulum part"	GO:0044432	2	NM_001004127.3	-4.52427486997075
"endoplasmic reticulum part"	GO:0044432	2	NM_001008388.5	-4.18728413172206
"endoplasmic reticulum part"	GO:0044432	2	NM_001012511.3	-0.967129599485774
"endoplasmic reticulum part"	GO:0044432	2	NM_001063.4	-0.237480947669728
"endoplasmic reticulum part"	GO:0044432	2	NM_001079862.4	-2.33406798231491
"endoplasmic reticulum part"	GO:0044432	2	NM_001080472.4	0.0865729654819117
"endoplasmic reticulum part"	GO:0044432	2	NM_001256802.2	1.33489839985869
"endoplasmic reticulum part"	GO:0044432	2	NM_001271837.2	0.567332702651408
"endoplasmic reticulum part"	GO:0044432	2	NM_001363042.2	-0.808198494875649
"endoplasmic reticulum part"	GO:0044432	2	NM_001371384.1	0.412118320413544
"endoplasmic reticulum part"	GO:0044432	2	NM_001375821.1	0.680185799089443
"endoplasmic reticulum part"	GO:0044432	2	NM_001552.3	-0.375478139095743
"endoplasmic reticulum part"	GO:0044432	2	NM_001831.4	-1.01775913077231
"endoplasmic reticulum part"	GO:0044432	2	NM_002117.6	-1.79398379925469
"endoplasmic reticulum part"	GO:0044432	2	NM_002133.3	10.7268775586784
"endoplasmic reticulum part"	GO:0044432	2	NM_002826.5	16.2414013881476
"endoplasmic reticulum part"	GO:0044432	2	NM_002901.4	-4.35166533833363
"endoplasmic reticulum part"	GO:0044432	2	NM_002902.3	1.99826150685365
"endoplasmic reticulum part"	GO:0044432	2	NM_002950.4	-3.03983476203715
"endoplasmic reticulum part"	GO:0044432	2	NM_004048.4	-9.14084042016879
"endoplasmic reticulum part"	GO:0044432	2	NM_004878.5	-0.56386293524365
"endoplasmic reticulum part"	GO:0044432	2	NM_005313.5	-5.72411950583052
"endoplasmic reticulum part"	GO:0044432	2	NM_005514.8	-2.21393706823136
"endoplasmic reticulum part"	GO:0044432	2	NM_005570.4	-3.05004681526043
"endoplasmic reticulum part"	GO:0044432	2	NM_006816.3	-5.37209040446978
"endoplasmic reticulum part"	GO:0044432	2	NM_006827.6	-5.73241167869792
"endoplasmic reticulum part"	GO:0044432	2	NM_006834.5	-0.117727276421878
"endoplasmic reticulum part"	GO:0044432	2	NM_007085.5	-5.0743690365982
"endoplasmic reticulum part"	GO:0044432	2	NM_014041.5	-6.58105405271586
"endoplasmic reticulum part"	GO:0044432	2	NM_015047.3	-0.983598803195525
"endoplasmic reticulum part"	GO:0044432	2	NM_016097.5	-4.80437254180439
"endoplasmic reticulum part"	GO:0044432	2	NM_016275.5	-8.48759331698187
"endoplasmic reticulum part"	GO:0044432	2	NM_017510.6	-1.33286362265872
"endoplasmic reticulum part"	GO:0044432	2	NM_017750.4	-1.67269589029323
"endoplasmic reticulum part"	GO:0044432	2	NM_017831.4	2.25654679567652
"endoplasmic reticulum part"	GO:0044432	2	NM_019026.6	-0.721941089452377
"endoplasmic reticulum part"	GO:0044432	2	NM_021928.4	-5.47946591063981
"endoplasmic reticulum part"	GO:0044432	2	NM_033109.5	1.51723889353692
"endoplasmic reticulum part"	GO:0044432	2	NM_058238.3	2.20878340671336
"endoplasmic reticulum part"	GO:0044432	2	NM_130759.4	0.709938196358815
"endoplasmic reticulum part"	GO:0044432	2	NM_133373.5	0.97247679092214
"endoplasmic reticulum part"	GO:0044432	2	NM_138288.4	-4.50134547427945
"endoplasmic reticulum part"	GO:0044432	2	NM_153613.3	-3.16323805846053
"endoplasmic reticulum part"	GO:0044432	2	NM_181701.4	-7.11822507277582
"endoplasmic reticulum part"	GO:0044432	2	NM_182569.4	1.73265770035335
"endoplasmic reticulum part"	GO:0044432	2	NR_003086.1	-0.277953097498275
"endoplasmic reticulum part"	GO:0044432	2	NR_033416.1	0.325703313377485
"endoplasmic reticulum part"	GO:0044432	2	NR_073609.2	-2.61166414292192
"endoplasmic reticulum part"	GO:0044432	2	XM_005264629.3	0.89641164639954
"endoplasmic reticulum part"	GO:0044432	2	XM_006722190.5	0.280610376082613
"endoplasmic reticulum part"	GO:0044432	2	XM_011526046.4	1.49639573862155
"endoplasmic reticulum part"	GO:0044432	2	XM_017005172.2	0.130189638288168
"endoplasmic reticulum part"	GO:0044432	2	XM_017022206.3	3.32766968213126
"endoplasmic reticulum part"	GO:0044432	2	XM_024450554.2	-0.336506759440557
"endoplasmic reticulum part"	GO:0044432	2	XM_047417258.1	0.473978479313515
"endoplasmic reticulum part"	GO:0044432	2	XM_047417723.1	2.03385785096207
"endoplasmic reticulum part"	GO:0044432	2	XM_047422662.1	0.770382383372637
"endoplasmic reticulum part"	GO:0044432	2	XM_047431344.1	0.671708010388685
"endoplasmic reticulum part"	GO:0044432	2	XM_047437116.1	14.2728334097083
"endoplasmic reticulum part"	GO:0044432	2	XM_047440325.1	3.41387143241072
"endoplasmic reticulum part"	GO:0044432	2	XM_047443919.1	2.75061225336781
"endoplasmic reticulum part"	GO:0044432	2	XR_001747967.3	-0.434696583698573
"endoplasmic reticulum part"	GO:0044432	2	XR_007060761.1	0.844542816673034
"endoplasmic reticulum part"	GO:0044432	2	XR_007095664.1	-0.682954086295967
"sex chromosome"	GO:0000803	4	NM_003074.4	-7.93015724931371
"sex chromosome"	GO:0000803	4	NM_003329.4	-7.58446425578167
"sex chromosome"	GO:0000803	4	NM_003337.4	-5.42689773771317
"sex chromosome"	GO:0000803	4	NM_078628.2	-1.22978057079415
"sex chromosome"	GO:0000803	4	NM_182958.4	-1.97347681044335
"sex chromosome"	GO:0000803	4	XM_011544421.3	4.38331689002366
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	NM_000291.4	0.51470036521317
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	NM_000971.4	-0.362582520791912
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	NM_001199868.2	-2.40606397732712
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	NM_001368064.1	6.11331072270211
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	NM_005570.4	-3.05004681526043
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	NM_014391.3	7.28875189384936
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	NM_024875.5	1.92646144669422
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	NM_152372.4	-0.44734265028964
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	NM_153343.4	-1.2446145866134
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	XM_017022035.2	0.451985117744583
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	XM_047431344.1	0.671708010388685
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	XR_001737199.2	2.12013889947484
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	XR_001737201.3	3.95796328026743
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	NM_001079862.4	-2.33406798231491
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	NM_004477.3	-6.50777942648135
"contractile fiber"	GO:0030016;GO:0043292;GO:0030017;GO:0044449	2	NM_016327.3	-1.14520884266774
"myelin sheath"	GO:0043209	2	NM_001101.5	-5.7955366120507
"myelin sheath"	GO:0043209	2	NM_001322819.2	0.285074222700521
"myelin sheath"	GO:0043209	2	NM_001686.4	-6.15061971086341
"myelin sheath"	GO:0043209	2	NM_001688.5	-15.868725835568
"myelin sheath"	GO:0043209	2	NM_004551.3	-15.8906000242168
"myelin sheath"	GO:0043209	2	NM_005313.5	-5.72411950583052
"myelin sheath"	GO:0043209	2	NM_006003.3	-6.42688339406373
"myelin sheath"	GO:0043209	2	NM_006356.3	-1.48322131216159
"myelin sheath"	GO:0043209	2	NM_012479.4	-9.49484463001029
"myelin sheath"	GO:0043209	2	XR_001744845.3	-0.968165503686214
"myelin sheath"	GO:0043209	2	XR_007058614.1	0.0476688112946469
"endocytic vesicle"	GO:0030139	2	NM_000876.4	-4.49094797638845
"endocytic vesicle"	GO:0030139	2	NM_001063.4	-0.237480947669728
"endocytic vesicle"	GO:0030139	2	NM_001160111.1	-2.53096591905662
"endocytic vesicle"	GO:0030139	2	NM_002117.6	-1.79398379925469
