name	term	lev	seq	value
"active transmembrane transporter activity"	GO:0022804	2	NM_001152.5	-8.83598722019632
"active transmembrane transporter activity"	GO:0022804	2	NM_001686.4	-6.15061971086341
"active transmembrane transporter activity"	GO:0022804	2	NM_006351.4	-2.62435055726382
"active transmembrane transporter activity"	GO:0022804	2	NM_152565.1	-3.03531134213763
"active transmembrane transporter activity"	GO:0022804	2	NR_033801.1	1.18705381374207
"active transmembrane transporter activity"	GO:0022804	2	XM_047422662.1	0.770382383372637
"phosphatidylinositol 3-kinase regulator activity"	GO:0035014	2	NM_001362736.2	8.77310932587143
"phosphatidylinositol 3-kinase regulator activity"	GO:0035014	2	NM_001362737.2	7.4659457998315
"phosphatidylinositol 3-kinase regulator activity"	GO:0035014	2	NM_001362738.2	5.04389521482813
"phosphatidylinositol 3-kinase regulator activity"	GO:0035014	2	NM_014149.4	5.98459021297194
"phosphatidylinositol 3-kinase regulator activity"	GO:0035014	2	NR_156130.2	7.25596445071025
"phosphatidylinositol 3-kinase regulator activity"	GO:0035014	2	NR_156131.2	12.5690919403908
"calcium ion binding"	GO:0005509	4	NM_001271837.2	0.567332702651408
"calcium ion binding"	GO:0005509	4	NM_001686.4	-6.15061971086341
"calcium ion binding"	GO:0005509	4	NM_001943.5	-1.09653798549953
"calcium ion binding"	GO:0005509	4	NM_002901.4	-4.35166533833363
"calcium ion binding"	GO:0005509	4	NM_002902.3	1.99826150685365
"calcium ion binding"	GO:0005509	4	NM_005570.4	-3.05004681526043
"calcium ion binding"	GO:0005509	4	NM_138458.4	-1.128270720303
"calcium ion binding"	GO:0005509	4	NM_173050.5	0.40595536843631
"calcium ion binding"	GO:0005509	4	NR_073609.2	-2.61166414292192
"calcium ion binding"	GO:0005509	4	XM_047417723.1	2.03385785096207
"calcium ion binding"	GO:0005509	4	XM_047431344.1	0.671708010388685
"phosphatase binding"	GO:0019902	4	NM_001003652.4	0.913757487898643
"phosphatase binding"	GO:0019902	4	NM_001098612.3	0.413111346648677
"phosphatase binding"	GO:0019902	4	NM_001135937.3	0.269896164664222
"phosphatase binding"	GO:0019902	4	NM_001137664.2	-4.22672902538586
"phosphatase binding"	GO:0019902	4	NM_001159920.2	-0.423157864212485
"phosphatase binding"	GO:0019902	4	NM_001160030.2	-0.00908970307799077
"phosphatase binding"	GO:0019902	4	NM_001816.4	0.894271173220345
"phosphatase binding"	GO:0019902	4	NM_002019.4	-1.76202630963752
"phosphatase binding"	GO:0019902	4	NM_004252.5	-9.75329844065371
"phosphatase binding"	GO:0019902	4	NM_138458.4	-1.128270720303
"phosphatase binding"	GO:0019902	4	XM_047437508.1	0.432247344780898
"phosphatase binding"	GO:0019902	4	XM_047438786.1	-0.975043682911214
"nucleotidyltransferase activity"	GO:0016779	4	NM_001002926.2	-9.86862162871327
"nucleotidyltransferase activity"	GO:0016779	4	NM_001350236.2	3.46856482526551
"nucleotidyltransferase activity"	GO:0016779	4	NM_001363658.2	0.46542155939823
"nucleotidyltransferase activity"	GO:0016779	4	NM_002696.3	-4.51440784384316
"nucleotidyltransferase activity"	GO:0016779	4	NM_006231.4	-1.57377504284341
"nucleotidyltransferase activity"	GO:0016779	4	NM_007055.4	-5.95207344389884
"nucleotidyltransferase activity"	GO:0016779	4	NM_014026.6	1.68101093869103
"nucleotidyltransferase activity"	GO:0016779	4	NM_018109.4	-2.29382207739606
"nucleotidyltransferase activity"	GO:0016779	4	NM_021128.5	-7.00565737160221
"nucleotidyltransferase activity"	GO:0016779	4	NM_033109.5	1.51723889353692
"nucleotidyltransferase activity"	GO:0016779	4	NM_199420.4	-3.16920037539113
"nucleotidyltransferase activity"	GO:0016779	4	NM_203290.4	-14.0793790007721
"nucleotidyltransferase activity"	GO:0016779	4	NR_110023.2	10.6175810668969
"nucleotidyltransferase activity"	GO:0016779	4	XM_005264629.3	0.89641164639954
"nucleotidyltransferase activity"	GO:0016779	4	XM_011509078.4	-3.7833701644485
"nucleotidyltransferase activity"	GO:0016779	4	XM_017005172.2	0.130189638288168
"nucleotidyltransferase activity"	GO:0016779	4	XM_047418900.1	-0.470723649523865
"nucleotidyltransferase activity"	GO:0016779	4	XM_047419577.1	0.679798976612443
"nucleotidyltransferase activity"	GO:0016779	4	XM_047433411.1	2.01215569204554
"enzyme inhibitor activity"	GO:0004857	2	NM_000100.4	-12.5520310771922
"enzyme inhibitor activity"	GO:0004857	2	NM_000362.5	-0.97057947110712
"enzyme inhibitor activity"	GO:0004857	2	NM_001063.4	-0.237480947669728
"enzyme inhibitor activity"	GO:0004857	2	NM_001276290.1	-0.522739740156848
"enzyme inhibitor activity"	GO:0004857	2	NM_001378592.1	-0.240625088544588
"enzyme inhibitor activity"	GO:0004857	2	NM_012479.4	-9.49484463001029
"enzyme inhibitor activity"	GO:0004857	2	NM_013271.5	-2.55380872270316
"enzyme inhibitor activity"	GO:0004857	2	NM_019099.5	1.94931261591167
"enzyme inhibitor activity"	GO:0004857	2	NM_020312.4	-5.51504315910997
"enzyme inhibitor activity"	GO:0004857	2	NM_022901.3	-0.0731960990459862
"enzyme inhibitor activity"	GO:0004857	2	NM_138689.3	-6.59717869182609
"enzyme inhibitor activity"	GO:0004857	2	NR_165803.1	0.795120424685858
"enzyme inhibitor activity"	GO:0004857	2	XM_011538936.2	0.117252135725947
"enzyme inhibitor activity"	GO:0004857	2	XM_017006965.3	-0.940886548404266
"enzyme inhibitor activity"	GO:0004857	2	XM_017020155.3	-1.21706303289426
"protein domain specific binding"	GO:0019904	2	NM_000474.4	-1.18521405034892
"protein domain specific binding"	GO:0019904	2	NM_000876.4	-4.49094797638845
"protein domain specific binding"	GO:0019904	2	NM_001003652.4	0.913757487898643
"protein domain specific binding"	GO:0019904	2	NM_001098612.3	0.413111346648677
"protein domain specific binding"	GO:0019904	2	NM_001135937.3	0.269896164664222
"protein domain specific binding"	GO:0019904	2	NM_001276290.1	-0.522739740156848
"protein domain specific binding"	GO:0019904	2	NM_001527.4	2.26967811107357
"protein domain specific binding"	GO:0019904	2	NM_001686.4	-6.15061971086341
"protein domain specific binding"	GO:0019904	2	NM_002167.5	-0.61378575505605
"protein domain specific binding"	GO:0019904	2	NM_003337.4	-5.42689773771317
"protein domain specific binding"	GO:0019904	2	NM_003577.3	0.310889078975526
"protein domain specific binding"	GO:0019904	2	NM_004209.6	2.34315458922177
"protein domain specific binding"	GO:0019904	2	NM_004252.5	-9.75329844065371
"protein domain specific binding"	GO:0019904	2	NM_005830.4	-6.19719338156564
"protein domain specific binding"	GO:0019904	2	NM_007204.5	-5.28328719700697
"protein domain specific binding"	GO:0019904	2	NM_012238.5	-0.160396528986431
"protein domain specific binding"	GO:0019904	2	NM_012479.4	-9.49484463001029
"protein domain specific binding"	GO:0019904	2	NM_013245.3	-1.58007148757583
"protein domain specific binding"	GO:0019904	2	NM_014412.3	-1.21993578006839
"protein domain specific binding"	GO:0019904	2	NM_020412.5	-1.90409605053233
"protein domain specific binding"	GO:0019904	2	NM_138458.4	-1.128270720303
"protein domain specific binding"	GO:0019904	2	NR_123721.1	1.30084722729304
"protein domain specific binding"	GO:0019904	2	XM_011532485.4	-0.263072199092759
"protein domain specific binding"	GO:0019904	2	XM_047436182.1	2.32239356760832
"protein domain specific binding"	GO:0019904	2	XM_047437508.1	0.432247344780898
"protein domain specific binding"	GO:0019904	2	XM_047438786.1	-0.975043682911214
"protein domain specific binding"	GO:0019904	2	XR_001744845.3	-0.968165503686214
"ATPase activity"	GO:0016887;GO:0042623	4	NM_000113.3	-2.91396871987061
"ATPase activity"	GO:0016887;GO:0042623	4	NM_001382365.1	-2.21711555654543
"ATPase activity"	GO:0016887;GO:0042623	4	NM_001686.4	-6.15061971086341
"ATPase activity"	GO:0016887;GO:0042623	4	NM_002802.3	-2.07790494629965
"ATPase activity"	GO:0016887;GO:0042623	4	NM_002915.4	-6.27379699934585
"ATPase activity"	GO:0016887;GO:0042623	4	NM_003594.4	-0.890231369638169
"ATPase activity"	GO:0016887;GO:0042623	4	NM_004939.3	-11.9095793844695
"ATPase activity"	GO:0016887;GO:0042623	4	NM_006045.3	-0.817346188530309
"ATPase activity"	GO:0016887;GO:0042623	4	NM_006929.5	-1.56273216568422
"ATPase activity"	GO:0016887;GO:0042623	4	NM_007204.5	-5.28328719700697
"ATPase activity"	GO:0016887;GO:0042623	4	NM_013245.3	-1.58007148757583
"ATPase activity"	GO:0016887;GO:0042623	4	NM_018380.4	-2.86787975044927
"ATPase activity"	GO:0016887;GO:0042623	4	NM_152565.1	-3.03531134213763
"ATPase activity"	GO:0016887;GO:0042623	4	NM_175871.4	-8.43827267121396
"ATPase activity"	GO:0016887;GO:0042623	4	NM_199367.3	-2.05434704756515
"ATPase activity"	GO:0016887;GO:0042623	4	NM_199420.4	-3.16920037539113
"ATPase activity"	GO:0016887;GO:0042623	4	NR_003613.1	-2.35587129606339
"ATPase activity"	GO:0016887;GO:0042623	4	XM_011535172.4	-3.68693793611925
"ATPase activity"	GO:0016887;GO:0042623	4	XM_017002552.3	-0.789058428254288
"ATPase activity"	GO:0016887;GO:0042623	4	XM_047432481.1	0.713914524368683
