"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-153 0.115967385454004 2 5 "GO:0000018" "regulation of DNA recombination" 0.60778380587329
-146 0.100868724686866 2 6 "GO:0000027" "ribosomal large subunit assembly" 0.580882203473108
-89 0.320490195746533 2 6 "GO:0000041" "transition metal ion transport" 0.759727617059347
45 0.64358220553791 2 5 "GO:0000045" "autophagic vacuole assembly" 0.910549638946228
-56 0.442018942265224 2 9 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.851350769472179
-147 0.0441091244164994 4 9 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.459838571803899
-213 0.0288585868824211 2 5 "GO:0000077;GO:0031570" "DNA damage checkpoint" 0.459332507878536
-150 0.0520040012721619 7 8 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.471230453050959
159 0.0292739568261424 6 9 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.459561020859715
-5 0.869793370711089 4 49 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.984087832170798
-50 0.446029405578912 3 11 "GO:0000165;GO:0023014" "MAPK cascade" 0.85333839531458
-78 0.198661343285263 7 13 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.688643068326358
-16 0.870374347843399 4 5 "GO:0000186" "activation of MAPKK activity" 0.984087832170798
101 0.0279187094837025 3 23 "GO:0000209" "protein polyubiquitination" 0.450631564342578
-30 0.458892005849144 2 30 "GO:0000226" "microtubule cytoskeleton organization" 0.861893153455499
-17 0.622469556895148 2 42 "GO:0000278" "mitotic cell cycle" 0.901134550578157
-33 0.486551730564689 4 22 "GO:0000280;GO:0048285" "organelle fission" 0.864189214419392
129 0.0340088407816522 2 13 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.459838571803899
67 0.495459960422568 2 5 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.864189214419392
17 0.770871484808418 2 14 "GO:0000302" "response to reactive oxygen species" 0.965560566001474
-38 0.346449579077427 2 31 "GO:0000375;GO:0008380;GO:0000377;GO:0000398" "RNA splicing" 0.785710873248395
-144 0.140254527201819 5 5 "GO:0000422" "mitochondrion degradation" 0.625873463455053
-275 0.00474749226119794 2 5 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.259938075292587
7 0.936083674387812 2 6 "GO:0000578" "embryonic axis specification" 0.99445192389018
19 0.805479085297025 3 8 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.966997678167589
-105 0.280002912905482 5 5 "GO:0000731" "DNA synthesis involved in DNA repair" 0.72600241515005
-44 0.206112192352479 2 42 "GO:0000902;GO:0000904" "cell morphogenesis" 0.688643068326358
-148 0.128958539617053 4 5 "GO:0000910" "cytokinesis" 0.613221935274451
43 0.250485983314452 3 36 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.711264388035313
2 0.967819139593023 3 22 "GO:0001101" "response to acid" 0.998308491425387
-21 0.657610521061113 3 21 "GO:0001501" "skeletal system development" 0.919050801385409
38 0.464170702340299 2 18 "GO:0001505" "regulation of neurotransmitter levels" 0.861893153455499
42 0.404072225688059 2 19 "GO:0001525;GO:0001568;GO:0001944;GO:0048514;GO:0072358" "blood vessel development" 0.828176515187693
-42 0.318324160433184 2 28 "GO:0001558" "regulation of cell growth" 0.759163174845423
55 0.507631966655349 4 7 "GO:0001570;GO:0001945;GO:0043542;GO:0036303" "endothelial cell migration" 0.864189214419392
