"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-20 0.819057512135895 2 5 "GO:0000018" "regulation of DNA recombination" 0.95542204073935
-139 0.0872448173787403 4 6 "GO:0000027" "ribosomal large subunit assembly" 0.559304343870921
-57 0.482391983470697 2 6 "GO:0000041" "transition metal ion transport" 0.856244783171791
-40 0.54892164547189 2 9 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.87987816286991
-103 0.173485395173886 4 7 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.66122824191519
-173 0.0142681638450843 3 8 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.442323433871071
94 0.18448880193369 5 8 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.667787888304943
-8 0.782952278809117 4 45 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.948437769037375
-2 0.97185884923601 5 11 "GO:0000165;GO:0023014" "MAPK cascade" 0.989990544184443
-131 0.0179462463931409 7 13 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.442323433871071
9 0.918818909131805 4 5 "GO:0000186" "activation of MAPKK activity" 0.974141139708556
119 0.00543235044507485 3 22 "GO:0000209" "protein polyubiquitination" 0.395475112401449
-16 0.687488020770679 2 27 "GO:0000226" "microtubule cytoskeleton organization" 0.926835702076027
-21 0.523502403277689 4 37 "GO:0000278" "mitotic cell cycle" 0.864070065087122
-20 0.640164229644602 2 22 "GO:0000280;GO:0048285" "organelle fission" 0.918606227032727
68 0.284726673269632 2 10 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.758345188318142
-23 0.663311369955107 2 14 "GO:0000302" "response to reactive oxygen species" 0.919614624176708
-23 0.54690211191403 2 27 "GO:0000375;GO:0008380;GO:0000377;GO:0000398" "RNA splicing" 0.879553911944213
-148 0.0964216879985851 2 5 "GO:0000422" "mitochondrion degradation" 0.569148558348405
-170 0.0363582620841572 3 6 "GO:0000462;GO:0030490;GO:0042274" "ribosomal small subunit biogenesis" 0.477312689341579
73 0.368639140570952 4 6 "GO:0000578" "embryonic axis specification" 0.808341247998955
68 0.368606904299536 2 7 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.808341247998955
-99 0.268057073310779 3 5 "GO:0000731" "DNA synthesis involved in DNA repair" 0.735473176018519
-37 0.265702974172611 2 38 "GO:0000902;GO:0000904" "cell morphogenesis" 0.73269608029417
-16 0.647492302780705 6 32 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.918861101255347
-8 0.850963763839558 2 21 "GO:0001101" "response to acid" 0.955454229790847
-14 0.748916951564738 4 20 "GO:0001501" "skeletal system development" 0.946922752866137
26 0.590677795308921 2 17 "GO:0001505" "regulation of neurotransmitter levels" 0.90057087408846
28 0.568626322479225 4 17 "GO:0001525;GO:0001568;GO:0001944;GO:0048514;GO:0072358" "cardiovascular system development" 0.88985803168052
-72 0.0746268956021588 2 25 "GO:0001558" "regulation of cell growth" 0.559304343870921
34 0.655115214480734 3 7 "GO:0001570;GO:0001945;GO:0043542;GO:0036303" "endothelial cell migration" 0.918861101255347
-32 0.294360511713191 3 44 "GO:0001654;GO:0007423" "sensory organ development" 0.762428781828761
-21 0.654659497130107 4 19 "GO:0001655;GO:0072001" "renal system development" 0.918861101255347
-28 0.73202235185082 4 6 "GO:0001656" "metanephros development" 0.944879915154959
77 0.250287187387112 4 9 "GO:0001657;GO:0001823;GO:0007179;GO:0090100;GO:0060395;GO:0072163;GO:0072164" "transforming growth factor beta receptor signaling pathway" 0.716380683903009
-28 0.453588906975637 2 30 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.846668728934649
-93 0.0729840146666649 3 15 "GO:0001667" "ameboidal cell migration" 0.559304343870921
155 0.0562946346344031 4 6 "GO:0001676;GO:0006690;GO:1901568;GO:0033559" "fatty acid derivative metabolic process" 0.53455426974581
-167 0.0601234539608678 2 5 "GO:0001678" "cellular glucose homeostasis" 0.54092360912571
-61 0.455720733496384 2 6 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.846668728934649
23 0.551527284417109 3 27 "GO:0001701" "in utero embryonic development" 0.881797649463372
72 0.235169117354205 2 11 "GO:0001704" "formation of primary germ layer" 0.716380683903009
99 0.223350431703879 3 6 "GO:0001706;GO:0007492" "endoderm formation" 0.706366658922773
105 0.138025313170371 2 8 "GO:0001707;GO:0048332" "mesoderm formation" 0.613721985435565
-31 0.725540882188546 3 5 "GO:0001708" "cell fate specification" 0.942422832498576
-126 0.0953526673568043 2 7 "GO:0001736;GO:0007164;GO:0001738" "morphogenesis of a polarized epithelium" 0.565897351921904
-86 0.253226139181833 2 7 "GO:0001745;GO:0001751" "compound eye morphogenesis" 0.716380683903009
59 0.304656921328473 7 12 "GO:0001754;GO:0046530;GO:0042461" "photoreceptor cell differentiation" 0.77068539812285
-72 0.0150688836560834 3 48 "GO:0001775;GO:0002252;GO:0045321" "cell activation" 0.442323433871071
-78 0.380744303462372 3 5 "GO:0001776" "leukocyte homeostasis" 0.813645360823699
112 0.169156514202214 2 6 "GO:0001816" "cytokine production" 0.658520338044914
36 0.319566284917183 2 32 "GO:0001817" "regulation of cytokine production" 0.7822014150954
79 0.115362395645869 2 16 "GO:0001818" "negative regulation of cytokine production" 0.577870348831601
-9 0.84916029047186 2 19 "GO:0001819" "positive regulation of cytokine production" 0.955454229790847
-12 0.824765373884053 2 14 "GO:0001822" "kidney development" 0.95542204073935
89 0.180477765352333 2 9 "GO:0001824;GO:0001832" "blastocyst development" 0.667787888304943
217 0.0149002841765621 3 5 "GO:0001833" "inner cell mass cell proliferation" 0.442323433871071
-104 0.100920334055088 5 10 "GO:0001838;GO:0072175;GO:0001841;GO:0021915" "neural tube development" 0.575531667944226
-166 0.0410287346522781 4 6 "GO:0001843;GO:0060606;GO:0014020" "primary neural tube formation" 0.478176894421615
-29 0.608015513252434 4 13 "GO:0001889;GO:0061008" "hepaticobiliary system development" 0.916400560945942
98 0.163481346048845 3 8 "GO:0001890" "placenta development" 0.651538795201966
102 0.252712071664901 2 5 "GO:0001892" "embryonic placenta development" 0.716380683903009
-70 0.3554825336124 5 7 "GO:0001894" "tissue homeostasis" 0.793838295919715
-125 0.160918782903982 4 5 "GO:0001910;GO:0031341" "regulation of leukocyte mediated cytotoxicity" 0.648425501590953
-7 0.781760582096271 4 71 "GO:0001932;GO:0042325" "regulation of phosphorylation" 0.948437769037375
-51 0.138019986581008 6 35 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphorus metabolic process" 0.613721985435565
