"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-31 0.941496084577761 3 7 "GO:0000002" "mitochondrial genome maintenance" 0.995426494265008
-141 0.265679287356683 4 79 "GO:0000018" "regulation of DNA recombination" 0.9644172909625
-340 0.336567358669447 7 10 "GO:0000019;GO:0045950" "regulation of mitotic recombination" 0.969764039591285
719 0.0419934982987472 3 10 "GO:0000027" "ribosomal large subunit assembly" 0.897780519486731
-209 0.226639144122411 5 42 "GO:0000041;GO:0006826" "transition metal ion transport" 0.9644172909625
44 0.846084046484351 2 24 "GO:0000045" "autophagic vacuole assembly" 0.995426494265008
769 0.123760053044673 2 5 "GO:0000060" "protein import into nucleus, translocation" 0.917608643861185
131 0.396910376944506 3 53 "GO:0000070" "mitotic sister chromatid segregation" 0.981918693314616
72 0.531227882181069 2 96 "GO:0000075;GO:0000077;GO:0031570" "cell cycle checkpoint" 0.993974613423831
-227 0.49999859250848 6 11 "GO:0000076" "DNA replication checkpoint" 0.993974613423831
258 0.279648174272431 2 22 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.9644172909625
86 0.597548725255518 2 48 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.995426494265008
21 0.958394955951375 2 8 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.99566846473091
24 0.873270738816707 2 57 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.995426494265008
-111 0.681874990177035 3 17 "GO:0000096" "sulfur amino acid metabolic process" 0.995426494265008
-263 0.456838024879752 2 10 "GO:0000097;GO:0006555;GO:0009067;GO:0009086" "sulfur amino acid biosynthetic process" 0.993974613423831
346 0.447903409197338 2 6 "GO:0000098" "sulfur amino acid catabolic process" 0.99214711444911
99 0.162815816143954 8 263 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.942944518079638
38 0.903407916954225 3 13 "GO:0000154" "rRNA modification" 0.995426494265008
-183 0.127951338279501 2 88 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.917608643861185
477 0.00788319384196907 2 39 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.790214063793863
301 0.28231453110063 2 16 "GO:0000186" "activation of MAPKK activity" 0.9644172909625
-250 0.174414991574011 3 37 "GO:0000187" "activation of MAPK activity" 0.958125700819121
-20 0.84618673548175 9 123 "GO:0000209" "protein polyubiquitination" 0.995426494265008
-557 0.084198420014104 2 12 "GO:0000212" "meiotic spindle organization" 0.897780519486731
-8 0.905556286046779 2 301 "GO:0000226;GO:0007017" "microtubule-based process" 0.995426494265008
-68 0.746697136352599 3 28 "GO:0000245" "spliceosomal complex assembly" 0.995426494265008
-55 0.401816234955176 4 312 "GO:0000278" "mitotic cell cycle" 0.981918693314616
