"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
122 0.0684527364735444 2 7 "GO:0000118" "histone deacetylase complex" 0.315638350260151
-64 0.340723301503786 3 7 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.654723206811197
-4 0.898683428377011 2 34 "GO:0000139" "Golgi membrane" 0.952878836581045
78 0.0259320994561343 2 26 "GO:0000151" "ubiquitin ligase complex" 0.206700617390574
56 0.0657175146605446 3 35 "GO:0000228;GO:0044454" "nuclear chromosome" 0.315638350260151
-149 0.0171442071515805 4 8 "GO:0000313;GO:0000314;GO:0005761;GO:0005763" "organellar ribosome" 0.185506453751453
-42 0.197597114099012 4 31 "GO:0000323;GO:0005773;GO:0005764;GO:0044437" "vacuole" 0.53790325504731
-44 0.282546583914147 4 19 "GO:0000428;GO:0030880;GO:0055029" "nuclear DNA-directed RNA polymerase complex" 0.622237420754751
16 0.764710237871919 4 11 "GO:0000775;GO:0000776" "chromosome, centromeric region" 0.945872268547164
11 0.891033587626741 4 5 "GO:0000781" "chromosome, telomeric region" 0.952878836581045
9 0.77306643021948 4 33 "GO:0000785;GO:0000790" "chromatin" 0.945872268547164
28 0.696884587698011 2 6 "GO:0000792" "heterochromatin" 0.916707242877921
-55 0.347574877977067 4 9 "GO:0000793" "condensed chromosome" 0.660626427332939
57 0.472590086333693 3 5 "GO:0000794" "condensed nuclear chromosome" 0.759243089519703
-102 0.155242403825279 4 6 "GO:0000803" "sex chromosome" 0.489811843400078
-52 0.275329078344624 2 14 "GO:0000922" "spindle pole" 0.614768636201755
28 0.693427182363503 3 6 "GO:0000932" "cytoplasmic mRNA processing body" 0.916707242877921
164 0.0227552765742526 3 6 "GO:0001650" "fibrillar center" 0.193914530806674
4 0.958135097265314 2 5 "GO:0001726" "ruffle" 0.983653542027677
-30 0.222198041094712 2 58 "GO:0005615;GO:0044421" "extracellular region part" 0.573019855404319
-5 0.878208051272535 2 27 "GO:0005635" "nuclear envelope" 0.952878836581045
-70 0.374930224483813 2 5 "GO:0005641" "nuclear envelope lumen" 0.671979806073377
-18 0.822710894778922 2 5 "GO:0005643" "nuclear pore" 0.952878836581045
34 0.640690636853539 4 6 "GO:0005657" "replication fork" 0.884333555093617
-111 0.123991996724709 2 6 "GO:0005666" "DNA-directed RNA polymerase III complex" 0.422886099900002
29 0.437510629537436 3 23 "GO:0005667" "transcription factor complex" 0.714600694911146
116 0.0631732260412644 3 8 "GO:0005669" "transcription factor TFIID complex" 0.315638350260151
-99 0.0450697856721622 3 13 "GO:0005681" "spliceosomal complex" 0.252390799764108
-67 0.311888655015084 2 7 "GO:0005684" "U2-type spliceosomal complex" 0.627360660769338
-9 0.711846853762952 2 65 "GO:0005694;GO:0044427" "chromosome" 0.917907785115386
1 0.98623684892628 4 8 "GO:0005700" "polytene chromosome" 0.996404239121396
-17 0.432165153668465 3 77 "GO:0005730" "nucleolus" 0.714600694911146
-107 0.175137058516876 2 5 "GO:0005736" "DNA-directed RNA polymerase I complex" 0.505746727593524
-52 0.026535537352532 4 62 "GO:0005740;GO:0031966" "mitochondrial envelope" 0.206700617390574
-2 0.974905383143253 3 8 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 0.990059352829418
-78 0.00356401099053392 4 47 "GO:0005743;GO:0019866" "organelle inner membrane" 0.113591008606479
-172 0.028662140410142 5 5 "GO:0005747;GO:0045271;GO:0030964" "respiratory chain complex I" 0.206700617390574
-9 0.869758692033331 4 11 "GO:0005758" "mitochondrial intermembrane space" 0.952878836581045
-86 0.00336094920181606 4 38 "GO:0005759" "mitochondrial matrix" 0.113591008606479
-32 0.401472671723052 2 22 "GO:0005765;GO:0005774" "vacuolar membrane" 0.696359678386887
-124 0.115002864574065 3 5 "GO:0005766;GO:0042582" "azurophil granule" 0.422886099900002
58 0.020439112755823 2 53 "GO:0005768" "endosome" 0.190765052387681
59 0.0764857603223552 3 29 "GO:0005769" "early endosome" 0.333137978292925
85 0.0295286596272248 3 21 "GO:0005770" "late endosome" 0.206700617390574
-110 0.125139764256123 2 6 "GO:0005775" "vacuolar lumen" 0.422886099900002
-16 0.778773004703317 5 10 "GO:0005777;GO:0042579" "peroxisome" 0.945872268547164
-12 0.766650355024964 2 18 "GO:0005788" "endoplasmic reticulum lumen" 0.945872268547164
31 0.223974037508683 3 50 "GO:0005789;GO:0042175" "nuclear outer membrane-endoplasmic reticulum membrane network" 0.573019855404319
-23 0.711102061028245 2 8 "GO:0005793;GO:0033116" "endoplasmic reticulum-Golgi intermediate compartment" 0.917907785115386
30 0.162437601127577 3 76 "GO:0005794" "Golgi apparatus" 0.489811843400078
-70 0.0953174384929905 2 18 "GO:0005798" "Golgi-associated vesicle" 0.370737772117716
52 0.238152288887898 2 16 "GO:0005802" "trans-Golgi network" 0.577684878139393
-104 0.00740939090422803 3 21 "GO:0005813" "centrosome" 0.161360068580966
0 0.996481798602275 4 36 "GO:0005815" "microtubule organizing center" 0.999158249029999
-83 0.0293385265870156 3 22 "GO:0005819" "spindle" 0.206700617390574
-80 0.013948819082531 3 31 "GO:0005840;GO:0044391" "ribosome" 0.185506453751453
-28 0.566547783255438 2 13 "GO:0005844" "polysome" 0.830573214974515
-12 0.851092215093086 4 8 "GO:0005874" "microtubule" 0.952878836581045
3 0.96357897994548 2 8 "GO:0005875" "microtubule associated complex" 0.983653542027677
13 0.637892726388733 2 47 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.884333555093617
74 0.267509189793553 2 7 "GO:0005901" "caveola" 0.614768636201755
83 0.247317086031302 2 6 "GO:0005905" "coated pit" 0.58889769065034
124 0.0349131918194981 2 9 "GO:0005911" "cell-cell junction" 0.228099519887388
86 0.0922996055290073 3 12 "GO:0005912;GO:0070161" "anchoring junction" 0.369198422116029
174 0.0155107341691534 2 6 "GO:0005913" "cell-cell adherens junction" 0.185506453751453
8 0.815517195465347 2 30 "GO:0005929;GO:0044441" "cilium" 0.952878836581045
-46 0.523787462847408 3 6 "GO:0005930;GO:0032838;GO:0097014" "cell projection cytoplasm" 0.795832114093736
-94 0.191341955942002 4 6 "GO:0005938" "cell cortex" 0.535757476637606
8 0.883436535532087 2 11 "GO:0008021;GO:0070382" "exocytic vesicle" 0.952878836581045
-96 0.124216015714623 2 8 "GO:0008023" "transcription elongation factor complex" 0.422886099900002
-137 0.0818619738690072 2 5 "GO:0009295;GO:0042645" "mitochondrial nucleoid" 0.341381848475009
69 0.19583759144224 2 11 "GO:0009897" "external side of plasma membrane" 0.53790325504731
120 0.0964674815204262 2 6 "GO:0009925;GO:0045178" "basal part of cell" 0.370737772117716
23 0.512426469379641 2 27 "GO:0009986" "cell surface" 0.79083140156228
34 0.313680330384669 2 29 "GO:0010008;GO:0044440" "endosomal part" 0.627360660769338
26 0.353907014642646 2 42 "GO:0012506;GO:0030659" "vesicle membrane" 0.660626427332939
-49 0.298344257912882 2 14 "GO:0012507;GO:0030134;GO:0030660" "ER to Golgi transport vesicle" 0.626428979812964
-56 0.399686894691933 2 7 "GO:0014069;GO:0032279" "postsynaptic density" 0.696359678386887
103 0.189402293454991 3 5 "GO:0015030" "Cajal body" 0.535757476637606
37 0.456751389205908 4 13 "GO:0015629" "actin cytoskeleton" 0.739861754416182
-101 0.00668258809458706 2 23 "GO:0015934;GO:0022625;GO:0022626" "cytosolic ribosome" 0.161360068580966
-80 0.17546315038959 4 9 "GO:0015935" "small ribosomal subunit" 0.505746727593524
-27 0.212552572807635 3 72 "GO:0016023;GO:0031988" "cytoplasmic membrane-bounded vesicle" 0.562977084733736
111 0.0380526219367691 2 11 "GO:0016323" "basolateral plasma membrane" 0.233072309362711
9 0.842943226043626 2 14 "GO:0016324" "apical plasma membrane" 0.952878836581045
58 0.351059216123429 2 8 "GO:0016363;GO:0034399" "nuclear periphery" 0.660626427332939
-178 0.0132723193803099 2 6 "GO:0016469" "proton-transporting two-sector ATPase complex" 0.185506453751453
122 0.121638658601145 4 5 "GO:0016581;GO:0090545" "NuRD complex" 0.422886099900002
-10 0.84598392141926 2 13 "GO:0016591" "DNA-directed RNA polymerase II, holoenzyme" 0.952878836581045
113 0.150484357136077 2 5 "GO:0016592" "mediator complex" 0.489811843400078
27 0.410092059759253 2 31 "GO:0016604" "nuclear body" 0.70507055888433
81 0.303896359330519 3 5 "GO:0016605" "PML body" 0.626986172934545
26 0.605687061945387 2 12 "GO:0016607" "nuclear speck" 0.86025118942968
37 0.436643948126939 3 14 "GO:0017053" "transcriptional repressor complex" 0.714600694911146
26 0.744055993340346 2 5 "GO:0019005" "SCF ubiquitin ligase complex" 0.945872268547164
113 0.0434708355140107 2 10 "GO:0019897" "extrinsic component of plasma membrane" 0.250596581198415
143 0.000171395786992716 2 22 "GO:0019898" "extrinsic component of membrane" 0.0335935742505723
67 0.129459034507711 2 16 "GO:0030016;GO:0043292;GO:0030017;GO:0044449" "contractile fiber" 0.430067301076464
145 0.00949431920751694 4 10 "GO:0030018;GO:0031674" "I band" 0.185506453751453
-93 0.236288293139678 2 5 "GO:0030027" "lamellipodium" 0.577684878139393
94 0.015869136161631 1 21 "GO:0030054" "cell junction" 0.185506453751453
-41 0.572078489905916 3 6 "GO:0030117;GO:0048475" "membrane coat" 0.830573214974515
-3 0.915851693295931 2 31 "GO:0030135;GO:0030133" "coated vesicle" 0.965091031645175
19 0.664172829931372 5 17 "GO:0030136" "clathrin-coated vesicle" 0.891629278538006
-72 0.160297407897646 2 12 "GO:0030139" "endocytic vesicle" 0.489811843400078
-143 0.0692471890876862 2 5 "GO:0030140" "trans-Golgi network transport vesicle" 0.315638350260151
-65 0.0200602916576877 2 43 "GO:0030141" "secretory granule" 0.190765052387681
-55 0.376788154807602 4 8 "GO:0030176;GO:0031227" "integral component of endoplasmic reticulum membrane" 0.671979806073377
10 0.781792385227758 3 23 "GO:0030424" "axon" 0.945872268547164
-7 0.877717614946882 3 16 "GO:0030425;GO:0097447" "dendrite" 0.952878836581045
52 0.435794130640988 3 7 "GO:0030426;GO:0030427" "growth cone" 0.714600694911146
-61 0.364293744489391 2 7 "GO:0030496" "midbody" 0.671979806073377
-77 0.000421732472293333 2 73 "GO:0030529" "ribonucleoprotein complex" 0.0413297822847466
-76 0.292977449836206 3 6 "GO:0030532" "small nuclear ribonucleoprotein complex" 0.626428979812964
