"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
94 0.168638607233493 2 5 "GO:0000118" "histone deacetylase complex" 0.492531805253376
-43 0.534492447558954 6 5 "GO:0000123;GO:0031248;GO:1902493" "histone acetyltransferase complex" 0.784418055257268
-4 0.89669843096875 3 34 "GO:0000139" "Golgi membrane" 0.96775458090207
79 0.0125902478213972 2 24 "GO:0000151" "ubiquitin ligase complex" 0.149326299482027
45 0.127007639536609 2 28 "GO:0000228;GO:0000790;GO:0044454" "nuclear chromosome" 0.417310815620287
-83 0.125123233088534 4 8 "GO:0000313;GO:0000314;GO:0005761;GO:0005763" "organellar ribosome" 0.417310815620287
-21 0.459953951526882 2 30 "GO:0000323;GO:0005773;GO:0005764;GO:0044437" "vacuole" 0.723556815365322
-36 0.329990543918657 4 18 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.645938937032265
25 0.592460312133794 2 11 "GO:0000775;GO:0032993" "protein-DNA complex" 0.822526703874063
-25 0.671902572770479 3 7 "GO:0000776" "kinetochore" 0.865835667173854
25 0.713331013973527 2 5 "GO:0000781" "chromosome, telomeric region" 0.87501937714086
-11 0.700611749526215 2 29 "GO:0000785" "chromatin" 0.86912943228663
38 0.544956675665128 2 6 "GO:0000792" "heterochromatin" 0.789543530097508
-58 0.287620326478733 4 8 "GO:0000793" "condensed chromosome" 0.610643477745422
-76 0.102293135879515 2 11 "GO:0000922" "spindle pole" 0.355996420373248
145 0.0200389674800593 5 6 "GO:0001650" "fibrillar center" 0.16759863710595
-13 0.84904852918756 2 5 "GO:0001726" "ruffle" 0.941114032352476
-53 0.0157222757805705 2 54 "GO:0005615;GO:0044421" "extracellular region part" 0.155825285314569
-14 0.672904893510115 2 23 "GO:0005635" "nuclear envelope" 0.865835667173854
47 0.454314118414723 2 6 "GO:0005657" "replication fork" 0.723556815365322
-75 0.231759300863912 2 6 "GO:0005666" "DNA-directed RNA polymerase III complex" 0.553988786346884
37 0.274305632475682 2 21 "GO:0005667" "transcription factor complex" 0.610643477745422
79 0.174441113622132 4 7 "GO:0005669" "transcription factor TFIID complex" 0.49801554692324
-44 0.305607493558216 3 13 "GO:0005681" "spliceosomal complex" 0.617931635326503
-7 0.903541003626569 2 7 "GO:0005684" "U2-type spliceosomal complex" 0.96775458090207
-21 0.329032553148442 2 56 "GO:0005694;GO:0044427" "chromosome" 0.645938937032265
31 0.646331972656996 5 5 "GO:0005700" "polytene chromosome" 0.849464878349195
-94 0.168638607233493 2 5 "GO:0005736" "DNA-directed RNA polymerase I complex" 0.492531805253376
-41 0.0522423665352931 4 57 "GO:0005740;GO:0031966" "mitochondrial envelope" 0.267016540069276
-32 0.585081692575694 2 7 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 0.822526703874063
-57 0.0186840726110271 4 43 "GO:0005743;GO:0019866" "organelle inner membrane" 0.163708064782333
-97 0.04604574429507 2 10 "GO:0005746;GO:0070469" "respiratory chain" 0.267016540069276
1 0.987453811247023 3 10 "GO:0005758" "mitochondrial intermembrane space" 1
-51 0.0483284884725077 4 37 "GO:0005759" "mitochondrial matrix" 0.267016540069276
5 0.887963840218176 4 22 "GO:0005765;GO:0005774" "vacuolar membrane" 0.96775458090207
-93 0.136291729958813 3 6 "GO:0005766;GO:0005775;GO:0042582" "primary lysosome" 0.432373764007269
57 0.00988393654635302 2 52 "GO:0005768" "endosome" 0.149326299482027
53 0.0755252160308166 5 28 "GO:0005769" "early endosome" 0.308814216659339
85 0.012674364377567 3 21 "GO:0005770" "late endosome" 0.149326299482027
-45 0.384942906222317 3 9 "GO:0005777;GO:0042579" "peroxisome" 0.694406811224572
-20 0.590343100296885 2 17 "GO:0005788" "endoplasmic reticulum lumen" 0.822526703874063
14 0.555627748968249 4 46 "GO:0005789;GO:0042175" "endoplasmic reticulum membrane" 0.798714889141858
-42 0.436614379718055 2 8 "GO:0005793;GO:0033116" "endoplasmic reticulum-Golgi intermediate compartment" 0.723556815365322
-74 0.0433908552497086 3 18 "GO:0005798" "Golgi-associated vesicle" 0.267016540069276
47 0.225794210000322 2 16 "GO:0005802" "trans-Golgi network" 0.553948461867457
-86 0.0160906544618305 4 19 "GO:0005813" "centrosome" 0.155825285314569
-67 0.329426340021286 3 5 "GO:0005814" "centriole" 0.645938937032265
-4 0.904640151712805 2 29 "GO:0005815" "microtubule organizing center" 0.96775458090207
-102 0.00418153979950607 4 19 "GO:0005819" "spindle" 0.0961754153886396
-73 0.0109608817395689 2 30 "GO:0005840;GO:0044391" "ribosome" 0.149326299482027
-62 0.162401408134441 3 12 "GO:0005844" "polysome" 0.492531805253376
16 0.765473197457051 2 8 "GO:0005874" "microtubule" 0.90286582264165
29 0.594543758778535 4 8 "GO:0005875" "microtubule associated complex" 0.822526703874063
0 0.994461227480168 3 41 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 1
69 0.231832263851685 3 7 "GO:0005901" "caveola" 0.553988786346884
102 0.102542447172729 2 6 "GO:0005905" "coated pit" 0.355996420373248
99 0.0681925411759487 2 8 "GO:0005911" "cell-cell junction" 0.298748275627966
54 0.247030232814897 2 11 "GO:0005912;GO:0070161" "anchoring junction" 0.575361554910646
124 0.0711575257198573 2 5 "GO:0005913" "cell-cell adherens junction" 0.304488017033808
0 0.996241986819634 2 25 "GO:0005929;GO:0044441" "cilium" 1
-20 0.745247408204883 3 6 "GO:0005930;GO:0032838;GO:0097014" "ciliary cytoplasm" 0.897697512644693
-49 0.431872589284402 2 6 "GO:0005938" "cell cortex" 0.723556815365322
-5 0.917921084264058 7 11 "GO:0008021;GO:0070382" "exocytic vesicle" 0.97067516956659
-51 0.34874976950605 2 8 "GO:0008023" "transcription elongation factor complex" 0.66154595452694
-150 0.0280247626905015 4 5 "GO:0009295;GO:0042645" "mitochondrial nucleoid" 0.214856513960512
46 0.368260713486896 2 9 "GO:0009897" "external side of plasma membrane" 0.677146754072459
129 0.059147436344838 4 5 "GO:0009925;GO:0045178" "basal plasma membrane" 0.279054571473082
6 0.845819441655379 2 25 "GO:0009986" "cell surface" 0.941114032352476
48 0.101220764363453 2 29 "GO:0010008;GO:0044440" "endosomal part" 0.355996420373248
26 0.283428139951387 2 42 "GO:0012506;GO:0030659" "vesicle membrane" 0.610643477745422
-55 0.186557552340565 6 14 "GO:0012507;GO:0030134;GO:0030660" "ER to Golgi transport vesicle" 0.509640346716522
-60 0.298000984805319 2 7 "GO:0014069;GO:0032279" "postsynaptic density" 0.616091923642457
87 0.206065868337617 2 5 "GO:0015030" "Cajal body" 0.529233315409952
11 0.81101062473319 2 11 "GO:0015629" "actin cytoskeleton" 0.92686928540936
-97 0.0027628791506071 3 23 "GO:0015934;GO:0022625;GO:0022626" "cytosolic ribosome" 0.0726242519588152
-54 0.292760994224911 3 9 "GO:0015935" "small ribosomal subunit" 0.61213662428845
-40 0.0411015107097668 3 69 "GO:0016023;GO:0031988" "membrane-bounded vesicle" 0.267016540069276
95 0.0510637269283153 2 10 "GO:0016323" "basolateral plasma membrane" 0.267016540069276
41 0.343626673082477 2 13 "GO:0016324" "apical plasma membrane" 0.658617790074748
56 0.304928079979997 4 8 "GO:0016363;GO:0034399" "nuclear periphery" 0.617931635326503
-124 0.0473474708741797 2 6 "GO:0016469" "proton-transporting two-sector ATPase complex" 0.267016540069276
-13 0.774345614627163 2 12 "GO:0016591" "DNA-directed RNA polymerase II, holoenzyme" 0.905999466670652
137 0.0459035771441906 5 5 "GO:0016592" "mediator complex" 0.267016540069276
36 0.215423907055037 5 29 "GO:0016604" "nuclear body" 0.53564863375847
66 0.158031542114502 2 11 "GO:0016607" "nuclear speck" 0.492531805253376
11 0.82330631879963 2 10 "GO:0017053" "transcriptional repressor complex" 0.929376458031484
27 0.693622261429976 2 5 "GO:0019005" "SCF ubiquitin ligase complex" 0.86912943228663
79 0.122478155956078 2 9 "GO:0019897" "extrinsic component of plasma membrane" 0.417310815620287
118 0.000520992705079973 2 21 "GO:0019898" "extrinsic component of membrane" 0.06489103208752
40 0.333628588273625 4 14 "GO:0030016;GO:0043292;GO:0030017;GO:0044449" "contractile fiber" 0.646185897287863
95 0.0795087023230234 3 8 "GO:0030018;GO:0031674" "I band" 0.316959500015468
-80 0.240803897710236 3 5 "GO:0030027" "lamellipodium" 0.568050220239531
57 0.130687440057856 1 17 "GO:0030054" "cell junction" 0.421868227555184
-20 0.747289076361041 2 6 "GO:0030117;GO:0048475" "membrane coat" 0.897697512644693
-18 0.52289582761676 2 31 "GO:0030135;GO:0030133" "coated vesicle" 0.779849406537979
0 1 6 17 "GO:0030136" "clathrin-coated vesicle" 1
-57 0.196507051678788 4 12 "GO:0030139" "endocytic vesicle" 0.516532821555671
-170 0.0131299406074489 2 5 "GO:0030140" "trans-Golgi network transport vesicle" 0.149326299482027
-78 0.00196008083635116 4 40 "GO:0030141" "secretory granule" 0.06489103208752
-99 0.0885870155051404 3 7 "GO:0030176;GO:0031227" "integral component of endoplasmic reticulum membrane" 0.33265328271318
3 0.923685628413618 4 21 "GO:0030424" "axon" 0.971189460732033
-8 0.839815043484783 4 15 "GO:0030425;GO:0097447" "dendrite" 0.941114032352476
52 0.371694685659339 2 7 "GO:0030426;GO:0030427" "growth cone" 0.677146754072459
-71 0.255739359964149 2 6 "GO:0030496" "midbody" 0.588200527917543
-66 0.000853351726363889 2 67 "GO:0030529" "ribonucleoprotein complex" 0.06489103208752
-68 0.278989658238268 2 6 "GO:0030532" "small nuclear ribonucleoprotein complex" 0.610643477745422
-17 0.632642906414107 2 18 "GO:0030662;GO:0030658" "coated vesicle membrane" 0.843523875218809
21 0.703805898971238 2 8 "GO:0030665" "clathrin-coated vesicle membrane" 0.86912943228663
-67 0.286236730129642 5 6 "GO:0030666" "endocytic vesicle membrane" 0.610643477745422
-36 0.356966420606208 2 16 "GO:0030667" "secretory granule membrane" 0.670222667260635
-168 0.00732845817230075 2 6 "GO:0030684" "preribosome" 0.134843630370334
2 0.97763544844797 1 5 "GO:0031012" "extracellular matrix" 0.999472594623625
48 0.441410778050569 6 6 "GO:0031091;GO:0031093" "platelet alpha granule" 0.723556815365322
52 0.449107402600433 2 5 "GO:0031225" "anchored component of membrane" 0.723556815365322
-36 0.441659431203379 2 11 "GO:0031252" "cell leading edge" 0.723556815365322
61 0.186275773350653 3 11 "GO:0031253" "cell projection membrane" 0.509640346716522
-77 0.0347484597538594 2 18 "GO:0031301;GO:0031300" "intrinsic component of organelle membrane" 0.255748663788405
172 0.0015173092350264 3 8 "GO:0031312;GO:0031313" "extrinsic component of organelle membrane" 0.06489103208752
70 0.0634168937766951 3 17 "GO:0031461" "cullin-RING ubiquitin ligase complex" 0.284602645241754
95 0.0625469398838244 4 9 "GO:0031463" "Cul3-RING ubiquitin ligase complex" 0.284602645241754
105 0.0927268912312453 2 6 "GO:0031672" "A band" 0.341234959730983
114 0.0265632162727847 5 9 "GO:0031901" "early endosome membrane" 0.212505730182278
131 0.00211601191589739 3 13 "GO:0031902" "late endosome membrane" 0.06489103208752
