"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
404 0.2760209536785 3 6 "GO:0000109" "nucleotide-excision repair complex" 0.904471160696308
-211 0.442378081908724 4 11 "GO:0000118" "histone deacetylase complex" 0.925669543770075
-214 0.205222858687192 5 29 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.904471160696308
-88 0.643408957007316 4 23 "GO:0000137" "Golgi cis cisterna" 0.953133546632083
-174 0.54451801094524 2 10 "GO:0000138" "Golgi trans cisterna" 0.925669543770075
-74 0.205346030239431 2 260 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.904471160696308
-748 0.0134469744020934 2 9 "GO:0000145" "exocyst" 0.490814565676409
27 0.75487383132077 3 115 "GO:0000151" "ubiquitin ligase complex" 0.975495331477776
59 0.772699135712026 4 20 "GO:0000152" "nuclear ubiquitin ligase complex" 0.978156709369559
47 0.840464390627691 4 15 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.990703793329146
-443 0.232461530078836 4 6 "GO:0000159;GO:0008287" "protein serine/threonine phosphatase complex" 0.904471160696308
-422 0.142074115938166 2 10 "GO:0000177;GO:0000178" "exosome (RNase complex)" 0.904471160696308
-21 0.766142452119532 3 176 "GO:0000228;GO:0044454" "nuclear chromosome" 0.975495331477776
-33 0.936094018904288 5 5 "GO:0000243" "commitment complex" 0.99274632650031
249 0.469092659330105 2 7 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.925669543770075
-20 0.905129176301447 4 29 "GO:0000313;GO:0005761" "organellar ribosome" 0.99274632650031
-225 0.293031580790124 2 18 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.904471160696308
6 0.984438826918306 2 9 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.994511219198524
-49 0.496246694538633 2 165 "GO:0000323;GO:0005773;GO:0005764;GO:0044437" "vacuole" 0.925669543770075
-10 0.975559915166931 4 8 "GO:0000346;GO:0000347;GO:0000445" "THO complex part of transcription export complex" 0.994511219198524
7 0.945148899887282 3 83 "GO:0000428;GO:0030880;GO:0055029" "nuclear DNA-directed RNA polymerase complex" 0.99274632650031
-55 0.872079072585245 3 7 "GO:0000502" "proteasome complex" 0.99274632650031
