"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-17 0.805660408013552 3 7 "GO:0000149" "SNARE binding" 0.934863342447408
-20 0.517514357677649 2 35 "GO:0000166;GO:1901265;GO:0032555;GO:0017076;GO:0032553" "nucleotide binding" 0.775042589086674
-148 0.0445260960805483 2 6 "GO:0000287" "magnesium ion binding" 0.303860275412265
68 0.0179252895161434 3 42 "GO:0000976;GO:0043565;GO:0044212;GO:0000975;GO:0001067;GO:0000977;GO:0001012" "transcription regulatory region DNA binding" 0.240530168220177
46 0.248578151500868 4 21 "GO:0000978;GO:0000987;GO:0001159;GO:0000982" "core promoter proximal region DNA binding" 0.533878075382546
48 0.0437400258851353 3 64 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.303860275412265
132 0.103040366183313 2 5 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.438834675236949
56 0.308526962472033 2 11 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.589746864762283
21 0.713227885504438 2 10 "GO:0001078;GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.906446246990349
96 0.0812648437900363 4 11 "GO:0001085" "RNA polymerase II transcription factor binding" 0.404185670429391
50 0.22085540766422 2 20 "GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.505116162098631
-23 0.736239867728038 2 7 "GO:0001664" "G-protein coupled receptor binding" 0.914797659985351
25 0.759908241362936 2 5 "GO:0002020" "protease binding" 0.926597791081257
51 0.348660634002977 2 11 "GO:0002039" "p53 binding" 0.639775338121968
-11 0.767605344077318 2 24 "GO:0003682" "chromatin binding" 0.929983397632135
33 0.228598241535918 5 47 "GO:0003690;GO:0043566" "structure-specific DNA binding" 0.514346043455816
-116 0.0905255868312415 2 7 "GO:0003697" "single-stranded DNA binding" 0.427733397777616
-49 0.546860590626337 2 5 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.783004936578619
12 0.67756077313703 2 39 "GO:0003712;GO:0000989;GO:0000988" "transcription factor binding transcription factor activity" 0.88596313231087
8 0.86646069848478 4 16 "GO:0003713" "transcription coactivator activity" 0.959607683343769
38 0.393527542347853 3 17 "GO:0003714" "transcription corepressor activity" 0.670060409943642
28 0.679707165000403 2 7 "GO:0003727" "single-stranded RNA binding" 0.88596313231087
58 0.150230905717365 2 21 "GO:0003729;GO:0044822" "mRNA binding" 0.465469527550524
81 0.137149445642908 4 11 "GO:0003730" "mRNA 3'-UTR binding" 0.454758688184379
-98 0.0074996455373576 2 25 "GO:0003735" "structural constituent of ribosome" 0.15749255628451
-101 0.209991450434319 2 5 "GO:0003743" "translation initiation factor activity" 0.50391674335982
11 0.811204170166005 4 15 "GO:0003779" "actin binding" 0.934863342447408
-151 0.0186883015592327 6 8 "GO:0003899;GO:0034062" "DNA-directed RNA polymerase activity" 0.240530168220177
-20 0.694165345415168 4 13 "GO:0003924" "GTPase activity" 0.898611303311416
-182 0.0241983446366813 4 5 "GO:0003954;GO:0008137;GO:0050136;GO:0016655" "NADH dehydrogenase activity" 0.254082618685154
-22 0.715332922206508 5 9 "GO:0004175" "endopeptidase activity" 0.906446246990349
