"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-40 0.523837213589579 2 7 "GO:0000149" "SNARE binding" 0.773760215048099
-24 0.370218401383103 3 42 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 0.645993333025619
-149 0.0283340451159223 2 6 "GO:0000287" "magnesium ion binding" 0.308504000933328
61 0.0405934820655181 6 33 "GO:0000976;GO:0043565;GO:0044212;GO:0000975;GO:0001067;GO:0000977;GO:0001012" "transcription regulatory region DNA binding" 0.308504000933328
46 0.261187633149748 7 17 "GO:0000978;GO:0000987;GO:0001159;GO:0000982" "core promoter proximal region sequence-specific DNA binding" 0.582565784702023
50 0.0328908369531207 3 55 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.308504000933328
54 0.309396293290522 2 10 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.617995521527739
-3 0.964272148286221 2 7 "GO:0001078;GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.993316490102071
106 0.0453725852502718 4 10 "GO:0001085" "RNA polymerase II transcription factor binding" 0.308504000933328
46 0.284289434213779 2 15 "GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.59284747866532
-41 0.516385514505299 2 7 "GO:0001664" "G-protein coupled receptor binding" 0.773760215048099
85 0.12723018659958 2 9 "GO:0002039" "p53 binding" 0.392505445944402
17 0.644584316535491 2 21 "GO:0003682" "chromatin binding" 0.836381086253737
28 0.307417031370584 6 38 "GO:0003690;GO:0043566" "structure-specific DNA binding" 0.617995521527739
-37 0.554185522990983 2 7 "GO:0003697" "single-stranded DNA binding" 0.783536078247194
31 0.679052080811588 2 5 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.856401855171797
19 0.515392227236299 2 36 "GO:0003712;GO:0000989;GO:0000988" "transcription factor binding transcription factor activity" 0.773760215048099
26 0.559014044129577 4 14 "GO:0003713" "transcription coactivator activity" 0.783536078247194
17 0.686522913347805 4 16 "GO:0003714" "transcription corepressor activity" 0.8569008626458
20 0.772736336113514 5 6 "GO:0003727" "single-stranded RNA binding" 0.878699348144694
73 0.0662876753697725 5 18 "GO:0003729;GO:0044822" "poly(A) RNA binding" 0.333388014359738
72 0.173380485163131 2 10 "GO:0003730" "mRNA 3'-UTR binding" 0.442508402431275
-89 0.0085548799903155 2 25 "GO:0003735" "structural constituent of ribosome" 0.208983496906279
-19 0.681114925750669 2 13 "GO:0003779" "actin binding" 0.856401855171797
-122 0.0378540034548952 3 8 "GO:0003899;GO:0034062" "RNA polymerase activity" 0.308504000933328
-4 0.933149420343665 3 13 "GO:0003924" "GTPase activity" 0.976063888667547
-41 0.487947025329198 2 8 "GO:0004175" "endopeptidase activity" 0.773760215048099
-147 0.0487111580421044 7 5 "GO:0004386" "helicase activity" 0.308504000933328
76 0.0701216258551738 2 16 "GO:0004518" "nuclease activity" 0.342594229178135
118 0.0190913135335805 5 11 "GO:0004527;GO:0008408;GO:0016796;GO:0000175;GO:0016896;GO:0004532;GO:0004540" "ribonuclease activity" 0.272051217853522
146 0.0132696553799477 5 8 "GO:0004535;GO:0070034" "telomeric RNA binding" 0.254853877253372
-39 0.534361449178915 3 7 "GO:0004674" "protein serine/threonine kinase activity" 0.773760215048099
-94 0.0907357942367755 3 9 "GO:0004713" "protein tyrosine kinase activity" 0.369135237885426
-79 0.243474857921678 5 6 "GO:0004714;GO:0019199" "transmembrane receptor protein tyrosine kinase activity" 0.573895118335715
-19 0.732381903359172 2 9 "GO:0004721" "phosphoprotein phosphatase activity" 0.87480577456254
23 0.753999533496921 2 5 "GO:0004722" "protein serine/threonine phosphatase activity" 0.87480577456254
79 0.0134133619607038 6 28 "GO:0004842;GO:0019787" "small conjugating protein ligase activity" 0.254853877253372
-50 0.278497323635806 2 13 "GO:0004857" "enzyme inhibitor activity" 0.590351315441608
24 0.705526568457018 3 7 "GO:0004860;GO:0019210" "kinase inhibitor activity" 0.867949951123382
10 0.743374706323312 2 31 "GO:0004888;GO:0038023;GO:0004871;GO:0004872;GO:0060089" "signal transducer activity" 0.87480577456254
51 0.389058058028281 2 8 "GO:0004930" "G-protein coupled receptor activity" 0.67200937295794
17 0.803256871538478 1 6 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.903663980480788
-7 0.760104088742613 3 50 "GO:0005102" "receptor binding" 0.87480577456254
94 0.0610722963404607 2 11 "GO:0005126" "cytokine receptor binding" 0.328575115236008
42 0.573447936938703 5 5 "GO:0005160" "transforming growth factor beta receptor binding" 0.784476777732146
-44 0.0894544166333734 1 45 "GO:0005198" "structural molecule activity" 0.369135237885426
31 0.24011468910778 1 44 "GO:0005215;GO:0022891;GO:0022857;GO:0022892" "transporter activity" 0.573895118335715
71 0.0904192035966838 4 16 "GO:0005216;GO:0022838;GO:0015267;GO:0022803;GO:0005261" "channel activity" 0.369135237885426
106 0.118057982834172 2 6 "GO:0005229;GO:0005254;GO:0005253;GO:0015108" "chloride channel activity" 0.3799550791194
-12 0.871752331916944 6 5 "GO:0005244;GO:0022832" "voltage-gated ion channel activity" 0.955574671524343
74 0.274843272771204 2 6 "GO:0005246" "calcium channel regulator activity" 0.590351315441608
41 0.516385514505299 8 7 "GO:0005262;GO:0015085;GO:0072509" "divalent inorganic cation transmembrane transporter activity" 0.773760215048099
-23 0.762257663215313 3 5 "GO:0005501;GO:0019840" "isoprenoid binding" 0.87480577456254
4 0.945020929283634 5 11 "GO:0005509" "calcium ion binding" 0.97938532671213
-77 0.256744640980269 3 6 "GO:0005516" "calmodulin binding" 0.582565784702023
-94 0.0356363869796015 3 14 "GO:0005524;GO:0032559;GO:0030554" "adenyl ribonucleotide binding" 0.308504000933328
0 0.992827646983765 5 14 "GO:0005525;GO:0032561;GO:0019001" "guanyl nucleotide binding" 0.997571128606619
-22 0.744438169743666 4 6 "GO:0005543;GO:0035091" "phosphatidylinositol binding" 0.87480577456254
-26 0.729396839895838 2 5 "GO:0008017" "microtubule binding" 0.87480577456254
-39 0.505654264486077 2 8 "GO:0008022" "protein C-terminus binding" 0.773760215048099
41 0.310804765212781 2 17 "GO:0008047" "enzyme activator activity" 0.617995521527739
-7 0.775927494560519 3 46 "GO:0008092" "cytoskeletal protein binding" 0.878699348144694
-87 0.244996161628697 2 5 "GO:0008094" "DNA-dependent ATPase activity" 0.573895118335715
17 0.526268464836566 3 39 "GO:0008134" "transcription factor binding" 0.773760215048099
-127 0.0445580757489613 5 7 "GO:0008135" "translation factor activity, nucleic acid binding" 0.308504000933328
-22 0.538464711056864 2 23 "GO:0008144" "drug binding" 0.773760215048099
19 0.657543527658959 2 15 "GO:0008168;GO:0016741;GO:0008757" "transferase activity, transferring one-carbon groups" 0.844382488910462
-37 0.356416506882877 3 18 "GO:0008233" "peptidase activity" 0.641012400507312
-133 0.0512127122017666 2 6 "GO:0008234" "cysteine-type peptidase activity" 0.312763349517932
35 0.362979588536504 3 19 "GO:0008270" "zinc ion binding" 0.641012400507312
39 0.531343668351777 5 7 "GO:0008276;GO:0008170" "protein methyltransferase activity" 0.773760215048099
-27 0.508570218227282 2 17 "GO:0008289" "lipid binding" 0.773760215048099
136 0.0450454343166662 2 6 "GO:0008307" "structural constituent of muscle" 0.308504000933328
50 0.10094599982864 2 31 "GO:0008324;GO:0015075;GO:0015318;GO:0015114;GO:0015563;GO:0015103;GO:0008509;GO:0022890" "ion transmembrane transporter activity" 0.369135237885426
-95 0.106984508933636 1 8 "GO:0009055" "electron carrier activity" 0.369135237885426
-167 0.0247591193024952 2 5 "GO:0015036" "disulfide oxidoreductase activity" 0.308504000933328
27 0.526761475075716 2 15 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 0.773760215048099
-28 0.661679845111122 8 7 "GO:0015078" "hydrogen ion transmembrane transporter activity" 0.844382488910462
84 0.215629001673143 2 6 "GO:0015238;GO:0090484;GO:0008519;GO:0015101" "drug transmembrane transporter activity" 0.542243518913345
-78 0.106292523317363 2 12 "GO:0015631" "tubulin binding" 0.369135237885426
