"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-92 0.709634816365112 3 15 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.967510383383215
-252 0.177599746560522 2 26 "GO:0000030" "mannosyltransferase activity" 0.81528362162331
-260 0.34458670703773 2 12 "GO:0000049" "tRNA binding" 0.909584731189684
58 0.632564916075972 2 62 "GO:0000149" "SNARE binding" 0.956081687756018
-415 0.167983176770063 2 10 "GO:0000150;GO:0008821;GO:0016889;GO:0016894" "recombinase activity" 0.81528362162331
-23 0.737377266835817 3 196 "GO:0000166;GO:1901265" "nucleoside phosphate binding" 0.974401158128487
-259 0.183189906486412 2 24 "GO:0000175;GO:0016896;GO:0004532;GO:0016796" "exoribonuclease activity" 0.81528362162331
-339 0.217766585906984 3 12 "GO:0000217;GO:0000400" "DNA secondary structure binding" 0.823298189299952
95 0.456523869316095 2 57 "GO:0000287" "magnesium ion binding" 0.92787978825503
67 0.296312689310934 3 235 "GO:0000976;GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.881524974446204
103 0.204299712302848 2 144 "GO:0000978;GO:0000987;GO:0001159;GO:0000982" "core promoter proximal region sequence-specific DNA binding" 0.823298189299952
-139 0.426467093933267 3 30 "GO:0000979;GO:0001046;GO:0001047" "core promoter binding" 0.92787978825503
-104 0.594151141537879 2 24 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.956081687756018
-139 0.699131642647717 2 7 "GO:0000983;GO:0001223" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity" 0.967510383383215
-72 0.802700482361435 5 11 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.974401158128487
96 0.496861074995937 3 46 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.947893243730634
-25 0.805166725059923 2 91 "GO:0001077;GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.974401158128487
346 0.00689899826558306 2 56 "GO:0001078;GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.53712770956759
-69 0.599204750726644 4 54 "GO:0001085" "RNA polymerase II transcription factor binding" 0.956081687756018
