Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RELA KD HUMAN GSE1676 CREEDSID GENE 1787 UP	97/433	5.050386021022971E-38	9.853303127015815E-35	0	0	6.16708843537415	529.6219622412144	SRP19;POP7;RTCB;ACTB;TOMM22;PSMD8;CDC20;CHCHD2;PSMD7;GABARAPL2;SUPT16H;ATP1B3;COX6B1;RRAGA;MTHFD1;UQCRC1;SRSF2;SUCLG1;UQCRC2;SNRPF;SELENOT;SNRPB;ANP32A;PSMD14;DDX1;TXN;PRDX3;PRDX2;PRDX4;PCBP1;CYC1;HSPA9;XRCC5;DHCR24;TBCA;PRDX6;LSM3;AIMP2;CNIH1;UQCRQ;BAMBI;CYCS;RNPS1;COX7B;LAMC1;HMGB1;YBX1;RBM3;MRPL3;YWHAQ;C1QBP;DHX15;UQCRFS1;ELOB;RAB8A;COX8A;PARP1;HSBP1;ZFR;TUBG1;MRPS7;DDOST;APRT;PSMA2;DAD1;NDUFS6;CKS2;PABPC1;SLC25A5;ARF5;VAMP3;NDUFB8;SF3B3;ECHS1;NDUFB6;UQCR10;COX5A;SRM;PSMB7;ATP5F1B;PSMB3;POLR2C;PSMB1;EMC8;NDUFA9;TIMM8B;GINS2;SF3A1;MARCKSL1;TUBB4B;HSPE1;EIF3K;SCD;PSMC2;DRG1;ATP5PO;RBMX
HNF1B OE HUMAN GSE3308 CREEDSID GENE 1750 UP	77/323	3.006749753968251E-32	2.2828411510787063E-29	0	0	6.568624244901667	476.76298698905106	MRPS17;YWHAE;COX7B;POP7;RTCB;GHITM;COX7C;MRPL3;TUBA1B;CHCHD2;SNRPD1;SUMO2;PAPOLA;HMGN2;COX8A;NUP133;ANXA5;ATP1B3;REXO2;GTF2F2;DDB1;MYL6;RRAGA;CKS2;NDUFS3;JTB;SRSF3;PFDN1;SUCLG1;SNRPA1;UQCRC2;SELENOT;MCM6;SNRPC;MMADHC;ITGB3BP;DCTN6;BEX3;SF3B5;CSTB;HDAC2;NDUFB1;NEDD8;TXN;MRPS30;COX5A;PSMB4;PRDX4;ATP5F1B;ORC6;PSMB3;RAD21;ISOC1;CYC1;ATP5MG;HNRNPA0;PTCD3;NDUFA7;CCDC59;TMA7;DONSON;DHCR24;RRP1B;TBCA;HSPE1;ATP5F1E;ANKHD1;CS;TSPAN13;ID4;DRG1;PIN4;ANP32B;DYNLRB1;SLIRP;ITM2B;RNF187
TP53 KD HUMAN GSE1676 CREEDSID GENE 1784 UP	85/393	3.51026317439063E-32	2.2828411510787063E-29	0	0	5.824389815370649	421.8432673209786	SRP19;COX7B;GMFB;HMGB1;YBX1;PRPF19;ACTB;TOMM22;PSMD8;CDC20;MRPL3;PSMD7;RPL36AL;C1QBP;CFL1;DHX15;UQCRFS1;ELOB;SOX4;RAB8A;GABARAPL2;SUPT16H;PARP1;HSBP1;ATP1B3;TUBG1;DDOST;APRT;COX6B1;RRAGA;MTHFD1;PSMA2;DAD1;NDUFS6;NCL;UQCRC1;SRSF2;ERH;SUCLG1;SNRPF;MCM6;TOP1;PABPC1;SELENOT;SNRPB;HDAC2;SF3B3;NDUFB6;ANP32A;PSMD14;DHX9;NEDD8;TXN;COX5A;SRM;PRDX2;PSMB7;ATP5F1B;PSMB3;PCBP1;PSMB1;EMC8;HSPA9;GINS2;MARCKSL1;XRCC5;TUBB4B;HSPE1;PRDX6;LSM3;SEM1;MARCKS;SNRNP40;CNIH1;EIF2S3;EIF3K;UQCRQ;SCD;ATP5PO;CYCS;PIN4;RNPS1;RBMX;ITM2B;RTL8C
HNF1A OE HUMAN GSE3308 CREEDSID GENE 279 DOWN	76/339	6.109342136648093E-30	2.9798316271501076E-27	0	0	6.051992802824552	407.1038401685886	MRPS17;YWHAE;SRP19;COX7B;MRPS15;YBX1;COX7C;PSMD8;LAPTM4B;HOXA9;TUBA1B;CHCHD2;C1QBP;MAGOH;CFL1;SUMO2;UQCRFS1;HOXA5;GABARAPL2;TOR3A;PARP1;IMP3;REXO2;MTHFD1;CKS2;SRSF2;PFDN1;KIF20A;HPRT1;KCTD12;PABPC1;SLC25A5;PTMA;DCTPP1;CSTB;LRRC59;HDAC2;ECHS1;RNASEH2A;POMP;NEDD8;MRPL15;UQCR10;COX5A;PSMA7;RTN4;RPF1;PRDX3;PDLIM1;PSMB7;PSMB3;POLR2G;GINS2;COA3;HMGA2;RRP1B;TBCA;PRDX6;ATP5F1E;TM9SF2;SPCS3;LSM8;COPS6;SNRNP40;CNIH1;EIF3K;UQCRQ;ID4;DRG1;CYCS;BLMH;EIF3E;ANP32B;TARDBP;RBMX;RPS24
DOT1L INHIBITION HUMAN GSE29828 CREEDSID GENE 1239 DOWN	78/359	9.916040948590345E-30	3.8692391781399525E-27	0	0	5.820798203921756	388.73268921938535	CISD1;GHITM;HMGB1;YBX1;PSMD8;LAPTM4B;MRPL3;HOXA9;CHCHD2;YWHAQ;RPL36AL;SNRPD1;C1QBP;DHX15;UQCRFS1;YWHAG;GABARAPL2;SMIM15;MRPS23;COMMD3;HAUS1;NSA2;GAL;MRPL51;PPA1;TMX1;DAD1;NCL;CKS2;SRSF2;LAP3;MCM6;EEF1E1;SNRPC;SLC25A5;PTMA;MMADHC;SNRPB;PSMD14;GTF3C6;MRPL18;DDX1;POMP;NOL7;TXN;MRPL15;MRPL13;PRDX3;PSMB6;PSMB4;PRDX4;ATP5F1B;PSMB3;PCBP1;RAD21;PSMB1;IARS2;CYC1;BUB3;POLR2K;HSPA9;ANKRD27;ATP5PB;HSPA4;NDUFA4;NDUFA1;TBCA;HSPE1;RPS26;TM9SF2;RPS25;UQCRQ;SCD;CYCS;SLIRP;TOMM5;MAD2L1;NUP37
NFKB1 INACTIVATION HUMAN GSE20667 CREEDSID GENE 2577 DOWN	77/363	1.25109584271811E-28	3.7609765917097063E-26	0	0	5.637902879243661	362.2260294048202	NDUFA11;MRPS14;KIF14;HMGB1;COX7C;ACTB;PSMD8;TUBA1B;CHCHD2;RPL36AL;SUMO2;UQCRFS1;ELOB;HMGN2;CHCHD1;COX8A;WDR83OS;EDF1;MRPS7;COX6B1;HAUS1;MRPL53;RRAGA;PSMA2;DAD1;SRSF2;JTB;ERH;UQCRC2;KIF20A;DCTN6;BEX3;SF3B5;RNASEH2C;NDUFB8;RNASEK;NAXE;GSTP1;MRPL16;NDUFB1;NEDD8;UQCR10;ADH5;PTS;PRDX3;PSMB6;PSMB4;GNG5;TMEM203;BLOC1S1;PSMB3;PCBP1;PSMB1;POLR2G;CYC1;ATP5MG;ATP5ME;UBQLN2;HNRNPA0;TIMM8B;ATP5PB;NDUFA4;ALYREF;MRPL27;TBCA;TUBB4B;PTRHD1;ATOX1;TM9SF2;SPCS1;UQCRQ;KIF4A;ANP32B;ITM2B;SPC25;MAD2L1;NUP37
SOX4 KD HUMAN GSE4225 CREEDSID GENE 64 DOWN	75/346	1.5061015223195829E-28	3.7609765917097063E-26	0	0	5.787125597008479	370.73980572449216	YWHAE;COX7B;CISD1;HMGB1;YBX1;IFI30;COX7C;ACTB;LAPTM4B;TUBA1B;CHCHD2;RPL36AL;C1QBP;CFL1;SUMO2;HMGN2;ANXA5;ATP1B3;EDF1;HLA-A;COX6B1;MYL6;RCN1;NDUFS8;PPA1;NDUFS6;UQCRC1;CKS2;NDUFS3;JTB;SRSF3;ERH;PABPC1;SNRPF;SLC25A5;PTMA;SNRPB;SF3B5;LRRC59;GSTP1;UQCR10;COX5A;PSMA7;PRDX3;PSMB6;PSMB7;PSMB4;PRDX4;ATP5F1B;GNG5;PSMB3;IARS2;CYC1;ATP5MG;GSTM3;ATP5PB;NDUFA4;TMA7;NDUFA1;TUBB4B;HSPE1;PRDX6;ATP5F1E;RPS26;CS;TM9SF2;SEM1;NR4A1;SPCS1;EIF2S3;UQCRQ;GNB2;ATP5PO;CYCS;SLIRP
MYB OE HUMAN GSE2815 CREEDSID GENE 1740 UP	88/468	1.5421738971644107E-28	3.7609765917097063E-26	0	0	4.8851631340795425	312.84188798106453	COX7B;HMGB1;YBX1;ACTB;PSMD8;YY1;LAPTM4B;MAP1LC3B;CHCHD2;TRIM28;YWHAQ;C1QBP;SUMO2;SLC39A6;UQCRFS1;ELOB;QSOX1;GLUL;CTSD;GABARAPL2;SUPT16H;GTF3A;EDF1;ATP1B3;REXO2;FTSJ3;APRT;COX6B1;DDB1;NSA2;RRAGA;PPA1;NCL;UQCRC1;CKS2;MYH9;PABPC1;SELENOT;PTMA;ARF5;ARF6;SNRPB;LRRC59;ECHS1;SLC20A1;MRPL18;NDUFB1;NEDD8;COX5A;RTN4;SRM;PSMB6;PSMB7;SLC9A3R1;ATP5F1B;GNG5;PSMB3;PCBP1;BUB3;ATP5MG;GSTM3;FIS1;PPP1R14B;NDFIP1;NDUFA4;ATP5PB;GDF15;CMTM6;NDUFA1;DHCR24;PA2G4;TUBB4B;PRDX6;HIGD2A;CS;TM9SF2;RPS26;RPS25;TSPAN13;SPCS1;EIF3K;UQCRQ;GNB2;DRG1;RNPS1;ANP32B;CALR;ITM2B
NFKB1 INACTIVATION HUMAN GSE20667 CREEDSID GENE 2576 DOWN	77/370	4.717059771564342E-28	1.0225537349246702E-25	0	0	5.501153545484012	346.13916556706266	YWHAE;COX7B;FEN1;TXNDC12;GHITM;HMGB1;YBX1;ACTB;PSMD8;KRTCAP2;TUBA1B;CHCHD2;SNRPD1;C1QBP;CFL1;DHX15;ELOB;HMGN2;YWHAG;BCAS2;COX8A;GABARAPL2;HSBP1;CCNA2;NDUFS6;DAD1;SRSF2;JTB;SRSF3;ERH;SNRPF;SNRPC;PTMA;SNRPB;BEX3;NDUFB8;TMED10;PSMD14;GTF3C6;MRPL18;GSTP1;POMP;NEDD8;TXN;MRPL15;UQCR10;MRPL13;PSMA7;PSMB6;PSMB7;PRDX4;GNG5;PSMB3;PSMB1;POLR2G;POLR2K;ATP5ME;EGR1;NOP58;NDUFA4;ALYREF;NDUFA1;TUBB4B;HSPE1;PRDX6;ATP5F1E;RPS26;SEM1;SPCS1;UQCRQ;PSMC2;UBE2N;ANP32B;SLIRP;TOMM5;MAD2L1;COPS9
MYC KNOCKIN MOUSE GSE39443 CREEDSID GENE 1847 UP	71/323	1.8127224545994402E-27	3.536621508923508E-25	0	0	5.871324630481123	361.52662434335195	MRPS17;RPL31;MRPL38;YBX1;IFI30;PRPF19;KRTCAP2;TUBA1B;TRIM28;RPL36AL;SNRPD1;C1QBP;SUMO2;ELOB;CHCHD1;IMP3;MRPS7;GTF2F2;APRT;COX6B1;PPA1;PSMA2;NDUFS6;SRSF2;CCDC86;ERH;SNRPF;SLC25A5;GART;DCTPP1;SNRPB;SF3B5;CSTB;NDUFB8;HEATR1;POMP;MAK16;MRPL17;NEDD8;UQCR10;COX5A;PSMA7;SRM;PSMB6;PSMB4;ATP5F1B;PSMB3;PSMB1;ATP5MG;HSPA9;NDUFA9;TIMM8B;NOP58;NDUFA7;UQCC2;NDUFA4;ALYREF;PDAP1;RRP1B;TBCA;TUBB4B;HSPE1;ATOX1;RPS26;SEM1;AIMP2;RPS25;RSL1D1;NMT1;ATP5PO;COPS9
