gene,pval
NM_000030.3,-0.022490903935827
NM_000049.4,1.43847502842893
NM_000073.3,1.22376428725843
NM_000075.4,0.780792852578305
NM_000082.4,0.359399970546388
NM_000097.7,-5.11010217504018
NM_000099.4,-1.46666832564637
NM_000100.4,-12.5520310771922
NM_000104.4,-5.62200745502511
NM_000112.4,5.5968558054081
NM_000113.3,-2.91396871987061
NM_000117.3,-2.22350944029835
NM_000127.3,-2.71277040323052
NM_000143.4,-10.2053635447362
NM_000144.5,-0.963560320710085
NM_000146.4,-0.126534506747968
NM_000151.4,-0.875080364805099
NM_000154.2,-2.44688141066161
NM_000156.6,-3.84812418696132
NM_000158.4,1.95757690661735
NM_000165.5,-10.8692467780214
NM_000170.3,-4.25849047377601
NM_000182.5,-3.00714878323508
NM_000194.3,-5.98814821817223
NM_000202.8,0.845092434235216
NM_000209.4,-1.41540297198505
NM_000212.3,-0.233167460128074
NM_000214.3,0.253025582380201
NM_000215.4,0.528337307004499
NM_000229.2,0.197872722849668
NM_000243.3,-0.211416228153892
NM_000270.4,-2.93946087920933
NM_000286.3,-0.463339152587403
NM_000291.4,0.51470036521317
NM_000294.3,-7.95852555886955
NM_000303.3,-1.95247145635807
NM_000317.3,-5.27244609129444
NM_000327.4,-0.6565825906553
NM_000346.4,-1.53472930779971
NM_000349.3,0.278230313775098
NM_000353.3,0.216473985747004
NM_000362.5,-0.97057947110712
NM_000363.5,0.0170143290494295
NM_000386.4,-8.53175003517074
NM_000387.6,-0.962227683816899
NM_000391.4,-3.6737358451267
NM_000428.3,0.298174714500404
NM_000434.4,-0.538161613941535
NM_000441.2,1.52680850200554
NM_000451.4,1.8807669066905
NM_000454.5,-11.9744371222407
NM_000474.4,-1.18521405034892
NM_000479.5,-0.438791539762393
NM_000485.3,-3.77484756878176
NM_000511.6,1.97788648088538
NM_000522.5,-10.8729040100188
NM_000525.4,5.82809481875244
NM_000527.5,3.44550571296458
NM_000538.4,-3.74995132434852
NM_000551.4,0.306011992938423
NM_000553.6,6.18356397672278
NM_000554.6,25.3525971698524
NM_000587.4,-1.69022463896573
NM_000599.4,-1.49564871897041
NM_000636.4,0.908561804948067
NM_000651.6,2.82856980250222
NM_000661.5,0.040913076115441
NM_000671.4,-10.6755032378536
NM_000683.4,0.636735849549525
NM_000690.4,0.113413729355137
NM_000713.3,-0.294535719221173
NM_000728.4,0.10580593474376
NM_000747.3,-3.11068493985717
NM_000761.5,0.136008309805198
NM_000767.5,-0.152788919966387
NM_000769.4,-0.140863591803838
NM_000771.4,0.0797139140316322
NM_000785.4,-4.59555293978355
NM_000820.4,0.212526554681755
NM_000821.7,1.86373398425205
NM_000843.4,5.78409994282763
NM_000852.4,-4.92478241984655
NM_000864.5,0.802130316901431
NM_000876.4,-4.49094797638845
NM_000903.3,-0.756230821025727
NM_000911.4,1.34195715477191
NM_000918.4,0.137050590007812
NM_000921.5,3.95856522233802
NM_000923.6,0.285346507672825
NM_000937.5,-5.12448744080288
NM_000942.5,-1.24845516532806
NM_000943.5,-7.67547964835363
NM_000945.4,-3.02236978598381
NM_000946.3,-0.231652503208051
NM_000961.4,1.27787028255646
NM_000968.4,-2.12797396650339
NM_000969.5,0.158664406618749
NM_000970.6,-1.68224680103147
NM_000971.4,-0.362582520791912
NM_000972.3,-3.25720374740639
NM_000973.5,-0.845575387952401
NM_000975.5,-2.97620600971044
NM_000976.4,-1.0296323769773
NM_000978.4,-3.16615218006983
NM_000980.4,-0.615414409038351
NM_000982.4,-0.788570566457669
NM_000983.4,-2.5110222422763
NM_000984.6,-6.29900043921388
NM_000986.4,-2.52358085659227
NM_000989.4,-2.30285542438322
NM_000990.5,-3.52084333323901
NM_000991.5,-1.13803543385442
NM_000992.3,0.0945382106869976
NM_000993.5,-3.34445184418853
NM_000994.4,-1.11718193510302
NM_000997.5,-3.27937151010616
NM_000998.5,-2.33232725729931
NM_000999.4,-3.82076585768712
NM_001000.4,-1.86028683921144
NM_001001.5,-5.48647634251142
NM_001001330.3,-0.15807319446116
NM_001001410.3,-5.44578571859255
NM_001001412.4,-2.3419663638616
NM_001001479.4,-0.382091390663022
NM_001001503.2,1.65205469866794
NM_001001563.5,3.15910469278442
NM_001001661.3,0.345022344120818
NM_001001665.4,0.633659694064566
NM_001001674.2,-1.02507385942554
NM_001001790.3,-7.52227347505811
NM_001001795.2,-2.87653482821297
NM_001001852.4,-1.53563045971148
NM_001001872.4,-2.77029400521172
NM_001001921.2,-1.02330007469444
NM_001001935.3,0.003952989663452
NM_001001937.2,0.351627778779153
NM_001001975.2,-1.4037936305235
NM_001002762.5,-1.90237672531959
NM_001002814.3,-0.17193934627236
NM_001002926.2,-9.86862162871327
NM_001003.3,-1.45196871939703
NM_001003652.4,0.913757487898643
NM_001003684.2,-7.03264054190161
NM_001003716.4,-1.51874224955528
NM_001003745.2,-1.65756583946203
NM_001003941.3,1.6664193076258
NM_001004.4,-1.59737996095189
NM_001004125.3,-0.820207919355432
NM_001004127.3,-4.52427486997075
NM_001004135.2,0.780290226444114
NM_001004301.4,-2.98400766865965
NM_001004304.4,-1.41644114044592
NM_001004309.3,-0.386934067876521
NM_001004320.2,0.758959984593771
NM_001004354.3,-3.43136702687538
NM_001004456.2,6.78236082190567
NM_001004466.2,2.33420673537982
NM_001004489.3,-0.29679207217859
NM_001004490.2,5.44817017815819
NM_001004689.2,-3.89270317012223
NM_001004711.2,0.355110024590737
NM_001004713.2,-1.39975486866067
NM_001004715.5,-0.577085021414877
NM_001004729.2,-0.398313727901488
NM_001004755.2,-1.17484250073566
NM_001004756.3,-0.247372254703066
NM_001005191.3,-0.566908957140233
NM_001005193.2,0.290125119993094
NM_001005199.2,0.252168978069114
NM_001005465.2,15.3908620689009
NM_001005493.2,14.3377272300371
NM_001005497.2,-0.671713935472863
NM_001005503.2,1.07022806106803
NM_001005514.2,8.30577882761267
NM_001005781.2,-1.62994461751971
NM_001005849.2,1.5496415032291
NM_001006.5,-1.03725461190661
NM_001006613.2,-1.93316661281922
NM_001006618.2,-2.61403602144552
NM_001006622.3,-0.556406477523772
NM_001006623.4,-1.01958472018443
NM_001006640.2,-2.16453290349402
NM_001006943.3,-0.927682830057184
NM_001007.5,-2.80336091057382
NM_001007189.2,-1.31922598300069
NM_001007233.3,1.35001777017886
NM_001007246.3,-0.389089338011246
NM_001007278.3,2.86329051551787
NM_001007538.2,-9.6485590723684
NM_001007561.3,0.91052967444942
NM_001008215.3,-3.3984546923928
NM_001008237.3,-0.201056046250411
NM_001008274.4,4.13597776810138
NM_001008388.5,-4.18728413172206
NM_001008528.3,1.33269684955799
NM_001008727.5,0.626034510435421
NM_001008738.3,1.75423951013339
NM_001008739.2,-0.32298518154626
NM_001008778.3,-1.02950814134781
NM_001009.4,-1.51119027956398
NM_001009552.2,-4.93368650184205
NM_001009608.3,-0.388952333716762
NM_001009894.3,-3.11334579310468
NM_001010.3,-1.30297098662038
NM_001010844.4,2.25196765057027
NM_001010851.3,1.52811034348235
NM_001010854.2,-0.940464772015846
NM_001010858.3,-5.44991465402326
NM_001010860.4,2.17390980594229
NM_001010866.4,-5.04029680001083
NM_001010867.4,-0.616222797238455
NM_001010883.3,-1.79595104215493
NM_001010890.3,-0.27702321438392
NM_001010891.5,2.62984899502339
NM_001010922.3,-1.26931448388836
NM_001011.4,-2.80430772821932
NM_001011513.4,6.10490639393186
NM_001011537.3,-1.45744457083962
NM_001011543.3,-0.198321207307347
NM_001011713.3,-2.93376927889652
NM_001012.2,-1.76652436193153
NM_001012271.2,0.603743811969914
NM_001012454.6,-0.354032610492411
NM_001012511.3,-0.967129599485774
NM_001012659.2,-0.241200750724895
NM_001012755.5,-2.10882107027193
NM_001012756.3,0.59797771423986
NM_001012968.3,-0.635666487827905
NM_001012978.3,0.335770822576177
NM_001013258.2,-0.368103121105185
NM_001013355.2,0.0670925694335148
NM_001013619.4,-2.24855267408297
NM_001013635.4,-0.716294226058934
NM_001013647.2,-0.922338147747894
NM_001013649.4,0.480822453172391
NM_001013657.3,1.15098697905285
NM_001013660.4,-0.119008555426834
NM_001013663.2,-6.97825977292211
NM_001013672.5,0.333357549691826
NM_001013703.4,-4.62294071312466
NM_001013706.3,1.92238806949259
NM_001014283.2,8.4157839405816
NM_001014342.3,1.45630823572884
NM_001015.5,-1.04178148272458
NM_001015072.4,0.0494362353690852
NM_001016.4,-1.36871916344447
NM_001017.3,-1.88707796055484
NM_001017371.5,0.529321807189523
NM_001017420.3,7.61234991260379
NM_001017921.4,2.9720769544888
NM_001017980.4,4.05418111472607
NM_001017981.2,0.251091385745645
NM_001017989.3,-0.0562557963720415
NM_001018024.3,-2.22850076667848
NM_001018111.3,2.94326411282438
NM_001023.4,-3.16636992209658
NM_001024.4,-2.32883785911503
NM_001024594.3,-1.94521750644997
NM_001024662.3,-4.97751868969873
NM_001024680.3,6.27362780145884
NM_001024843.2,0.0727522565269799
NM_001024939.4,-0.399343086504415
NM_001025.5,-2.30882223520522
NM_001025091.2,-6.4733795496666
NM_001025100.2,-0.581793939248195
NM_001025247.2,-4.97239439163873
NM_001025266.3,-0.231549283803523
NM_001025357.3,0.287112424138245
NM_001025433.2,1.89321125312757
NM_001025436.3,-5.09322432390184
NM_001026.5,-16.6005992960188
NM_001028.3,-5.3165360743656
NM_001029.5,-7.77220611623667
NM_001029989.3,2.47998663722075
NM_001029991.2,-4.60565474129076
NM_001030.6,-1.14770887333666
NM_001030001.4,-0.860965475135177
NM_001030018.2,-5.44750061355332
NM_001030060.3,10.7402888823637
NM_001030288.4,1.10682514907776
NM_001031.5,-2.90572241282093
NM_001031617.3,-0.240927402743068
NM_001031628.2,2.05007883647215
NM_001031672.4,-1.63210406930451
NM_001031713.4,3.90495750916591
NM_001031746.5,2.80967880192461
NM_001031801.2,-1.2533097480525
NM_001031804.3,-10.105475657701
NM_001032283.3,0.555491208426535
NM_001032284.3,-0.543603071649803
NM_001032293.3,2.25727309621928
NM_001032730.3,-0.576168502520297
NM_001032999.3,0.596478547260758
NM_001033.5,-0.598297259959674
NM_001033044.4,2.95345170978243
NM_001033056.4,2.97257387830564
NM_001033503.3,-0.0334563333593171
NM_001033580.3,-3.36709492798693
