,SYMBOL,Flag1,Flag2,Flag3,N1,N2,N3,NLS1,NLS2,NLS3,lfc_NFlag,REFSEQ_new,REFSEQ,ISO,lfc_NLSFlag
1,SRP19,-0.227779388882746,-0.373390798314075,-0.300266148165155,0.0173095874753848,0.211070172240835,0.264151940646295,0.158053966677405,0.037884669109685,0.212965999212375,0.638840733,NP_001191128,NP_001191128.1,NM_001204199.2,0.594585730083713
2,AIMP2,-0.500017784911043,-0.423927801251923,-0.789710136580863,0.0305681055079066,0.309615997292377,0.485143249930597,0.398542423945917,0.315018846764446,0.174767099302587,2.452881304,NP_001349714,NP_001349714.1,NM_001362785.2,2.43825350483692
3,EMC8,-0.763855581675314,-0.495052177724514,-0.616868918178984,0.0441036979120462,0.344353547991447,0.374852975776776,0.478355281231217,0.328958539555597,0.305152635111726,1.30515131,XP_016878356,XP_016878356.1,XM_017022867.2,1.44747120657426
4,NDUFB8,0.85284357164942,0.37999348442274,0.65116429388055,-0.4224595488529,-0.67204390211789,-0.0730622738640299,-0.19158430066621,-0.46412162800053,-0.0607296964511499,-2.490911414,NP_001271296,NP_001271296.1,NM_001284367.2,-1.89334159533676
5,EIF3K,0.416966926086794,0.590237211376384,0.814212787760265,-0.233241845096796,-0.361521304232576,-0.258533347338916,-0.0224247199053758,-0.450100699186276,-0.495595009463506,-1.718318368,NP_001287921,NP_001287921.1,NM_001300992.2,-1.73300800913318
6,BAMBI,0.744854521132588,0.452442499388308,0.482753211437678,0.215281405073368,-0.481069396563052,-0.204720529324332,-0.189313341726382,-0.608343302321652,-0.411885067096522,-1.138082256,NP_036474,NP_036474.1,NM_012342.3,-1.65598580888474
7,PRDX3,0.805665404115382,0.601071600396002,0.722094836702382,0.0290290783438216,-0.285152679685998,-0.566897539211478,-0.519109990628118,-0.193773821948138,-0.592926888083858,-1.384287305,NP_001289201,NP_001289201.1,NM_001302272.2,-1.62497025756705
8,HSPE1,0.822292444429772,0.700179477484172,0.817741497557872,-0.246540500293218,-0.176610259687108,-0.883262594920499,-0.249790545708148,-0.249959604186179,-0.534049914676658,-1.542328929,NP_002148,NP_002148.1,NM_002157.3,-1.46081309628053
9,TIMM8B,0.59179528901013,0.71844175443652,0.69618471705889,-0.21372406680254,-0.110370489811491,-0.86297080511457,-0.21307168493274,-0.0333560064894804,-0.57292870735472,-1.363056965,NP_036591,NP_036591.3,NM_012459.4,-1.21735186155043
10,ANP32A,0.605857095283612,0.525071592731223,0.655068839490163,-0.00912700452383675,-0.142258094211407,-0.760852128363696,-0.171085814743767,-0.175738701165097,-0.526935784497197,-1.137639038,NP_006296,NP_006296.1,NM_006305.4,-1.15776067312854
11,SNRPF,0.669929392647406,0.576894901981104,0.665416770087704,-0.165842687109246,-0.115679980053915,-0.780175313547044,-0.167908876086434,-0.165955863407335,-0.516678344512234,-1.254145117,NP_003086,NP_003086.1,NM_003095.5,-1.19081068942084
12,SRM,0.595619704300255,0.588214904331275,0.564979286222535,-0.102533732808335,-0.0520237991528054,-0.778693461866315,-0.202692068383475,-0.124075476753555,-0.488795355889585,-1.134106236,NP_003123,NP_003123.2,NM_003132.3,-1.11841774745545
13,DHCR24,0.586695036034259,0.441939702454269,0.789482495252869,0.0486105752634289,-0.0526242199588705,-0.339402572888231,-0.286525825603991,-0.234274155830241,-0.953901034723491,-0.953678924,NP_055577,NP_055577.1,NM_014762.4,-1.42455876344042
14,SRSF2,0.690671571777498,0.318384460253649,0.736982094251829,-0.315893248084842,-0.116098281154222,-0.303010645637541,-0.485099263694411,-0.261089089812502,-0.264847597899461,-1.198470198,NP_001182356,NP_001182356.1,NM_001195427.2,-1.32014038004712
