gene_ID,Fishers_N
NM_000097.7,1
NM_000100.4,1
NM_000104.4,1
NM_000112.4,1
NM_000143.4,1
NM_000165.5,1
NM_000194.3,1
NM_000294.3,1
NM_000317.3,1
NM_000386.4,1
NM_000454.5,1
NM_000522.5,1
NM_000525.4,1
NM_000553.6,1
NM_000554.6,1
NM_000671.4,1
NM_000843.4,1
NM_000937.5,1
NM_000943.5,1
NM_000984.6,1
NM_001001.5,1
NM_001001410.3,1
NM_001001790.3,1
NM_001002926.2,1
NM_001003684.2,1
NM_001004456.2,1
NM_001004490.2,1
NM_001005465.2,1
NM_001005493.2,1
NM_001005514.2,1
NM_001007538.2,1
NM_001010858.3,1
NM_001011513.4,1
NM_001013663.2,1
NM_001014283.2,1
NM_001017420.3,1
NM_001024680.3,1
NM_001025091.2,1
NM_001025436.3,1
NM_001026.5,1
NM_001028.3,1
NM_001029.5,1
NM_001030018.2,1
NM_001030060.3,1
NM_001031804.3,1
NM_001039844.3,1
NM_001040431.3,1
NM_001040436.3,1
NM_001042371.3,1
NM_001042603.3,1
NM_001048249.4,1
NM_001070.5,1
NM_001077196.2,1
NM_001077197.2,1
NM_001077358.2,1
NM_001077399.3,1
NM_001078171.2,1
NM_001080392.2,1
NM_001080396.3,1
NM_001080501.3,1
NM_001085400.2,1
NM_001093725.2,1
NM_001099678.2,1
NM_001101.5,1
NM_001105573.2,1
NM_001126049.2,1
NM_001130929.2,1
NM_001134232.2,1
NM_001134659.1,1
NM_001135998.3,1
NM_001136262.2,1
NM_001136498.2,1
NM_001142648.2,1
NM_001145199.2,1
NM_001145450.3,1
NM_001145951.2,1
NM_001151.4,1
NM_001152.5,1
NM_001160008.2,1
NM_001163424.2,1
NM_001163438.2,1
NM_001164803.2,1
NM_001165882.3,1
NM_001166588.3,1
NM_001167741.2,1
NM_001170693.2,1
NM_001172813.2,1
NM_001173408.2,1
NM_001173431.2,1
NM_001173989.4,1
NM_001174103.2,1
NM_001177310.2,1
NM_001184892.2,1
NM_001193304.3,1
NM_001195799.2,1
NM_001195800.2,1
NM_001195803.2,1
NM_001198879.2,1
NM_001199679.2,1
NM_001199900.2,1
NM_001201539.2,1
NM_001204199.2,1
NM_001206.4,1
NM_001206641.3,1
NM_001211.6,1
NM_001212.4,1
NM_001237.5,1
NM_001244683.2,1
NM_001253.4,1
NM_001257308.2,1
NM_001257370.2,1
NM_001258025.2,1
NM_001268284.3,1
NM_001270393.2,1
NM_001270406.2,1
NM_001271852.3,1
NM_001278251.3,1
NM_001281297.2,1
NM_001282338.2,1
