,lfc_NLSFlag,REFSEQ_new,REFSEQ,ISO
1,-0.796897441113221,NP_000104,NP_000104.1,NM_000113.3
2,3.66543132899771,NP_000130,NP_000130.1,NM_000139.5
3,-1.24488853974134,NP_000145,NP_000145.1,NM_000154.2
4,-0.750083385492613,NP_000173,NP_000173.2,NM_000182.5
5,-0.689694260664998,NP_000261,NP_000261.2,NM_000270.4
6,-0.689694260664998,NP_000261,NP_000261.2-2,NM_000270.4-2
7,-0.879953888434686,NP_000382,NP_000382.3,NM_000391.4
8,-1.16534681856277,NP_000529,NP_000529.1,NM_000538.4
9,-0.772904359865451,NP_000936,NP_000936.1,NM_000945.4
10,-0.559047799454033,NP_000960,NP_000960.2,NM_000969.5
11,-0.718834482704608,NP_000969,NP_000969.1,NM_000978.4
12,-0.595976392905166,NP_000980,NP_000980.1,NM_000989.4
13,-0.745955775178017,NP_000981,NP_000981.1,NM_000990.5
14,-0.646187130383225,NP_000984,NP_000984.1,NM_000993.5
15,-0.546018064682427,NP_000988,NP_000988.1,NM_000997.5
16,-0.670698301798147,NP_000989,NP_000989.1,NM_000998.5
17,-0.694475351782343,NP_000991,NP_000991.1,NM_001000.4
18,-0.690674252188307,NP_000998,NP_000998.1,NM_001007.5
19,-0.535556441595904,NP_001001,NP_001001.2,NM_001010.3
20,-0.714822987067767,NP_001001795,NP_001001795.1,NM_001001795.2
21,-0.583384885618966,NP_001003,NP_001003.1,NM_001012.2
22,-1.59972157867294,NP_001004728,NP_001004728.1,NM_001004728.2
23,-0.541788760450067,NP_001006,NP_001006.1,NM_001015.5
24,2.00509772058078,NP_001007241,NP_001007241.2,NM_001007240.3
25,1.96892791367441,NP_001007242,NP_001007242.2,NM_001007241.3
26,-0.627700437129132,NP_001008,NP_001008.1,NM_001017.3
27,-0.635375020380627,NP_001008389,NP_001008389.1,NM_001008388.5
28,-0.871338485363875,NP_001009894,NP_001009894.2,NM_001009894.3
29,-0.724714428791304,NP_001011713,NP_001011713.2,NM_001011713.3
30,-0.539739923632454,NP_001012,NP_001012.1,NM_001021.6
31,-0.539739923632454,NP_001012,NP_001012.1-2,NM_001021.6-2
