,lfc_NFlag,REFSEQ_new,REFSEQ,ISO
1,1.52105207896144,NP_000103,NP_000103.2,NM_000112.4
2,1.55606132699494,NP_000230,NP_000230.1,NM_000239.3
3,-0.647247508326464,NP_000476,NP_000476.1,NM_000485.3
4,-1.04188574978847,NP_001001921,NP_001001921.1,NM_001001921.2
5,-1.15774148316335,NP_001003745,NP_001003745.1,NM_001003745.2
6,-1.15774148316335,NP_001003745,NP_001003745.1-2,NM_001003745.2-2
7,-0.988596445036444,NP_001004127,NP_001004127.2,NM_001004127.3
8,-1.38288839866192,NP_001007158,NP_001007158.1,NM_001007157.2
9,-1.13360466952553,NP_001009552,NP_001009552.1,NM_001009552.2
10,1.32113468798212,NP_001011513,NP_001011513.4,NM_001011513.4
11,1.6886290468915,NP_001017420,NP_001017420.1,NM_001017420.3
12,1.15313833000536,NP_001019851,NP_001019851.1,NM_001024680.3
13,-1.78596743718718,NP_001034977,NP_001034977.1,NM_001039888.4
14,-0.740004733058978,NP_001121700,NP_001121700.2,NM_001128228.3
15,-1.19019180848928,NP_001129970,NP_001129970.1,NM_001136498.2
16,-1.19019180848928,NP_001129970,NP_001129970.1-2,NM_001136498.2-2
17,1.58526385789501,NP_001139277,NP_001139277.1,NM_001145805.2
18,-0.978998339849834,NP_001153718,NP_001153718.1,NM_001160246.2
19,2.19323764709797,NP_001153836,NP_001153836.1,NM_001160364.2
20,-1.13722918925275,NP_001158283,NP_001158283.1,NM_001164811.2
21,-2.02607741742004,NP_001160060,NP_001160060.1,NM_001166588.3
22,0.746161719000108,NP_001166145,NP_001166145.1,NM_001172674.2
23,1.29209939113827,NP_001170781,NP_001170781.1,NM_001177310.2
24,-1.52290482999061,NP_001177920,NP_001177920.1,NM_001190991.3
25,2.38344327457432,NP_001182729,NP_001182729.1,NM_001195800.2
26,1.53591509297844,NP_001192244,NP_001192244.1,NM_001205315.2
27,0.953643564603629,NP_001243209,NP_001243209.1,NM_001256280.2
28,1.69188700293872,NP_001244202,NP_001244202.1,NM_001257273.2
29,-1.84379992934591,NP_001269163,NP_001269163.1,NM_001282234.1
30,-0.837252488872856,NP_001273506,NP_001273506.1,NM_001286577.2
31,1.4680360780217,NP_001307760,NP_001307760.1,NM_001320831.2
32,1.42250705604534,NP_001308082,NP_001308082.1,NM_001321153.2
33,-0.592982466160436,NP_001333369,NP_001333369.1,NM_001346440.2
34,-1.01805886573612,NP_001338258,NP_001338258.1,NM_001351329.2
35,-0.955659019255575,NP_001342172,NP_001342172.1,NM_001355243.2
36,1.79637512158185,NP_001354994,NP_001354994.1,NM_001368065.1
37,-1.39838005804782,NP_001356145,NP_001356145.1,NM_001369216.1
38,0.858507683859897,NP_001357394,NP_001357394.1,NM_001370465.2
39,1.50239734847532,NP_001364144,NP_001364144.1,NM_001377215.1
40,2.26255230304918,NP_001369433,NP_001369433.1,NM_001382504.2
41,-2.71324617690717,NP_001380939,NP_001380939.1,NM_001394010.1
42,1.25525239769235,NP_001382330,NP_001382330.1,NM_001395401.1
43,-0.720558322366617,NP_001383009,NP_001383009.1,NM_001396080.1
44,-0.721128187619239,NP_001505,NP_001505.1,NM_001514.6
45,-0.786078781718715,NP_001734,NP_001734.1,NM_001743.6
46,-2.00415062088879,NP_002004,NP_002004.1,NM_002013.4
47,2.00553067904924,NP_002124,NP_002124.1,NM_002133.3
48,-1.21499649921582,NP_002132,NP_002132.3,NM_002141.5
49,-1.12807544477911,NP_002867,NP_002867.1,NM_002876.4
50,1.26817931992991,NP_003661,NP_003661.1,NM_003670.3
51,0.697624013251906,NP_003740,NP_003740.2,NM_003749.3
52,-0.958384327162318,NP_003855,NP_003855.1,NM_003864.4
53,-0.8918060468735,NP_003867,NP_003867.1,NM_003876.3
54,-0.936368891541835,NP_004239,NP_004239.2,NM_004248.3
55,2.67248605497568,NP_004445,NP_004445.1,NM_004454.3
56,-2.05263228233839,NP_005040,NP_005040.2,NM_005049.3
57,-0.597099092597457,NP_005137,NP_005137.1,NM_005146.5
58,-1.04568990160468,NP_005189,NP_005189.2,NM_005198.5
59,1.38560905811012,NP_005776,NP_005776.1,NM_005785.4
60,1.33097618320832,NP_006695,NP_006695.1,NM_006704.5
61,-1.74579384403706,NP_006868,NP_006868.3,NM_006877.4
62,-0.944301901101838,NP_036477,NP_036477.2,NM_012345.3
63,-0.76306756186827,NP_037380,NP_037380.1,NM_013248.3
64,-1.62987426414532,NP_037495,NP_037495.1,NM_013363.4
65,-0.81028264490754,NP_054888,NP_054888.3,NM_014169.5
66,-0.81028264490754,NP_054888,NP_054888.3-2,NM_014169.5-2
67,-0.562915799805433,NP_054890,NP_054890.1,NM_014171.6
68,-0.746976623253933,NP_055082,NP_055082.1,NM_014267.6
69,-0.736614346940441,NP_055412,NP_055412.2,NM_014597.5
70,-0.87191616816786,NP_055982,NP_055982.2,NM_015167.3
71,-2.00721616279789,NP_056485,NP_056485.2,NM_015670.6
72,-0.666316917782303,NP_056955,NP_056955.2,NM_015871.5
73,-0.499074997891338,NP_057004,NP_057004.1,NM_015920.4
74,1.29810418945146,NP_057046,NP_057046.1,NM_015962.5
75,-0.722912627878011,NP_057078,NP_057078.1,NM_015994.4
76,-0.855405450280321,NP_057383,NP_057383.2,NM_016299.4
77,-0.684348821204621,NP_057578,NP_057578.1,NM_016494.4
78,-1.25721629589845,NP_057602,NP_057602.2,NM_016518.3
79,-1.90919691867707,NP_060174,NP_060174.2,NM_017704.3
80,-1.67317878218493,NP_060499,NP_060499.3,NM_018029.4
81,-1.80474719801762,NP_060502,NP_060502.1,NM_018032.5
82,-0.633102089629312,NP_061153,NP_061153.1,NM_018683.4
83,-1.67114304890442,NP_061326,NP_061326.1,NM_018838.5
84,1.48287154871499,NP_061931,NP_061931.1,NM_019058.4
85,-0.818689479869235,NP_066012,NP_066012.1,NM_020961.4
86,-0.707719705439922,NP_067653,NP_067653.4,NM_021640.4
87,-0.707719705439922,NP_067653,NP_067653.4-2,NM_021640.4-2
88,1.14795576136904,NP_071739,NP_071739.2,NM_022344.4
89,-0.641059015645081,NP_075060,NP_075060.1,NM_022909.4
90,-0.925038316995541,NP_077021,NP_077021.1,NM_024116.4
91,-0.799500887616799,NP_078929,NP_078929.1,NM_024653.4
92,-1.27279090280096,NP_085155,NP_085155.1,NM_030652.4
93,-1.27279090280096,NP_085155,NP_085155.1-5,NM_030652.4-5
94,-1.27279090280096,NP_085155,NP_085155.1-6,NM_030652.4-6
95,-1.27279090280096,NP_085155,NP_085155.1-7,NM_030652.4-7
96,-0.656609224334137,NP_112157,NP_112157.2,NM_030895.3
97,-2.71464758171243,NP_112486,NP_112486.1,NM_031209.3
98,-1.16730059331849,NP_113688,NP_113688.1,NM_031500.3
99,-1.16730059331849,NP_113688,NP_113688.1-2,NM_031500.3-2
100,-0.665893677958177,NP_115285,NP_115285.1,NM_032102.4
101,-0.80646583759737,NP_115693,NP_115693.2,NM_032317.3
102,1.45479812862457,NP_115806,NP_115806.1,NM_032430.2
103,-0.613089896522053,NP_116222,NP_116222.4,NM_032833.5
104,-0.855275358642126,NP_444271,NP_444271.2,NM_053043.3
105,-0.810063077747527,NP_612393,NP_612393.2,NM_138384.4
106,-0.984012271951306,NP_612430,NP_612430.2,NM_138421.3
107,1.53430764852492,NP_631901,NP_631901.2,NM_139162.4
108,1.70252474540186,NP_653216,NP_653216.2,NM_144615.3
109,-0.769166505929726,NP_667345,NP_667345.1,NM_147134.4
110,-0.652820261565845,NP_690002,NP_690002.2,NM_152789.4
111,-2.96198985130375,NP_787067,NP_787067.3,NM_175871.4
112,-0.617510237227993,NP_803173,NP_803173.1,NM_177424.3
113,-1.04087731014774,XP_005249904,XP_005249904.1,XM_005249847.4
114,-1.83584069950548,XP_005273773,XP_005273773.1,XM_005273716.1
115,-1.38734459578196,XP_006718422,XP_006718422.1,XM_006718359.5
116,-1.66731473502187,XP_011507380,XP_011507380.1,XM_011509078.4
117,1.82675680604977,XP_011510387,XP_011510387.1,XM_011512085.3
118,0.891858958335978,XP_011518498,XP_011518498.1,XM_011520196.2
119,1.6566276868562,XP_011526226,XP_011526226.1,XM_011527924.3
120,0.841520168840531,XP_011526463,XP_011526463.1,XM_011528161.3
121,1.19310867416268,XP_011528512,XP_011528512.1,XM_011530210.3
122,0.907713703998304,XP_011530964,XP_011530964.1,XM_011532662.3
123,-0.830725163744263,XP_011531767,XP_011531767.1,XM_011533465.2
124,-0.899509316259228,XP_011532665,XP_011532665.1,XM_011534363.3
125,-1.105543009796,XP_011532858,XP_011532858.1,XM_011534556.3
126,1.77489660202758,XP_011533771,XP_011533771.1,XM_011535469.3
127,1.5954533948235,XP_011538510,XP_011538510.1,XM_011540208.2
128,-0.963681869186596,XP_011540188,XP_011540188.1,XM_011541886.4
129,1.90680576183496,XP_011543568,XP_011543568.1,XM_011545266.4
130,-1.68951448556052,XP_011543955,XP_011543955.1,XM_011545653.2
131,0.942019240298612,XP_011544678,XP_011544678.1,XM_011546376.4
132,1.55439400318373,XP_016859926,XP_016859926.1,XM_017004437.3
133,-1.27430524066897,XP_016863781,XP_016863781.1,XM_017008292.3
134,-1.18366491383491,XP_016867397,XP_016867397.1,XM_017011908.2
135,0.85172107555248,XP_016868336,XP_016868336.1,XM_017012847.3
136,1.35586909968713,XP_016878456,XP_016878456.1,XM_017022967.3
137,2.00147866281252,XP_016882647,XP_016882647.1,XM_017027158.2
138,1.54204263980848,XP_016882702,XP_016882702.1,XM_017027213.3
139,-0.787296810433686,XP_016885383,XP_016885383.1,XM_017029894.3
140,1.36717690981454,XP_024303164,XP_024303164.1,XM_024447396.2
141,-0.780677194492865,XP_024303445,XP_024303445.1,XM_024447677.2
142,0.95654722270445,XP_024305595,XP_024305595.1,XM_024449827.2
143,1.20969889064512,XP_024306925,XP_024306925.1,XM_024451157.2
144,2.03446470491413,XP_024307493,XP_024307493.1,XM_024451725.2
145,-1.45199108061307,XP_047272415,XP_047272415.1,XM_047416459.1
146,-0.70758784148935,XP_047273850,XP_047273850.1,XM_047417894.1
147,-1.08360178330402,XP_047274522,XP_047274522.1,XM_047418566.1
148,1.80114861614613,XP_047277468,XP_047277468.1,XM_047421512.1
149,1.17701945901952,XP_047277591,XP_047277591.1,XM_047421635.1
150,1.14018345955902,XP_047278057,XP_047278057.1,XM_047422101.1
151,0.989325812362587,XP_047279491,XP_047279491.1,XM_047423535.1
152,-0.9942046880466,XP_047279493,XP_047279493.1,XM_047423537.1
153,1.95380636686191,XP_047280667,XP_047280667.1,XM_047424711.1
154,-0.684427392249473,XP_047283370,XP_047283370.1,XM_047427414.1
155,-2.20929770460902,XP_047283462,XP_047283462.1,XM_047427506.1
156,1.11615802713224,XP_047286639,XP_047286639.1,XM_047430683.1
157,1.687356425086,XP_047287135,XP_047287135.1,XM_047431179.1
158,-0.98579252798653,XP_047287235,XP_047287235.1,XM_047431279.1
159,1.43793433291687,XP_047287637,XP_047287637.1,XM_047431681.1
160,1.94833999231813,XP_047287870,XP_047287870.1,XM_047431914.1
161,0.906592719902903,XP_047288316,XP_047288316.1,XM_047432360.1
162,-1.08165652241919,XP_047290157,XP_047290157.1,XM_047434201.1
163,-1.10822715397344,XP_047293576,XP_047293576.1,XM_047437620.1
164,-0.876554069388779,XP_047294329,XP_047294329.1,XM_047438373.1
165,1.89662729275347,XP_047296503,XP_047296503.1,XM_047440547.1
166,-0.709937129677388,XP_047296783,XP_047296783.1,XM_047440827.1
167,1.41238573202095,XP_047297094,XP_047297094.1,XM_047441138.1
168,-1.80447862055636,XP_047298690,XP_047298690.1,XM_047442734.1
169,0.60365997965072,XP_047301151,XP_047301151.1,XM_047445195.1
