,lfc_NLSFlag,REFSEQ_new,REFSEQ,ISO
1,-1.24920503259112,NP_000091,NP_000091.1,NM_000100.4
2,-1.1560152000666,NP_000095,NP_000095.2,NM_000104.4
3,-1.24411478484915,NP_000134,NP_000134.2,NM_000143.4
4,-1.759494454879,NP_000150,NP_000150.1,NM_000159.4
5,-1.69718874864258,NP_000156,NP_000156.1,NM_000165.5
6,-0.671917814310555,NP_000161,NP_000161.2,NM_000170.3
7,-1.16117731218807,NP_000185,NP_000185.1,NM_000194.3
8,-0.794077928867295,NP_000285,NP_000285.1,NM_000294.3
9,-1.02494333150025,NP_000308,NP_000308.1,NM_000317.3
10,-1.07394969274709,NP_000364,NP_000364.1,NM_000373.4
11,2.91664870620287,NP_000367,NP_000367.1,NM_000376.3
12,-0.8302024075144,NP_000377,NP_000377.1,NM_000386.4
13,-1.3640601085397,NP_000513,NP_000513.2,NM_000522.5
14,1.25332688208762,NP_000516,NP_000516.3,NM_000525.4
15,0.840086861617317,NP_000545,NP_000545.1,NM_000554.6
16,-1.14247077570547,NP_000662,NP_000662.3,NM_000671.4
17,-1.01347729410249,NP_000840,NP_000840.2,NM_000849.5
18,-0.745030418971251,NP_000843,NP_000843.1,NM_000852.4
19,-0.8453888648328,NP_000867,NP_000867.3,NM_000876.4
20,0.672068587817767,NP_000902,NP_000902.3,NM_000911.4
21,-0.589081033819421,NP_000928,NP_000928.1,NM_000937.5
22,-1.71498952991405,NP_000934,NP_000934.1,NM_000943.5
23,-0.864914285992294,NP_000992,NP_000992.1,NM_001001.5
24,-1.01047259968902,NP_001001790,NP_001001790.1,NM_001001790.3
25,-0.902911290732441,NP_001002926,NP_001002926.1,NM_001002926.2
26,-1.26472216806032,NP_001003684,NP_001003684.1,NM_001003684.2
27,-0.74556713869672,NP_001004333,NP_001004333.3,NM_001004333.5
28,1.0801324737956,NP_001004456,NP_001004456.1,NM_001004456.2
29,0.492251694369357,NP_001004466,NP_001004466.1,NM_001004466.2
30,1.43420468762213,NP_001004490,NP_001004490.1,NM_001004490.2
31,1.03310139825002,NP_001004492,NP_001004492.1,NM_001004492.2
32,-0.952307939645472,NP_001004689,NP_001004689.1,NM_001004689.2
33,1.17776546292039,NP_001005465,NP_001005465.1,NM_001005465.2
34,2.38552199762975,NP_001005493,NP_001005493.1,NM_001005493.2
35,-1.20947663543962,NP_001007539,NP_001007539.1,NM_001007538.2
36,-0.985322848668165,NP_001010858,NP_001010858.2,NM_001010858.3
37,-0.985322848668165,NP_001010858,NP_001010858.2-2,NM_001010858.3-2
38,-1.15866881782076,NP_001010866,NP_001010866.1,NM_001010866.4
39,1.54473703938053,NP_001010891,NP_001010891.4,NM_001010891.5
40,-1.13336030760683,NP_001013685,NP_001013685.1,NM_001013663.2
41,4.06622050503976,NP_001014305,NP_001014305.1,NM_001014283.2
42,-1.16588379586123,NP_001017,NP_001017.1,NM_001026.5
43,4.17707983032426,NP_001017535,NP_001017535.1,NM_001017535.2
44,2.36419976879959,NP_001017536,NP_001017536.1,NM_001017536.2
45,-0.869720731867831,NP_001019,NP_001019.1,NM_001028.3
46,-0.869720731867831,NP_001019,NP_001019.1-2,NM_001028.3-2
47,-0.903914236786333,NP_001020,NP_001020.2,NM_001029.5
48,-1.2201967904809,NP_001020262,NP_001020262.1,NM_001025091.2
49,-1.2201967904809,NP_001020262,NP_001020262.1-2,NM_001025091.2-2
50,-1.2201967904809,NP_001020262,NP_001020262.1-4,NM_001025091.2-4
51,-1.2201967904809,NP_001020262,NP_001020262.1-6,NM_001025091.2-6
52,-1.2201967904809,NP_001020262,NP_001020262.1-7,NM_001025091.2-7
53,-0.881364854572309,NP_001020418,NP_001020418.1,NM_001025247.2
54,-0.949650247803303,NP_001025189,NP_001025189.1,NM_001030018.2
55,0.868555514439429,NP_001025231,NP_001025231.1,NM_001030060.3
56,1.809291618893,NP_001026916,NP_001026916.2,NM_001031746.5
57,-1.62560431693215,NP_001026974,NP_001026974.1,NM_001031804.3
58,1.06786237073106,NP_001034933,NP_001034933.1,NM_001039844.3
59,-1.17012018952248,NP_001035521,NP_001035521.1,NM_001040431.3
60,-0.762331901841897,NP_001035830,NP_001035830.1,NM_001042371.3
61,-0.84614962846691,NP_001036068,NP_001036068.1,NM_001042603.3
62,-0.955470701877368,NP_001041714,NP_001041714.1,NM_001048249.4
63,-0.757213449547974,NP_001061,NP_001061.2,NM_001070.5
64,-0.91271670096627,NP_001065243,NP_001065243.1,NM_001071775.3
65,2.24508272401764,NP_001070664,NP_001070664.1,NM_001077196.2
66,2.50771822461239,NP_001070665,NP_001070665.1,NM_001077197.2
67,2.15809671502064,NP_001070826,NP_001070826.1,NM_001077358.2
68,-0.974187808308904,NP_001070867,NP_001070867.1,NM_001077399.3
69,-1.25490244096624,NP_001071639,NP_001071639.1,NM_001078171.2
70,-1.0200111806989,NP_001071641,NP_001071641.1,NM_001078173.2
71,1.72680008721999,NP_001073583,NP_001073583.1,NM_001080114.2
72,-0.830892753818374,NP_001073970,NP_001073970.1,NM_001080501.3
73,1.43136991988868,NP_001078869,NP_001078869.1,NM_001085400.2
74,-0.946601011565028,NP_001087194,NP_001087194.1,NM_001093725.2
75,-1.00035470400789,NP_001092,NP_001092.1,NM_001101.5
76,1.39643276414388,NP_001092314,NP_001092314.1,NM_001098844.3
77,-1.23176615930373,NP_001093163,NP_001093163.1,NM_001099693.2
78,-0.905337311074758,NP_001094299,NP_001094299.1,NM_001100829.3
79,1.09842559196873,NP_001096624,NP_001096624.1,NM_001103154.2
80,-0.61550485729733,NP_001099043,NP_001099043.1,NM_001105573.2
81,2.08154032922849,NP_001107605,NP_001107605.1,NM_001114133.3
82,-0.825122915821367,NP_001107875,NP_001107875.1,NM_001114403.3
83,2.52885451804255,NP_001108624,NP_001108624.1,NM_001115152.2
84,-0.863057237458117,NP_001118239,NP_001118239.1,NM_001124767.2
85,1.94570934570043,NP_001122402,NP_001122402.1,NM_001128930.3
86,1.00538849288766,NP_001123544,NP_001123544.1,NM_001130072.2
87,-0.844803825591661,NP_001124401,NP_001124401.1,NM_001130929.2
88,1.22805130684786,NP_001127704,NP_001127704.1,NM_001134232.2
89,2.17302066348471,NP_001127872,NP_001127872.1,NM_001134400.2
90,2.44004388712827,NP_001127875,NP_001127875.1,NM_001134403.2
91,1.1655846420042,NP_001128131,NP_001128131.1,NM_001134659.1
92,-0.93897788835262,NP_001129047,NP_001129047.1,NM_001135575.2
93,-1.16436076744653,NP_001129734,NP_001129734.1,NM_001136262.2
94,-0.814361510615855,NP_001135858,NP_001135858.1,NM_001142386.3
95,2.45654250831911,NP_001136120,NP_001136120.1,NM_001142648.2
96,-1.48747500904155,NP_001138722,NP_001138722.1,NM_001145250.2
97,-0.854989968989243,NP_001138922,NP_001138922.2,NM_001145450.3
98,2.45925987955473,NP_001139423,NP_001139423.1,NM_001145951.2
99,-0.984274725901248,NP_001142,NP_001142.2,NM_001151.4
100,-1.0532327623939,NP_001143,NP_001143.2,NM_001152.5
101,-0.607079453118771,NP_001145,NP_001145.1,NM_001154.4
102,1.35047646154224,NP_001153480,NP_001153480.1,NM_001160008.2
103,-0.867669934095173,NP_001156896,NP_001156896.1,NM_001163424.2
104,-1.14471045165906,NP_001156910,NP_001156910.1,NM_001163438.2
105,1.53441190102091,NP_001157918,NP_001157918.1,NM_001164446.3
106,-0.916037679685899,NP_001158275,NP_001158275.1,NM_001164803.2
107,1.431466769032,NP_001159354,NP_001159354.1,NM_001165882.3
108,1.5533304421517,NP_001164164,NP_001164164.1,NM_001170693.2
109,1.68523460078111,NP_001166284,NP_001166284.1,NM_001172813.2
110,-1.52441148496579,NP_001167460,NP_001167460.1,NM_001173989.4
111,1.35648259232205,NP_001171476,NP_001171476.1,NM_001178005.2
112,1.9361312428577,NP_001171600,NP_001171600.1,NM_001178129.2
113,-0.822952470108366,NP_001171821,NP_001171821.1,NM_001184892.2
114,0.831990334574071,NP_001177962,NP_001177962.1,NM_001191033.2
115,2.78736946722319,NP_001180233,NP_001180233.1,NM_001193304.3
116,-1.32014038004712,NP_001182356,NP_001182356.1,NM_001195427.2
117,2.01070482656862,NP_001182728,NP_001182728.1,NM_001195799.2
118,2.20297644894937,NP_001182732,NP_001182732.1,NM_001195803.2
119,0.97156435541902,NP_001185808,NP_001185808.1,NM_001198879.2
120,1.99168120215154,NP_001186608,NP_001186608.1,NM_001199679.2
121,-1.51341569658792,NP_001186829,NP_001186829.1,NM_001199900.2
122,1.36957409218647,NP_001189163,NP_001189163.1,NM_001202234.2
123,2.04691433701527,NP_001189332,NP_001189332.1,NM_001202403.2
124,0.594585730083713,NP_001191128,NP_001191128.1,NM_001204199.2
125,-1.42974393394621,NP_001193570,NP_001193570.2,NM_001206641.3
126,-1.2565490501931,NP_001193668,NP_001193668.1,NM_001206739.2
127,2.22297153640693,NP_001193900,NP_001193900.1,NM_001206971.3
128,-0.851218006020468,NP_001197,NP_001197.1,NM_001206.4
129,-1.18540002038099,NP_001203,NP_001203.1,NM_001212.4
130,-0.968733645291368,NP_001228,NP_001228.2,NM_001237.5
131,2.14429091898887,NP_001238935,NP_001238935.1,NM_001252006.1
132,0.705952639627813,NP_001244089,NP_001244089.1,NM_001257160.2
133,-0.830489670024787,NP_001244119,NP_001244119.1,NM_001257190.3
134,-1.21171976262444,NP_001244299,NP_001244299.1,NM_001257370.2
135,1.94239568558718,NP_001244954,NP_001244954.1,NM_001258025.2
136,1.48806892228893,NP_001245240,NP_001245240.1,NM_001258311.2
137,-0.643731025731884,NP_001246,NP_001246.2,NM_001255.3
138,2.5607700584934,NP_001255213,NP_001255213.1,NM_001268284.3
139,3.20571858657777,NP_001257322,NP_001257322.1,NM_001270393.2
140,2.37858617600845,NP_001257335,NP_001257335.1,NM_001270406.2
141,1.581316663817,NP_001258766,NP_001258766.1,NM_001271837.2
142,2.39229617770311,NP_001258781,NP_001258781.1,NM_001271852.3
