,lfc_NFlag,REFSEQ_new,REFSEQ,ISO
1,-1.5282703741687,NP_000150,NP_000150.1,NM_000159.4
2,-1.52108536441089,NP_000156,NP_000156.1,NM_000165.5
3,2.86557869710501,NP_000367,NP_000367.1,NM_000376.3
4,2.14101057649194,NP_001005493,NP_001005493.1,NM_001005493.2
5,1.75584307193686,NP_001010891,NP_001010891.4,NM_001010891.5
6,4.06556135000559,NP_001014305,NP_001014305.1,NM_001014283.2
7,4.79352617751603,NP_001017535,NP_001017535.1,NM_001017535.2
8,2.16134404061454,NP_001017536,NP_001017536.1,NM_001017536.2
9,1.78549496029432,NP_001026916,NP_001026916.2,NM_001031746.5
10,1.9659909879442,NP_001070664,NP_001070664.1,NM_001077196.2
11,2.5321640065615,NP_001070665,NP_001070665.1,NM_001077197.2
12,2.19414961496457,NP_001070826,NP_001070826.1,NM_001077358.2
13,1.93190524289324,NP_001073583,NP_001073583.1,NM_001080114.2
14,1.8636023145226,NP_001107605,NP_001107605.1,NM_001114133.3
15,2.07154890416422,NP_001108624,NP_001108624.1,NM_001115152.2
16,2.22299346485033,NP_001122402,NP_001122402.1,NM_001128930.3
17,1.9891517915429,NP_001127872,NP_001127872.1,NM_001134400.2
18,2.00517985564505,NP_001127875,NP_001127875.1,NM_001134403.2
19,2.57139836828632,NP_001136120,NP_001136120.1,NM_001142648.2
20,2.31836884642534,NP_001139423,NP_001139423.1,NM_001145951.2
21,1.55653039058636,NP_001164164,NP_001164164.1,NM_001170693.2
22,1.54426116565739,NP_001166284,NP_001166284.1,NM_001172813.2
23,1.86091855859324,NP_001171600,NP_001171600.1,NM_001178129.2
24,2.97156930420891,NP_001180233,NP_001180233.1,NM_001193304.3
25,2.52307554097101,NP_001182728,NP_001182728.1,NM_001195799.2
26,2.04853096310576,NP_001182732,NP_001182732.1,NM_001195803.2
27,2.38333657925177,NP_001186608,NP_001186608.1,NM_001199679.2
28,1.85847062159046,NP_001189332,NP_001189332.1,NM_001202403.2
29,1.89241453295329,NP_001193900,NP_001193900.1,NM_001206971.3
30,2.40732448182915,NP_001238935,NP_001238935.1,NM_001252006.1
31,2.06640987694165,NP_001244954,NP_001244954.1,NM_001258025.2
32,2.61816896631744,NP_001255213,NP_001255213.1,NM_001268284.3
33,3.26335023611057,NP_001257322,NP_001257322.1,NM_001270393.2
