,lfc_NFlag,REFSEQ_new,REFSEQ,ISO,SYMBOL
1,-1.121093786,NP_000091,NP_000091.1,NM_000100.4,CSTB
2,-1.267989387,NP_000095,NP_000095.2,NM_000104.4,CYP1B1
3,-1.141974027,NP_000134,NP_000134.2,NM_000143.4,FH
4,-1.528270374,NP_000150,NP_000150.1,NM_000159.4,GCDH
5,-1.521085364,NP_000156,NP_000156.1,NM_000165.5,GJA1
6,-0.689536727,NP_000161,NP_000161.2,NM_000170.3,GLDC
7,-0.79983769,NP_000185,NP_000185.1,NM_000194.3,HPRT1
8,-0.712194907,NP_000285,NP_000285.1,NM_000294.3,PHKG2
9,-0.839020793,NP_000308,NP_000308.1,NM_000317.3,PTS
10,-1.257784346,NP_000364,NP_000364.1,NM_000373.4,UMPS
11,2.865578697,NP_000367,NP_000367.1,NM_000376.3,VDR
12,-0.841955477,NP_000377,NP_000377.1,NM_000386.4,BLMH
13,-1.211527755,NP_000513,NP_000513.2,NM_000522.5,HOXA13
14,1.449764413,NP_000516,NP_000516.3,NM_000525.4,KCNJ11
15,1.029880114,NP_000545,NP_000545.1,NM_000554.6,CRX
16,-1.146856873,NP_000662,NP_000662.3,NM_000671.4,ADH5
17,-0.76713442,NP_000840,NP_000840.2,NM_000849.5,GSTM3
18,-0.670913863,NP_000843,NP_000843.1,NM_000852.4,GSTP1
19,-0.648512828,NP_000867,NP_000867.3,NM_000876.4,IGF2R
20,0.584231003,NP_000902,NP_000902.3,NM_000911.4,OPRD1
21,-0.570208002,NP_000928,NP_000928.1,NM_000937.5,POLR2A
22,-1.172690562,NP_000934,NP_000934.1,NM_000943.5,PPIC
23,-0.737714929,NP_000992,NP_000992.1,NM_001001.5,RPL36AL
24,-1.149978009,NP_001001790,NP_001001790.1,NM_001001790.3,TOMM5
25,-0.987442197,NP_001002926,NP_001002926.1,NM_001002926.2,POLR1F
26,-0.999800527,NP_001003684,NP_001003684.1,NM_001003684.2,UQCR10
27,-0.684605595,NP_001004333,NP_001004333.3,NM_001004333.5,RNASEK
28,0.957531293,NP_001004456,NP_001004456.1,NM_001004456.2,OR1M1
