,REFSEQ,N_lfc,NLS_lfc,ISO
1,NP_000091.1,-1.12109378604954,-1.24920503259112,NM_000100.4
2,NP_000095.2,-1.26798938738592,-1.1560152000666,NM_000104.4
3,NP_000134.2,-1.14197402723565,-1.24411478484915,NM_000143.4
4,NP_000150.1,-1.5282703741687,-1.759494454879,NM_000159.4
5,NP_000156.1,-1.52108536441089,-1.69718874864258,NM_000165.5
6,NP_000161.2,-0.689536727298616,-0.671917814310555,NM_000170.3
7,NP_000185.1,-0.79983768981739,-1.16117731218807,NM_000194.3
8,NP_000285.1,-0.712194906890741,-0.794077928867295,NM_000294.3
9,NP_000308.1,-0.839020793219236,-1.02494333150025,NM_000317.3
10,NP_000364.1,-1.25778434622522,-1.07394969274709,NM_000373.4
11,NP_000367.1,2.86557869710501,2.91664870620287,NM_000376.3
12,NP_000377.1,-0.841955476521985,-0.8302024075144,NM_000386.4
13,NP_000513.2,-1.21152775472614,-1.3640601085397,NM_000522.5
14,NP_000516.3,1.44976441333324,1.25332688208762,NM_000525.4
15,NP_000545.1,1.0298801135643,0.840086861617317,NM_000554.6
16,NP_000662.3,-1.14685687259777,-1.14247077570547,NM_000671.4
17,NP_000840.2,-0.767134419830483,-1.01347729410249,NM_000849.5
18,NP_000843.1,-0.670913863473667,-0.745030418971251,NM_000852.4
19,NP_000867.3,-0.648512828401434,-0.8453888648328,NM_000876.4
20,NP_000902.3,0.584231002972641,0.672068587817767,NM_000911.4
21,NP_000928.1,-0.570208002420811,-0.589081033819421,NM_000937.5
22,NP_000934.1,-1.17269056185691,-1.71498952991405,NM_000943.5
23,NP_000992.1,-0.737714929261166,-0.864914285992294,NM_001001.5
24,NP_001001790.1,-1.14997800948369,-1.01047259968902,NM_001001790.3
25,NP_001002926.1,-0.987442197476898,-0.902911290732441,NM_001002926.2
26,NP_001003684.1,-0.99980052718731,-1.26472216806032,NM_001003684.2
27,NP_001004333.3,-0.684605594517485,-0.74556713869672,NM_001004333.5
28,NP_001004456.1,0.957531293247973,1.0801324737956,NM_001004456.2
29,NP_001004466.1,0.619027084210531,0.492251694369357,NM_001004466.2
30,NP_001004490.1,1.93450017909319,1.43420468762213,NM_001004490.2
31,NP_001004492.1,1.02250858317247,1.03310139825002,NM_001004492.2
32,NP_001004689.1,-0.964749197543111,-0.952307939645472,NM_001004689.2
33,NP_001005465.1,1.10146730743677,1.17776546292039,NM_001005465.2
34,NP_001005493.1,2.14101057649194,2.38552199762975,NM_001005493.2
35,NP_001007539.1,-1.09070089746271,-1.20947663543962,NM_001007538.2
36,NP_001010858.2,-0.703497235846475,-0.985322848668165,NM_001010858.3
37,NP_001010866.1,-1.1153049209096,-1.15866881782076,NM_001010866.4
38,NP_001010891.4,1.75584307193686,1.54473703938053,NM_001010891.5
39,NP_001013685.1,-1.0771633335603,-1.13336030760683,NM_001013663.2
40,NP_001014305.1,4.06556135000559,4.06622050503976,NM_001014283.2
41,NP_001017.1,-1.28013500172082,-1.16588379586123,NM_001026.5
42,NP_001017535.1,4.79352617751603,4.17707983032426,NM_001017535.2
43,NP_001017536.1,2.16134404061454,2.36419976879959,NM_001017536.2
44,NP_001019.1,-0.645774978955228,-0.869720731867831,NM_001028.3
45,NP_001020.2,-0.828953413883019,-0.903914236786333,NM_001029.5
46,NP_001020262.1,-1.21111533282961,-1.2201967904809,NM_001025091.2
47,NP_001020418.1,-0.797889327231858,-0.881364854572309,NM_001025247.2
48,NP_001025189.1,-0.987151227316518,-0.949650247803303,NM_001030018.2
49,NP_001025231.1,0.942153750283889,0.868555514439429,NM_001030060.3
50,NP_001026916.2,1.78549496029432,1.809291618893,NM_001031746.5
51,NP_001026974.1,-1.25806687774211,-1.62560431693215,NM_001031804.3
52,NP_001034933.1,1.21023638350805,1.06786237073106,NM_001039844.3
53,NP_001035521.1,-0.998049876945233,-1.17012018952248,NM_001040431.3
54,NP_001035830.1,-0.673149084437178,-0.762331901841897,NM_001042371.3
55,NP_001036068.1,-0.663000043358817,-0.84614962846691,NM_001042603.3
56,NP_001041714.1,-1.15964159217546,-0.955470701877368,NM_001048249.4
57,NP_001061.2,-0.594837708389818,-0.757213449547974,NM_001070.5
58,NP_001065243.1,-0.681298098579851,-0.91271670096627,NM_001071775.3
59,NP_001070664.1,1.9659909879442,2.24508272401764,NM_001077196.2
60,NP_001070665.1,2.5321640065615,2.50771822461239,NM_001077197.2
61,NP_001070826.1,2.19414961496457,2.15809671502064,NM_001077358.2
62,NP_001070867.1,-0.896717647772121,-0.974187808308904,NM_001077399.3
63,NP_001071639.1,-0.885853114889176,-1.25490244096624,NM_001078171.2
64,NP_001071641.1,-0.950141506483544,-1.0200111806989,NM_001078173.2
65,NP_001073583.1,1.93190524289324,1.72680008721999,NM_001080114.2
66,NP_001073970.1,-0.783732030121158,-0.830892753818374,NM_001080501.3
67,NP_001078869.1,1.33125612634838,1.43136991988868,NM_001085400.2
68,NP_001087194.1,-0.716440506432609,-0.946601011565028,NM_001093725.2
69,NP_001092.1,-0.870766624924432,-1.00035470400789,NM_001101.5
70,NP_001092314.1,1.31549426692711,1.39643276414388,NM_001098844.3
71,NP_001093163.1,-0.863165856320986,-1.23176615930373,NM_001099693.2
72,NP_001094299.1,-0.668428961259188,-0.905337311074758,NM_001100829.3
73,NP_001096624.1,0.979014939535457,1.09842559196873,NM_001103154.2
74,NP_001099043.1,-0.54549964306113,-0.61550485729733,NM_001105573.2
75,NP_001107605.1,1.8636023145226,2.08154032922849,NM_001114133.3
76,NP_001107875.1,-0.790829741340103,-0.825122915821367,NM_001114403.3
77,NP_001108624.1,2.07154890416422,2.52885451804255,NM_001115152.2
78,NP_001118239.1,-0.77792673242953,-0.863057237458117,NM_001124767.2
79,NP_001122402.1,2.22299346485033,1.94570934570043,NM_001128930.3
80,NP_001123544.1,0.806503804362915,1.00538849288766,NM_001130072.2
81,NP_001124401.1,-0.808046091562797,-0.844803825591661,NM_001130929.2
82,NP_001127704.1,1.60016134131081,1.22805130684786,NM_001134232.2
83,NP_001127872.1,1.9891517915429,2.17302066348471,NM_001134400.2
84,NP_001127875.1,2.00517985564505,2.44004388712827,NM_001134403.2
85,NP_001128131.1,1.05379040098531,1.1655846420042,NM_001134659.1
86,NP_001129047.1,-0.678211846973886,-0.93897788835262,NM_001135575.2
87,NP_001129734.1,-0.870265740380089,-1.16436076744653,NM_001136262.2
88,NP_001135858.1,-0.659478708669218,-0.814361510615855,NM_001142386.3
89,NP_001136120.1,2.57139836828632,2.45654250831911,NM_001142648.2
90,NP_001138722.1,-1.19491744112425,-1.48747500904155,NM_001145250.2
91,NP_001138922.2,-0.983406476618225,-0.854989968989243,NM_001145450.3
92,NP_001139423.1,2.31836884642534,2.45925987955473,NM_001145951.2
93,NP_001142.2,-0.771746194548277,-0.984274725901248,NM_001151.4
94,NP_001143.2,-0.813278115774601,-1.0532327623939,NM_001152.5
95,NP_001145.1,-0.623611594238049,-0.607079453118771,NM_001154.4
96,NP_001153480.1,1.56545808115471,1.35047646154224,NM_001160008.2
97,NP_001156896.1,-0.910711307839265,-0.867669934095173,NM_001163424.2
98,NP_001156910.1,-1.12430921091662,-1.14471045165906,NM_001163438.2
99,NP_001157918.1,1.4883451974345,1.53441190102091,NM_001164446.3
100,NP_001158275.1,-0.681863360200479,-0.916037679685899,NM_001164803.2
101,NP_001159354.1,1.62755904028335,1.431466769032,NM_001165882.3
102,NP_001164164.1,1.55653039058636,1.5533304421517,NM_001170693.2
