	flag1_S33.fastq.trim.sam.counts	flag2_S34.fastq.trim.sam.counts	flag3_S35.fastq.trim.sam.counts	N1_S36.fastq.trim.sam.counts	N2_S37.fastq.trim.sam.counts	N3_S38.fastq.trim.sam.counts	NLS1_S39.fastq.trim.sam.counts	NLS2_S40.fastq.trim.sam.counts	NLS3_S41.fastq.trim.sam.counts	
NP_000011.2	2	2	0	3	2	4	5	3	5	
NP_000015.2	6	4	14	4	1	2	3	4	2	
NP_000016.1	0	0	0	0	0	0	1	0	0	
NP_000021.1	15	5	18	10	9	6	15	13	13	
NP_000037.2	4	3	4	1	1	2	3	2	2	
NP_000040.1	4	7	7	10	10	14	13	20	13	
NP_000042.3	2	0	1	4	1	4	3	6	2	
NP_000043.4	10	5	4	7	4	4	5	10	5	
NP_000046.1	9	3	6	4	7	3	5	8	4	
NP_000047.1	0	0	1	0	0	1	0	0	3	
NP_000048.1	1	2	3	3	1	7	1	8	8	
NP_000050.3	3	4	6	6	1	4	6	6	6	
NP_000055.2	1	0	2	3	1	1	3	4	4	
NP_000062.1	0	0	0	0	0	0	0	0	1	
NP_000064.1	6	9	11	12	8	11	13	18	22	
NP_000065.1	1	0	2	2	1	1	0	1	0	
NP_000066.1	19	7	9	12	11	22	12	22	12	
NP_000073.1	16	8	21	16	15	23	21	29	25	
NP_000075.1	4	1	3	0	2	0	0	1	1	
NP_000077.1	0	1	0	0	0	0	0	0	0	
NP_000080.2	0	0	0	0	0	0	1	0	0	
NP_000081.2	10	5	7	1	1	1	4	3	1	
NP_000086.2	2	0	1	0	0	0	2	1	1	
NP_000089.1	6	4	7	5	6	7	9	4	11	
NP_000090.1	321	237	407	266	220	178	308	408	159	
NP_000091.1	258	178	298	122	103	77	109	164	119	
NP_000095.2	33	35	38	13	18	9	22	25	14	
NP_000103.2	4	8	12	28	14	21	15	34	18	
NP_000104.1	111	81	102	55	74	50	74	83	58	
NP_000106.1	0	0	1	0	0	0	0	0	0	
NP_000112.1	27	25	25	16	20	19	20	30	22	
NP_000114.3	0	0	0	0	0	0	1	1	0	
NP_000117.1	0	0	0	0	0	0	0	1	1	
NP_000118.2	85	66	78	50	46	59	51	86	64	
NP_000120.2	0	0	1	0	0	0	0	0	1	
NP_000121.2	4	4	7	5	1	2	0	7	2	
NP_000125.2	12	5	7	7	3	6	5	7	3	
NP_000126.2	3	2	3	0	2	1	7	2	2	
NP_000127.2	0	2	0	0	1	0	1	0	0	
NP_000130.1	0	1	1	6	10	13	14	12	6	
NP_000134.2	91	80	125	50	33	39	47	61	50	
NP_000135.2	18	25	28	24	24	27	22	45	31	
NP_000136.2	0	0	0	0	0	0	1	0	0	
NP_000137.2	1195	933	1480	1180	996	898	1137	1580	857	
NP_000138.2	80	43	73	60	41	38	43	70	43	
NP_000139.1	4	3	6	10	11	8	8	15	13	
NP_000140.1	1	0	0	1	2	1	1	0	1	
NP_000141.1	0	1	2	0	1	3	1	4	5	
NP_000142.2	14	11	15	5	8	7	9	18	9	
NP_000145.1	21	32	48	21	15	19	18	15	20	
NP_000146.2	0	1	0	0	0	0	0	0	0	
NP_000147.1	122	79	129	81	52	39	113	120	61	
NP_000149.4	29	28	55	44	50	38	42	71	42	
NP_000150.1	33	32	36	10	13	9	12	21	6	
NP_000154.1	1	0	0	0	2	0	1	2	0	
NP_000155.1	2	2	2	1	1	1	3	7	4	
NP_000156.1	49	62	69	21	16	21	26	28	17	
NP_000159.3	0	0	0	0	0	0	1	0	0	
