	flag1_S33.fastq.trim.sam.counts	flag2_S34.fastq.trim.sam.counts	flag3_S35.fastq.trim.sam.counts	N1_S36.fastq.trim.sam.counts	N2_S37.fastq.trim.sam.counts	N3_S38.fastq.trim.sam.counts	NLS1_S39.fastq.trim.sam.counts	NLS2_S40.fastq.trim.sam.counts	NLS3_S41.fastq.trim.sam.counts	
NM_000020.3	1	1	0	1	1	1	1	1	2	
NM_000024.6	6	4	14	4	1	2	3	4	2	
NM_000026.4	1	1	2	3	2	0	4	2	2	
NM_000030.3	11	2	11	9	8	3	10	10	10	
NM_000046.5	1	1	2	0	1	1	1	0	1	
NM_000049.4	3	5	5	6	6	9	7	13	6	
NM_000051.4	1	0	0	3	1	2	3	5	2	
NM_000052.7	2	3	2	1	2	2	2	4	2	
NM_000057.4	0	2	1	2	1	5	1	5	3	
NM_000059.4	2	0	4	4	1	1	1	3	0	
NM_000064.4	1	0	2	3	1	1	3	4	4	
NM_000067.3	1	1	1	0	1	1	0	1	1	
NM_000071.3	0	0	0	0	0	0	0	0	1	
NM_000073.3	4	5	5	8	4	9	7	13	17	
NM_000074.3	1	0	1	2	0	1	0	1	0	
NM_000075.4	13	4	8	11	7	12	10	20	10	
NM_000082.4	6	5	12	7	6	11	8	17	18	
NM_000084.5	2	0	2	0	1	0	0	0	1	
NM_000086.2	0	1	0	0	0	0	0	0	0	
NM_000089.4	0	0	0	0	0	0	1	0	0	
NM_000090.4	10	5	7	1	1	1	4	3	1	
NM_000095.3	2	0	1	0	0	0	2	1	1	
NM_000097.7	78	50	93	47	32	31	44	59	40	
NM_000098.3	1	4	3	4	3	6	4	3	10	
NM_000099.4	321	236	406	266	220	178	308	408	159	
NM_000100.4	258	178	298	122	103	77	109	164	119	
NM_000102.4	0	0	0	0	0	0	0	0	1	
NM_000104.4	33	35	38	13	18	9	22	25	14	
NM_000112.4	3	4	5	15	10	14	8	24	11	
NM_000113.3	111	81	102	55	74	50	74	83	58	
NM_000117.3	418	333	579	369	284	265	415	540	353	
NM_000123.4	0	0	0	0	0	0	1	1	0	
NM_000127.3	80	63	76	47	43	51	46	76	55	
NM_000129.4	0	0	1	0	0	0	0	0	1	
NM_000130.5	2	3	6	3	1	1	0	4	1	
NM_000132.4	1	0	1	1	1	0	1	0	2	
NM_000134.4	8	2	3	3	1	5	3	2	3	
NM_000135.4	3	2	3	0	2	1	7	2	2	
NM_000136.3	0	2	0	0	1	0	0	0	0	
NM_000139.5	0	0	0	5	4	3	1	5	2	
NM_000140.5	2	0	2	1	1	1	0	2	0	
NM_000143.4	89	77	122	50	30	37	43	58	49	
NM_000144.5	13	18	23	11	12	13	9	22	19	
NM_000146.4	1195	933	1480	1180	996	898	1137	1580	857	
NM_000148.4	0	2	3	4	5	3	3	4	4	
NM_000149.4	1	0	0	0	0	0	1	0	0	
NM_000150.4	0	1	2	0	0	1	1	3	2	
NM_000151.4	7	8	8	5	3	6	5	10	5	
NM_000154.2	21	32	48	21	15	19	18	15	20	
NM_000155.4	0	1	0	0	0	0	0	0	0	
NM_000156.6	122	79	129	81	52	39	113	120	61	
NM_000158.4	22	14	37	29	40	25	17	42	35	
NM_000163.5	1	0	0	0	0	0	1	0	0	
NM_000164.4	0	2	1	1	1	1	3	5	3	
NM_000165.5	49	62	69	21	16	21	26	28	17	
NM_000167.6	1	0	1	1	1	0	1	1	1	
NM_000168.6	0	0	0	0	0	0	1	0	0	
NM_000170.3	93	71	145	63	54	55	71	112	63	
NM_000172.4	0	0	0	0	0	0	1	0	0	
NM_000173.7	2	0	3	3	0	2	0	0	0	
NM_000175.5	3	1	3	2	0	1	4	5	2	
NM_000178.4	0	0	0	1	0	0	0	0	0	
NM_000180.4	3	0	1	2	1	1	2	3	0	
NM_000182.5	358	311	494	285	231	193	280	444	169	
NM_000186.4	1	0	0	0	0	0	1	1	0	
NM_000191.3	0	0	0	0	0	0	0	1	0	
NM_000194.3	272	200	354	179	137	107	151	205	112	
NM_000201.3	2	3	1	0	1	0	0	1	1	
NM_000202.8	21	32	27	30	17	43	31	58	40	
NM_000209.4	10	8	14	8	6	2	9	9	4	
NM_000212.3	16	9	20	7	14	15	14	15	11	
NM_000214.3	8	6	7	9	7	5	7	15	8	
NM_000215.4	4	2	5	5	5	3	7	5	7	
NM_000216.4	0	0	1	0	0	0	0	0	0	
NM_000226.4	0	0	1	1	0	0	0	0	0	
NM_000229.2	9	11	8	6	8	14	9	15	14	
NM_000230.3	0	1	0	0	1	2	0	1	1	
NM_000232.5	1	0	2	2	2	2	4	4	1	
NM_000236.3	3	6	4	1	7	0	5	7	5	
NM_000237.3	4	2	4	2	2	3	0	1	2	
NM_000239.3	0	2	1	4	2	3	4	3	4	
NM_000243.3	4	4	10	5	2	7	3	11	3	
NM_000245.4	0	2	2	0	0	0	0	0	0	
NM_000246.4	1	2	4	3	5	4	6	11	5	
NM_000254.3	0	2	0	1	2	1	0	0	4	
NM_000259.3	1	0	3	0	1	3	2	0	0	
NM_000263.4	0	0	0	0	1	0	0	0	0	
NM_000268.4	0	1	3	2	1	2	2	3	2	
NM_000269.3	2	1	0	0	1	1	0	1	0	
NM_000270.4	169	115	195	106	106	92	123	164	89	
NM_000283.4	0	1	1	0	0	0	0	2	0	
NM_000286.3	11	11	21	9	9	14	9	15	7	
NM_000290.4	0	0	0	0	0	0	0	0	2	
NM_000291.4	633	464	708	785	490	442	576	808	419	
NM_000293.3	1	3	4	1	1	1	2	2	1	
NM_000294.3	211	177	255	111	121	87	141	187	117	
NM_000297.4	0	0	0	2	1	0	0	1	0	
NM_000303.3	8	9	13	3	7	3	6	14	7	
NM_000307.5	0	0	0	0	0	0	1	0	0	
NM_000308.4	1	0	0	0	0	0	0	2	0	
NM_000317.3	146	122	170	84	87	48	78	135	66	
NM_000318.3	0	1	3	1	2	4	2	1	2	
NM_000322.5	0	1	1	0	0	0	0	0	0	
NM_000327.4	7	9	8	4	6	6	10	12	6	
NM_000334.4	0	1	1	2	3	2	1	2	0	
NM_000339.3	0	2	0	0	1	0	1	1	0	
NM_000342.4	0	2	1	1	1	0	1	1	4	
NM_000346.4	35	13	23	17	13	11	11	25	9	
NM_000349.3	25	14	36	22	22	27	37	45	37	
NM_000353.3	11	8	9	13	4	11	12	9	7	
NM_000356.4	0	0	1	0	0	0	0	0	0	
NM_000358.3	1	0	1	0	0	0	0	1	1	
NM_000359.3	2	2	1	1	1	0	0	0	0	
NM_000361.3	1	1	2	3	1	1	3	4	1	
NM_000362.5	61	44	57	53	37	22	36	71	23	
NM_000363.5	48	27	61	49	42	26	52	85	34	
NM_000367.5	3	1	9	2	1	5	9	6	5	
NM_000370.3	0	2	0	0	0	0	0	0	0	
NM_000373.4	1	4	6	4	1	4	2	6	4	
NM_000376.3	1	0	0	2	1	1	0	2	0	
NM_000379.4	0	1	1	0	0	0	1	0	2	
NM_000382.3	0	0	1	1	0	0	1	1	0	
NM_000383.4	0	2	1	1	0	1	1	3	0	
NM_000386.4	205	162	264	123	103	91	133	186	131	
NM_000387.6	46	39	57	39	26	40	27	59	37	
NM_000388.4	1	1	2	1	0	0	0	1	0	
NM_000390.4	0	2	1	0	1	1	1	3	1	
NM_000391.4	140	110	172	108	70	80	87	130	76	
NM_000396.4	9	3	8	4	1	3	6	3	4	
NM_000398.7	0	0	0	0	1	0	1	0	0	
NM_000400.4	0	1	0	1	1	0	0	0	0	
NM_000402.4	1	0	0	0	0	0	0	0	0	
