baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NP_000011.2	2.77593963858294	-0.119557401847161	0.99353869720128	-0.120334922216865	0.904217841170076	1
NP_000015.2	4.22105661014783	0.118168372351163	0.973105035328837	0.121434344763442	0.903347014972229	1
NP_000016.1	0.102725486536276	-0.496178786520934	4.08052381408439	-0.121596836368977	0.90321831910929	1
NP_000021.1	10.9699917582363	-0.245940852916596	0.562850900750428	-0.436955599766638	0.662143548428862	1
NP_000037.2	2.35835191140213	-0.377074779459925	1.19866502382926	-0.314578945713558	0.753081367021123	1
NP_000040.1	10.2150365859324	0.0415180977255971	0.519920733106646	0.0798546683789987	0.936352844028085	1
NP_000042.3	2.32921335710823	0.198334216190492	1.06661517243625	0.185947304441093	0.852486085464228	1
NP_000043.4	5.7506401322851	0.0951479365094462	0.740085053709018	0.128563515818353	0.897703036822704	1
NP_000046.1	5.2563144102547	0.240762488742972	0.77543139708121	0.310488445076151	0.756189545109007	1
NP_000047.1	0.48993354403068	-1.08585306843762	2.60424513323161	-0.416955014941387	0.676711312033888	1
NP_000048.1	3.38035144997307	-0.166839702262646	0.948432475772829	-0.17591099685478	0.860363865834791	1
NP_000050.3	4.39765786616308	-0.266465004303205	0.826920904997964	-0.322237595751508	0.747272704910947	1
NP_000055.2	1.90988456602305	-0.657527118755469	1.1918259276641	-0.55169727683654	0.581155776007758	1
NP_000062.1	0.0946993681513554	-0.496178786520934	4.08052381408439	-0.121596836368977	0.90321831910929	1
NP_000064.1	11.4584790993928	-0.311626926744477	0.513254675331782	-0.607158476526362	0.543745745880108	1
NP_000065.1	0.878722389493439	2.36934266249177	1.93693561661271	1.22324285958211	0.221237981926963	1
NP_000066.1	13.2980257853735	0.442664014231823	0.501336553487475	0.882967761182573	0.377253690303567	1
NP_000073.1	18.0948789561648	-0.010847900889312	0.413929819268246	-0.0262071017461103	0.979092151454959	1
NP_000075.1	1.3174166164677	0.569320510279268	1.85077716689773	0.307611591747462	0.75837789871088	1
NP_000077.1	0.131321749163247	0	4.08052381408439	0	1	1
NP_000080.2	0.102725486536276	-0.496178786520934	4.08052381408439	-0.121596836368977	0.90321831910929	1
NP_000081.2	3.56402379937246	-0.95396395816849	1.19100822830177	-0.800971761151244	0.423147994054179	1
NP_000086.2	0.696116850759623	-2.43483586797803	2.09723769159893	-1.1609727775404	0.245652970193306	1
NP_000089.1	6.35121804503541	-0.00143864140131283	0.69464260313637	-0.00207105264609058	0.998347540250379	1
NP_000090.1	266.431785890625	0.11541655957812	0.258930123813026	0.445744040432553	0.655782148157967	1
NP_000091.1	153.858662551113	0.12811124654158	0.233972353356049	0.54754865138543	0.584001855721442	1
NP_000095.2	22.5195808795781	-0.111974187319315	0.433721081062906	-0.258170958729752	0.796274969929867	1
NP_000103.2	16.1072377464798	0.41856374569111	0.449904298255453	0.930339512901146	0.352195325672071	1
NP_000104.1	74.731386699996	0.225169205641588	0.272831614448439	0.825304670416564	0.409198640951596	1
NP_000106.1	0.0982197956374219	0	4.08052381408439	0	1	1
NP_000112.1	21.8983737318848	0.0975554155878552	0.391416343407463	0.249236949940796	0.80317749912323	1
NP_000114.3	0.175366293240795	-1.36911720956109	3.97957075147553	-0.344036403688377	0.730818909057815	1
NP_000117.1	0.167340174855875	-1.31260019762661	4.04615970474453	-0.32440642322829	0.745630357446445	1
NP_000118.2	62.4041838107784	0.107828654179182	0.2565019266269	0.420381459107036	0.674206810479097	1
NP_000120.2	0.192919163788777	-0.496179192473933	3.87484150571966	-0.128051480748702	0.898108232598631	1
NP_000121.2	3.34442391819864	0.408811887417878	1.04929065545286	0.389607860599349	0.696826538679793	1
NP_000125.2	5.94137381227887	0.570609268194857	0.749389876056949	0.76143178127415	0.446399210813288	1
NP_000126.2	2.33021963658306	-1.46475275319221	1.27639683551893	-1.14756846180734	0.251146755605718	1
NP_000127.2	0.502310730437154	0.465612086445994	2.69431944118467	0.172812502975248	0.862798808956671	1
NP_000130.1	6.63360001783506	0.305532933554359	0.649117917449534	0.47068941611539	0.637862543603442	1
NP_000134.2	62.0490675764762	0.102140757613502	0.276326393771728	0.36963807987839	0.711652173915424	1
NP_000135.2	25.7462326508532	0.111236081087573	0.36109645400065	0.30805088184935	0.758043615482073	1
NP_000136.2	0.102725486536276	-0.496178786520934	4.08052381408439	-0.121596836368977	0.90321831910929	1
NP_000137.2	1097.14447975918	0.287808603597923	0.193794661397239	1.48512142451631	0.137511661683403	1
NP_000138.2	52.6751972945344	0.336622735809544	0.302638384134249	1.11229359346638	0.266011937529745	1
NP_000139.1	8.20594620937726	0.189958446053629	0.577609293571185	0.328870134479958	0.742253849031128	1
NP_000140.1	0.817742767574284	1.42140807430388	1.86834205995299	0.760785781560597	0.446785028294806	1
NP_000141.1	1.65433557194118	-0.878509471652429	1.35562032543855	-0.648049793269534	0.516952745324914	1
NP_000142.2	10.0581083317619	-0.341120404041954	0.575161815871718	-0.593085970988792	0.553123618688045	1
NP_000145.1	22.863522137301	0.500621263568397	0.426974360276735	1.17248554045243	0.241002174063724	1
NP_000146.2	0.131321749163247	0	4.08052381408439	0	1	1
NP_000147.1	84.4232830441612	-0.281957302929645	0.307812642910689	-0.916002995404751	0.359665323833152	1
NP_000149.4	42.2846525771282	0.279311057049635	0.312578310105937	0.893571460396508	0.371551221919761	1
NP_000150.1	18.7902568029445	0.231224080710296	0.485663242309439	0.476099610937761	0.634003414172179	1
NP_000154.1	0.634443544690968	0.0571113825327726	2.21762944963468	0.0257533478111868	0.979454072547005	1
NP_000155.1	2.25047178965638	-1.71257683199219	1.21956461777064	-1.40425263822656	0.160243632224275	1
NP_000156.1	33.8514823297448	0.176103384231689	0.369254443815433	0.476916086403857	0.63342187657506	1
NP_000159.3	0.102725486536276	-0.496178786520934	4.08052381408439	-0.121596836368977	0.90321831910929	1
NP_000160.1	0.0946993681513554	-0.496178786520934	4.08052381408439	-0.121596836368977	0.90321831910929	1
NP_000161.2	76.6969409334305	-0.0176189129880613	0.263088072581925	-0.066969638019507	0.946605874269072	1
NP_000164.5	1.11379405458984	3.60957117410598	1.92863475283114	1.87156804511964	0.0612663877523785	1
NP_000166.2	4.07186259817624	-0.549678503452519	0.851638568919583	-0.645436366450453	0.518644442877527	1
NP_000169.1	0.126265824201807	1.42739858663391	4.08052381408439	0.349807684422054	0.726483031633782	1
NP_000171.1	1.35634108753138	0.202682241410908	1.49700682539085	0.13539166152966	0.892302216565294	1
NP_000173.2	295.064570452347	0.194309935378732	0.248481503312079	0.781989535594084	0.434220723456801	1
NP_000177.2	0.287919246837683	-1.36911431622797	3.08876200138086	-0.443256656102315	0.657580103052473	1
NP_000182.2	0.0726408067045192	-0.496178786520934	4.08052381408439	-0.121596836368977	0.90321831910929	1
NP_000185.1	185.535279518314	0.361339622370683	0.2448616522192	1.47568890063362	0.140027426971904	1
NP_000190.1	0.346226895582736	-1.88560553837189	2.85781877017023	-0.659805848451183	0.509378429733791	1
NP_000192.2	4.35721775942667	-0.0747165310619725	0.917756241466902	-0.081412174263777	0.935114167587857	1
NP_000193.1	37.5191393155917	-0.029751037449717	0.315866588124368	-0.094188618132675	0.924959325993115	1
NP_000200.1	7.55528313491048	0.0411111991780636	0.690631247898427	0.0595269896969821	0.952532368918888	1
NP_000203.2	19.5689171576515	0.305023485059947	0.415970608457301	0.733281339734986	0.463386853794898	1
NP_000205.1	7.57524100128201	0.00537684485856889	0.624634543831488	0.00860798511972696	0.993131906391443	1
NP_000206.2	9.00258995634178	0.154018220508056	0.563097096921742	0.273519826953506	0.784453653504365	1
NP_000207.2	0.0982197956374219	0	4.08052381408439	0	1	1
NP_000208.2	0.0982197956374219	0	4.08052381408439	0	1	1
NP_000221.1	2.58254190360451	0.91470037635757	1.16145207590995	0.787548961622838	0.430960578575274	1
NP_000223.1	3.0678026140101	-0.460450176255196	0.917488994674273	-0.501859072891293	0.615766656202758	1
NP_000225.1	1.30180338543743	1.09046631675822	1.6979308101729	0.642232480985002	0.52072224631403	1
NP_000228.1	2.21703610964092	1.69150476424844	1.30112207713957	1.30003540326292	0.193588835435807	1
NP_000230.1	14.4187763682916	0.357398878766133	0.454121555876722	0.787011482148524	0.431275144647562	1
NP_000234.1	9.51169664151842	-0.076164576666737	0.553378217859875	-0.137635660762533	0.890528370517814	1
NP_000236.2	0.989229495421936	-0.493652610974516	2.00112138602173	-0.246687989255818	0.805149702536665	1
NP_000237.2	7.13770065075736	-0.0893712889771946	0.622418816830236	-0.143587061574282	0.885826558144712	1
NP_000241.1	0.24949469917127	1.4274016208215	3.5212808464985	0.405364321406196	0.685209732802321	1
NP_000245.2	1.91981616297002	0.00502859597269716	1.30339163277854	0.00385808520342984	0.996921701018578	1
NP_000254.2	0.136941745574383	1.42739858663391	4.08052381408439	0.349807684422054	0.726483031633782	1
