gene,pval
NM_000030.3,0.0898536878657636
NM_000049.4,1.05467334437106
NM_000073.3,2.28028585834396
NM_000075.4,0.622565492518179
NM_000082.4,1.21219035951638
NM_000097.7,-6.60281119285163
NM_000099.4,-2.27715525112118
NM_000100.4,-15.8550061956355
NM_000104.4,-5.24133864392199
NM_000112.4,3.88001460573591
NM_000113.3,-5.28037798768937
NM_000117.3,-2.09826410709687
NM_000127.3,-4.45942389685689
NM_000143.4,-12.8396714519295
NM_000144.5,-1.09620801062927
NM_000146.4,-2.20167158797192
NM_000151.4,-0.877783370442774
NM_000154.2,-5.72050581272586
NM_000156.6,-1.92703183016652
NM_000158.4,0.127003679765248
NM_000165.5,-14.0156703451891
NM_000170.3,-4.2796559756969
NM_000182.5,-5.05666804285245
NM_000194.3,-11.8657059118447
NM_000202.8,1.06433497456326
NM_000209.4,-1.60405414074467
NM_000212.3,-1.00821348359849
NM_000214.3,0.248538357230822
NM_000229.2,0.161910959199569
NM_000270.4,-5.23517095298231
NM_000286.3,-2.00690020330255
NM_000291.4,-1.61962870273848
NM_000294.3,-8.63392400834214
NM_000303.3,-0.835491841272423
NM_000317.3,-7.70125801292884
NM_000327.4,-0.142142688942946
NM_000346.4,-3.27295249554958
NM_000349.3,1.31592776739908
NM_000353.3,-0.458927531273751
NM_000362.5,-2.59162351115111
NM_000363.5,0.0496373741578755
NM_000386.4,-8.68658085415079
NM_000387.6,-2.5873390848732
NM_000391.4,-8.02582724221081
NM_000434.4,-0.999535669554077
NM_000441.2,1.20835106138191
NM_000451.4,3.05463291774675
NM_000454.5,-14.2899363379923
NM_000474.4,-3.70517414691722
NM_000479.5,-1.97740959561449
NM_000485.3,-3.64020539235132
NM_000522.5,-14.137140173901
NM_000525.4,3.93736696313557
NM_000527.5,2.91018024177959
NM_000538.4,-6.86693348067607
NM_000551.4,-0.197174686039351
NM_000553.6,5.15111686875456
NM_000554.6,19.6412855713384
NM_000587.4,0.0928872739086919
NM_000599.4,-3.57581106745559
NM_000636.4,0.678192806827474
NM_000651.6,2.44643389627981
NM_000661.5,0.236154588532566
NM_000671.4,-10.9512371235041
NM_000683.4,-0.0973681766925253
NM_000690.4,-0.337578790629213
NM_000713.3,-1.2347710751481
NM_000728.4,0.378115034024586
NM_000747.3,-3.53083538831769
NM_000761.5,0.0470678585602077
NM_000767.5,-0.169012228439762
NM_000769.4,-0.935069537916122
NM_000785.4,-0.304135826112384
NM_000820.4,0.341487500649456
NM_000821.7,1.34423367559969
NM_000843.4,6.89143026920303
NM_000852.4,-5.97381023886191
NM_000864.5,0.613898161469014
NM_000876.4,-7.97291729114615
NM_000911.4,2.97225584419778
NM_000918.4,-2.51368561994546
NM_000921.5,2.7976674233236
NM_000923.6,-0.155393704762889
NM_000937.5,-5.60235975733274
NM_000942.5,-1.5929629871989
NM_000943.5,-15.42584478691
NM_000945.4,-4.80831408756316
NM_000946.3,-1.85310445666905
NM_000961.4,1.48949587659023
NM_000968.4,-3.54187757240673
NM_000969.5,-2.10127108955103
NM_000970.6,-3.32417298730791
NM_000971.4,-0.56880802703089
NM_000972.3,-7.31360185193776
NM_000973.5,-0.520275977760487
NM_000975.5,-1.82340391837454
NM_000976.4,-3.29220415733375
NM_000978.4,-6.10857705148883
NM_000980.4,-1.73832365204661
NM_000982.4,-2.7565032487057
NM_000983.4,-4.4316862705453
NM_000984.6,-12.2002639915588
NM_000986.4,-5.91070024198579
NM_000989.4,-4.67959270362798
NM_000990.5,-6.9879873230631
NM_000991.5,-0.584555440341447
NM_000992.3,-1.20922869380539
NM_000993.5,-5.40945914313189
NM_000994.4,-2.73614376745783
NM_000997.5,-4.59953045085489
NM_000998.5,-6.03470418072198
NM_000999.4,-3.53065578884412
NM_001000.4,-6.51328643127154
NM_001001.5,-7.33511324835447
NM_001001330.3,-2.56518693276786
NM_001001410.3,-5.6904121505407
NM_001001412.4,0.0193885764654403
NM_001001479.4,-1.5487398168889
NM_001001503.2,0.365786412724018
NM_001001563.5,3.81807074897888
NM_001001661.3,1.04772066739329
NM_001001665.4,1.02942914807325
NM_001001674.2,-0.865192787847735
NM_001001790.3,-6.32853483114012
NM_001001795.2,-4.37569088220775
NM_001001852.4,-3.16164281456671
NM_001001872.4,-1.59734615412999
NM_001001921.2,-2.32680237290915
NM_001001935.3,-0.688266071792737
NM_001001937.2,-0.124495223571114
NM_001001975.2,-1.4473744291301
NM_001002762.5,-3.02728751988696
NM_001002814.3,-0.00423573431791709
NM_001002926.2,-8.63934157990278
NM_001003.3,-3.50591158079502
NM_001003652.4,0.695448424792346
NM_001003684.2,-10.974507739671
NM_001003716.4,-0.48481551515875
