NM_001005484.2	NP_001005484.2
XM_047436352.1	XP_047292308.1
NM_001005221.2	NP_001005221.2
XM_011542538.1	XP_011540840.1
XM_024449992.2	XP_024305760.1
XM_017002410.2	XP_016857899.1
XM_017002408.2	XP_016857897.1
XM_047431162.1	XP_047287118.1
NM_001005277.1	NP_001005277.1
NM_001385640.1	NP_001372569.1
NM_001385641.1	NP_001372570.1
NM_152486.4	NP_689699.3
NM_015658.4	NP_056473.3
NM_198317.3	NP_938073.1
XM_006710600.4	XP_006710663.2
XM_006710601.4	XP_006710664.2
XM_047419226.1	XP_047275182.1
XM_047419224.1	XP_047275180.1
XM_047419225.1	XP_047275181.1
NM_001410697.1	NP_001397626.1
XM_017002475.2	XP_016857964.2
XM_017002474.2	XP_016857963.2
NM_001367552.1	NP_001354481.1
XM_047431794.1	XP_047287750.1
NM_001160184.2	NP_001153656.1
NM_032129.3	NP_115505.2
XM_017002478.3	XP_016857967.2
XM_047431795.1	XP_047287751.1
XM_017002479.2	XP_016857968.2
NM_001291366.2	NP_001278295.1
NM_001291367.2	NP_001278296.2
NM_001394713.1	NP_001381642.1
NM_001369897.1	NP_001356826.1
NM_001369898.1	NP_001356827.1
NM_001410700.1	NP_001397629.1
XM_047426320.1	XP_047282276.1
NM_021170.4	NP_066993.1
XM_047426314.1	XP_047282270.1
NM_001142467.2	NP_001135939.1
NM_005101.4	NP_005092.1
NM_001305275.2	NP_001292204.1
XM_005244749.4	XP_005244806.1
XM_011541429.3	XP_011539731.1
NM_198576.4	NP_940978.2
XM_047419836.1	XP_047275792.1
NM_001364727.2	NP_001351656.1
XM_047419838.1	XP_047275794.1
XM_047419837.1	XP_047275793.1
NM_001205252.2	NP_001192181.1
NM_017891.5	NP_060361.4
NM_001363525.2	NP_001350454.1
NM_001330306.2	NP_001317235.1
XM_047416841.1	XP_047272797.1
XM_017000906.2	XP_016856395.2
XM_047416842.1	XP_047272798.1
XM_047416843.1	XP_047272799.1
NM_001371649.1	NP_001358578.1
NM_001130045.2	NP_001123517.1
XM_047416870.1	XP_047272826.1
XM_017000909.2	XP_016856398.2
XM_017000910.3	XP_016856399.2
XM_017000908.2	XP_016856397.2
XM_017000907.2	XP_016856396.2
XM_047416882.1	XP_047272838.1
XM_017000912.2	XP_016856401.1
XM_005244738.2	XP_005244795.1
NM_153254.3	NP_694986.2
NM_148901.2	NP_683699.1
NM_148902.2	NP_683700.1
NM_004195.3	NP_004186.1
XM_017002722.3	XP_016858211.1
NM_003327.4	NP_003318.1
NM_001410709.1	NP_001397638.1
XM_011542076.3	XP_011540378.1
XM_011542074.3	XP_011540376.1
XM_011542077.3	XP_011540379.1
NM_016176.6	NP_057260.3
NM_016547.3	NP_057631.2
XM_047422111.1	XP_047278067.1
XM_047422112.1	XP_047278068.1
XM_011541556.2	XP_011539858.1
NM_080605.4	NP_542172.2
XM_047419982.1	XP_047275938.1
XM_011541437.2	XP_011539739.1
XM_011541436.3	XP_011539738.1
NM_001014980.3	NP_001014980.1
XM_011541435.3	XP_011539737.1
XM_024446907.2	XP_024302675.1
NM_194457.2	NP_919439.1
XM_047444339.1	XP_047300295.1
NM_058167.3	NP_477515.2
NM_194315.2	NP_919296.1
NM_194458.2	NP_919440.1
XM_005244719.5	XP_005244776.1
XM_005244718.4	XP_005244775.1
XM_011540614.3	XP_011538916.1
XM_006710333.4	XP_006710396.1
XM_047444356.1	XP_047300312.1
XM_011540613.4	XP_011538915.1
XM_047444358.1	XP_047300314.1
XM_047444326.1	XP_047300282.1
XM_017000239.3	XP_016855728.1
NM_001130413.4	NP_001123885.2
XM_005244715.3	XP_005244772.1
NM_030649.3	NP_085152.2
XM_011540608.3	XP_011538910.1
XM_011540609.3	XP_011538911.1
XM_011540606.3	XP_011538908.1
XM_024452993.2	XP_024308761.1
XM_011540607.2	XP_011538909.1
XM_005244717.4	XP_005244774.1
NM_001346116.2	NP_001333045.1
NM_153339.3	NP_699170.1
XM_024453057.2	XP_024308825.1
XM_047444722.1	XP_047300678.1
XM_047444716.1	XP_047300672.1
XM_005244720.5	XP_005244777.1
NM_001256463.2	NP_001243392.1
NM_017871.6	NP_060341.2
NM_001256460.2	NP_001243389.1
XM_011541647.2	XP_011539949.1
XM_011541648.2	XP_011539950.1
NM_001256462.2	NP_001243391.1
NM_001256456.2	NP_001243385.1
XM_011541650.3	XP_011539952.1
XM_011542200.3	XP_011540502.1
XM_005244801.5	XP_005244858.1
NM_001029885.2	NP_001025056.1
XM_017002435.2	XP_016857924.1
NM_152228.3	NP_689414.2
XM_017002436.2	XP_016857925.1
XM_047431571.1	XP_047287527.1
NM_004421.3	NP_004412.2
XM_005244733.5	XP_005244790.1
NM_001330311.2	NP_001317240.1
XM_005244732.5	XP_005244789.1
XM_047448090.1	XP_047304046.1
NM_001282585.1	NP_001269514.1
NM_001282582.2	NP_001269511.1
NM_001282583.2	NP_001269512.1
XM_017001517.2	XP_016857006.1
NM_001282584.2	NP_001269513.1
XM_017001516.3	XP_016857005.1
NM_032348.4	NP_115724.1
NM_017900.3	NP_060370.1
NM_001127230.2	NP_001120702.1
NM_001127229.2	NP_001120701.1
NM_030937.6	NP_112199.2
NM_001320155.3	NP_001307084.1
NM_001350500.2	NP_001337429.1
NM_001320153.3	NP_001307082.1
NM_001350498.2	NP_001337427.1
NM_001350499.2	NP_001337428.1
NM_001350497.2	NP_001337426.1
XM_011542216.4	XP_011540518.1
XM_047431297.1	XP_047287253.1
XM_047431301.1	XP_047287257.1
NM_001039577.5	NP_001034666.1
NM_017971.4	NP_060441.2
NM_001318485.2	NP_001305414.1
NM_001243536.2	NP_001230465.1
NM_001243535.2	NP_001230464.1
NM_001145210.3	NP_001138682.1
XM_005244752.5	XP_005244809.1
XM_006710647.4	XP_006710710.1
NM_001375660.1	NP_001362589.1
NM_001375659.1	NP_001362588.1
NM_001146685.2	NP_001140157.1
XM_017003066.2	XP_016858555.1
NM_022834.5	NP_073745.2
NM_199121.3	NP_954572.2
NM_001039211.3	NP_001034300.2
XM_005244806.4	XP_005244863.1
XM_011542244.2	XP_011540546.1
NM_031921.6	NP_114127.3
XM_047431596.1	XP_047287552.1
XM_047431583.1	XP_047287539.1
XM_047431588.1	XP_047287544.1
XM_011542241.4	XP_011540543.1
XM_047431599.1	XP_047287555.1
NM_001317238.2	NP_001304167.1
XM_047431593.1	XP_047287549.1
XM_047424288.1	XP_047280244.1
NM_018188.5	NP_060658.3
NM_001170535.3	NP_001164006.1
XM_047424289.1	XP_047280245.1
XM_047424290.1	XP_047280246.1
NM_001170536.3	NP_001164007.1
NM_001114748.2	NP_001108220.1
NM_014188.3	NP_054907.1
NM_001242659.2	NP_001229588.1
XM_047446594.1	XP_047302550.1
XM_047446668.1	XP_047302624.1
XM_047446726.1	XP_047302682.1
XM_047446727.1	XP_047302683.1
XM_047446677.1	XP_047302633.1
XM_047446729.1	XP_047302685.1
XM_047446731.1	XP_047302687.1
XM_047446737.1	XP_047302693.1
NM_080875.5	NP_543151.4
XM_047446744.1	XP_047302700.1
XM_047446735.1	XP_047302691.1
NM_001170686.4	NP_001164157.3
XM_006710372.2	XP_006710435.2
NM_001170688.2	NP_001164159.2
XM_047446736.1	XP_047302692.1
XM_047446742.1	XP_047302698.1
XM_047446738.1	XP_047302694.1
NM_001170687.4	NP_001164158.3
XM_047446745.1	XP_047302701.1
XM_047446741.1	XP_047302697.1
XM_047446743.1	XP_047302699.1
XM_047446746.1	XP_047302702.1
XM_011540737.4	XP_011539039.2
XM_011540741.4	XP_011539043.2
XM_011540742.4	XP_011539044.2
XM_047446728.1	XP_047302684.1
NM_001170689.2	NP_001164160.1
XM_047446672.1	XP_047302628.1
XM_047446747.1	XP_047302703.1
XM_047432838.1	XP_047288794.1
NM_006983.2	NP_008914.1
XM_047432837.1	XP_047288793.1
NM_001291345.2	NP_001278274.1
XM_006711065.5	XP_006711128.1
XM_017002926.3	XP_016858415.1
XM_011542493.4	XP_011540795.1
NM_033487.3	NP_277022.1
NM_033490.3	NP_277025.1
NM_033486.3	NP_277021.2
NM_001787.3	NP_001778.2
XM_017002925.3	XP_016858414.1
XM_011542490.4	XP_011540792.1
NM_033489.3	NP_277024.2
XM_047435361.1	XP_047291317.1
XM_047435330.1	XP_047291286.1
XM_011542492.3	XP_011540794.1
XM_047435328.1	XP_047291284.1
XM_011542491.3	XP_011540793.1
XM_047435362.1	XP_047291318.1
XM_047435360.1	XP_047291316.1
XM_047435355.1	XP_047291311.1
