name	term	lev	seq	value
"chromatin DNA binding"	GO:0031490	4	NM_001003652.4	0.695448424792346
"chromatin DNA binding"	GO:0031490	4	NM_001135937.3	1.35165363215413
"chromatin DNA binding"	GO:0031490	4	NM_001527.4	3.10940173342405
"chromatin DNA binding"	GO:0031490	4	NM_005319.4	-4.87698757743503
"chromatin DNA binding"	GO:0031490	4	XM_047437508.1	1.67357780180679
"enhancer binding"	GO:0035326	7	NM_001003652.4	0.695448424792346
"enhancer binding"	GO:0035326	7	NM_001135937.3	1.35165363215413
"enhancer binding"	GO:0035326	7	NM_012238.5	-0.500177310258457
"enhancer binding"	GO:0035326	7	NM_014587.5	-0.568203059748824
"enhancer binding"	GO:0035326	7	NM_015874.6	-0.247147383172511
"enhancer binding"	GO:0035326	7	NM_018670.4	-3.41654664071325
"enhancer binding"	GO:0035326	7	XM_047437508.1	1.67357780180679
"amide binding"	GO:0033218	2	NM_000182.5	-5.05666804285245
"amide binding"	GO:0033218	2	NM_000942.5	-1.5929629871989
"amide binding"	GO:0033218	2	NM_001079862.4	-3.22569146751454
"amide binding"	GO:0033218	2	NM_001831.4	-0.590844778939062
"amide binding"	GO:0033218	2	NM_002117.6	-3.32991196207022
"amide binding"	GO:0033218	2	NM_003105.6	-4.32693922924442
"amide binding"	GO:0033218	2	NM_004878.5	-0.567071813536053
"amide binding"	GO:0033218	2	NM_005514.8	-4.03563599809389
"amide binding"	GO:0033218	2	NM_018407.6	-8.02848255441989
"amide binding"	GO:0033218	2	NM_020529.3	-4.68768006876435
"amide binding"	GO:0033218	2	NM_138458.4	-0.889620958422835
"amide binding"	GO:0033218	2	XM_005270362.2	0.185785529369942
"amide binding"	GO:0033218	2	XM_006712195.4	-0.402248870842526
"amide binding"	GO:0033218	2	XM_011543355.3	0.384571011672037
"amide binding"	GO:0033218	2	XM_047443919.1	0.698049131843263
"disulfide oxidoreductase activity"	GO:0015036	2	NM_000291.4	-1.61962870273848
"disulfide oxidoreductase activity"	GO:0015036	2	NM_003329.4	-12.3498505762599
"disulfide oxidoreductase activity"	GO:0015036	2	NM_005313.5	-8.2852848420047
"disulfide oxidoreductase activity"	GO:0015036	2	NM_006849.4	-1.33605072446428
"disulfide oxidoreductase activity"	GO:0015036	2	NM_016275.5	-11.8746894605518
"lyase activity"	GO:0016829	2	NM_000143.4	-12.8396714519295
"lyase activity"	GO:0016829	2	NM_000182.5	-5.05666804285245
"lyase activity"	GO:0016829	2	NM_001256802.2	-0.259159086327587
"lyase activity"	GO:0016829	2	NM_001393361.1	-0.89229564571453
"lyase activity"	GO:0016829	2	NM_004092.4	-8.64947767366603
