name	term	lev	seq	value
"negative regulation of cell growth"	GO:0030308	2	NM_001135255.2	1.06647392181559
"negative regulation of cell growth"	GO:0030308	2	NM_001785.3	-0.57884455353666
"negative regulation of cell growth"	GO:0030308	2	NM_002923.4	-1.06582234446419
"negative regulation of cell growth"	GO:0030308	2	NM_004551.3	-15.8906000242168
"negative regulation of cell growth"	GO:0030308	2	NM_005610.3	1.22190367872203
"negative regulation of cell growth"	GO:0030308	2	NM_006568.3	-1.55979794177224
"negative regulation of cell growth"	GO:0030308	2	NM_012238.5	-0.160396528986431
"negative regulation of cell growth"	GO:0030308	2	NM_013376.4	0.307116504263612
"negative regulation of cell growth"	GO:0030308	2	NM_015973.5	-14.996616113358
"establishment of cell polarity"	GO:0030010	2	NM_004252.5	-9.75329844065371
"establishment of cell polarity"	GO:0030010	2	NM_005436.5	-8.33277361777947
"establishment of cell polarity"	GO:0030010	2	NM_014344.4	-1.83523204921563
"establishment of cell polarity"	GO:0030010	2	NM_016567.4	-9.67305430185478
"establishment of cell polarity"	GO:0030010	2	NM_078468.3	-4.46723184153094
"establishment of cell polarity"	GO:0030010	2	NM_078469.3	-14.9283782077626
"establishment of cell polarity"	GO:0030010	2	NR_123721.1	1.30084722729304
"establishment of cell polarity"	GO:0030010	2	XR_001744845.3	-0.968165503686214
"neuron projection guidance"	GO:0007411;GO:0097485	2	NM_000986.4	-2.52358085659227
"neuron projection guidance"	GO:0007411;GO:0097485	2	NM_001003652.4	0.913757487898643
"neuron projection guidance"	GO:0007411;GO:0097485	2	NM_001006943.3	-0.927682830057184
"neuron projection guidance"	GO:0007411;GO:0097485	2	NM_001135937.3	0.269896164664222
"neuron projection guidance"	GO:0007411;GO:0097485	2	NM_001407.3	-1.53875236476008
"neuron projection guidance"	GO:0007411;GO:0097485	2	NM_001719.3	-1.70884705240696
"neuron projection guidance"	GO:0007411;GO:0097485	2	NM_002828.4	-0.0851200552271322
"neuron projection guidance"	GO:0007411;GO:0097485	2	NM_032242.4	-3.43541999843942
"neuron projection guidance"	GO:0007411;GO:0097485	2	NM_058238.3	2.20878340671336
"neuron projection guidance"	GO:0007411;GO:0097485	2	NM_177560.3	-1.01357344460818
"neuron projection guidance"	GO:0007411;GO:0097485	2	XM_011513263.3	1.09060569580415
"neuron projection guidance"	GO:0007411;GO:0097485	2	XM_047437508.1	0.432247344780898
"neuron projection guidance"	GO:0007411;GO:0097485	2	NM_001527.4	2.26967811107357
