name	term	lev	seq	value
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	NR_135504.1	-0.701689249888713
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424339.1	0.320672572402058
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424340.1	0.0961963156952081
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424342.1	-0.132938395752493
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424346.1	0.320672572402058
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424350.1	0.0961963156952081
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424351.1	0.102697358276058
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424352.1	0.106697934177809
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424353.1	0.129886150792394
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424355.1	0.151531548427611
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424357.1	0.124490424151955
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424360.1	-0.100830569775502
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424367.1	-0.100830569775502
"mannosidase activity"	GO:0004559;GO:0015923;GO:0015924;GO:0004571	5	XM_047424368.1	0.514178611115714
"Rab GTPase binding"	GO:0017137	2	NM_001001794.4	0.225614837184152
"Rab GTPase binding"	GO:0017137	2	NM_001128.6	-0.309604288581399
"Rab GTPase binding"	GO:0017137	2	NM_001267778.2	-0.142764953641461
"Rab GTPase binding"	GO:0017137	2	NM_001278463.2	-0.825907156252821
"Rab GTPase binding"	GO:0017137	2	NM_001278464.2	-1.11917605973995
"Rab GTPase binding"	GO:0017137	2	NM_001278465.2	-0.193750232020656
"Rab GTPase binding"	GO:0017137	2	NM_001278466.2	-0.557024986168888
"Rab GTPase binding"	GO:0017137	2	NM_001303542.3	1.29697913046512
"Rab GTPase binding"	GO:0017137	2	NM_001318532.2	0
"Rab GTPase binding"	GO:0017137	2	NM_001321381.3	0.144529477692839
"Rab GTPase binding"	GO:0017137	2	NM_001330187.2	-0.100830569775502
"Rab GTPase binding"	GO:0017137	2	NM_001330380.2	-0.596309826159378
"Rab GTPase binding"	GO:0017137	2	NM_001346747.2	0.0903711799723023
"Rab GTPase binding"	GO:0017137	2	NM_001352966.2	2.43230214334989
"Rab GTPase binding"	GO:0017137	2	NM_001352967.2	-0.100830569775502
"Rab GTPase binding"	GO:0017137	2	NM_001352968.2	0.353942535413815
"Rab GTPase binding"	GO:0017137	2	NM_001363559.2	0.48396060803891
"Rab GTPase binding"	GO:0017137	2	NM_001366446.1	0.160426694610157
"Rab GTPase binding"	GO:0017137	2	NM_001366448.1	0.190697044297119
"Rab GTPase binding"	GO:0017137	2	NM_001394222.1	0.342325015948604
"Rab GTPase binding"	GO:0017137	2	NM_001394807.1	-1.22159018032424
"Rab GTPase binding"	GO:0017137	2	NM_001400446.1	-0.467707956096002
"Rab GTPase binding"	GO:0017137	2	NM_001410795.1	-0.100830569775502
"Rab GTPase binding"	GO:0017137	2	NM_001410818.1	-0.248531807882742
"Rab GTPase binding"	GO:0017137	2	NM_001410819.1	-1.17398447666065
"Rab GTPase binding"	GO:0017137	2	NM_001410820.1	0.0232977109191561
"Rab GTPase binding"	GO:0017137	2	NM_004140.4	-0.346016165372473
"Rab GTPase binding"	GO:0017137	2	NM_005690.5	-0.693808452518802
"Rab GTPase binding"	GO:0017137	2	NM_012062.5	-0.873152214365779
"Rab GTPase binding"	GO:0017137	2	NM_012063.4	-1.05321034490397
"Rab GTPase binding"	GO:0017137	2	NM_015189.3	0
"Rab GTPase binding"	GO:0017137	2	NM_018206.6	0.0868581576958896
"Rab GTPase binding"	GO:0017137	2	NM_024747.6	0.330907506483089
"Rab GTPase binding"	GO:0017137	2	NM_033386.4	1.81954183150629
"Rab GTPase binding"	GO:0017137	2	NM_139265.4	0.562503205308691
"Rab GTPase binding"	GO:0017137	2	NM_173079.5	0.111363122584122
"Rab GTPase binding"	GO:0017137	2	NM_174887.4	-0.505556153318931
"Rab GTPase binding"	GO:0017137	2	NR_027024.1	-0.135952627409086
"Rab GTPase binding"	GO:0017137	2	NR_145499.2	0.285853573738711
"Rab GTPase binding"	GO:0017137	2	NR_145517.2	0
"Rab GTPase binding"	GO:0017137	2	NR_158981.1	-0.0379337538454221
