name	term	lev	seq	value
"actin cytoskeleton"	GO:0015629	2	NM_001101.5	-7.43358612715084
"actin cytoskeleton"	GO:0015629	2	NM_001159920.2	-2.73013831188777
"actin cytoskeleton"	GO:0015629	2	NM_001160030.2	0.0548098108210448
"actin cytoskeleton"	GO:0015629	2	NM_001317196.2	7.28471765800727
"actin cytoskeleton"	GO:0015629	2	NM_001320257.2	5.63883757881147
"actin cytoskeleton"	GO:0015629	2	NM_002019.4	-1.87490014599262
"actin cytoskeleton"	GO:0015629	2	NM_004252.5	-10.5163788295347
"actin cytoskeleton"	GO:0015629	2	NM_006571.4	-7.97411062461906
"actin cytoskeleton"	GO:0015629	2	NM_152372.4	-0.018959327669593
"actin cytoskeleton"	GO:0015629	2	XM_011512401.2	0.0770921647567321
"actin cytoskeleton"	GO:0015629	2	XM_047431344.1	-0.229139375474501
"trans-Golgi network transport vesicle"	GO:0030140	2	NM_000876.4	-7.97291729114615
"trans-Golgi network transport vesicle"	GO:0030140	2	NM_001283.5	-3.5127045843641
"trans-Golgi network transport vesicle"	GO:0030140	2	NM_004218.4	-6.68883759482012
"trans-Golgi network transport vesicle"	GO:0030140	2	NM_006827.6	-7.05374430428526
"trans-Golgi network transport vesicle"	GO:0030140	2	NM_017510.6	-6.75317101567292
"mitochondrial envelope"	GO:0005740;GO:0031966	2	NM_000182.5	-5.05666804285245
"mitochondrial envelope"	GO:0005740;GO:0031966	2	NM_001003941.3	1.64565367301004
"mitochondrial envelope"	GO:0005740;GO:0031966	2	NM_001008388.5	-4.71820710792776
"mitochondrial envelope"	GO:0005740;GO:0031966	2	NM_001145465.1	1.93703247216869
"mitochondrial envelope"	GO:0005740;GO:0031966	2	NM_001145951.2	56.5772551976612
"mitochondrial envelope"	GO:0005740;GO:0031966	2	NM_001152.5	-14.4626178176645
"mitochondrial envelope"	GO:0005740;GO:0031966	2	NM_001254752.2	0.816141251211914
"mitochondrial envelope"	GO:0005740;GO:0031966	2	NM_001256802.2	-0.259159086327587
"mitochondrial envelope"	GO:0005740;GO:0031966	2	NM_001320974.2	0.0809501897424497
"mitochondrial envelope"	GO:0005740;GO:0031966	2	NM_001322819.2	-2.11604597575625
